category,template
asmr_artist,I feel like listening to {asmr_artist}
asmr_artist,I need {asmr_artist} right now
asmr_artist,I want some {asmr_artist} ASMR to sleep to
asmr_artist,I want to drift off to {asmr_artist}
asmr_artist,I want to listen to {asmr_artist}
asmr_artist,I'd like to hear {asmr_artist}
asmr_artist,I'd love to listen to {asmr_artist}
asmr_artist,can you put on {asmr_artist}
asmr_artist,continue playing {asmr_artist}
asmr_artist,find an ASMR video from {asmr_artist}
asmr_artist,find calm {asmr_artist}
asmr_artist,find calming {asmr_artist}
asmr_artist,find gentle {asmr_artist}
asmr_artist,find me a video by {asmr_artist}
asmr_artist,find some {asmr_artist} ASMR for me
asmr_artist,find soothing {asmr_artist}
asmr_artist,find the most popular {asmr_artist} video
asmr_artist,find {asmr_artist}
asmr_artist,find {asmr_artist} crinkling
asmr_artist,find {asmr_artist} for concentration
asmr_artist,find {asmr_artist} for focus
asmr_artist,find {asmr_artist} for insomnia
asmr_artist,find {asmr_artist} for relaxation
asmr_artist,find {asmr_artist} for sleep
asmr_artist,find {asmr_artist} for stress relief
asmr_artist,find {asmr_artist} scratching
asmr_artist,find {asmr_artist} tapping
asmr_artist,find {asmr_artist} to fall asleep to
asmr_artist,find {asmr_artist} to listen to
asmr_artist,find {asmr_artist} whispering
asmr_artist,find {asmr_artist}'s keyboard sounds
asmr_artist,find {asmr_artist}'s massage
asmr_artist,find {asmr_artist}'s meditation
asmr_artist,find {asmr_artist}'s mouth sounds
asmr_artist,find {asmr_artist}'s nature sounds
asmr_artist,find {asmr_artist}'s page turning
asmr_artist,find {asmr_artist}'s rain sounds
asmr_artist,find {asmr_artist}'s roleplay
asmr_artist,find {asmr_artist}'s soft spoken
asmr_artist,find {asmr_artist}'s white noise
asmr_artist,get me some {asmr_artist}
asmr_artist,listen to {asmr_artist}
asmr_artist,load up {asmr_artist}
asmr_artist,play ASMR by {asmr_artist}
asmr_artist,play a long {asmr_artist} video
asmr_artist,play an ASMR video by {asmr_artist}
asmr_artist,play any video from {asmr_artist}
asmr_artist,play calm {asmr_artist}
asmr_artist,play calming {asmr_artist}
asmr_artist,play gentle {asmr_artist}
asmr_artist,play relaxing {asmr_artist}
asmr_artist,play some {asmr_artist}
asmr_artist,play something by {asmr_artist}
asmr_artist,play soothing {asmr_artist}
asmr_artist,play the latest from {asmr_artist}
asmr_artist,play the newest {asmr_artist} video
asmr_artist,play {asmr_artist}
asmr_artist,play {asmr_artist} crinkling
asmr_artist,play {asmr_artist} for anxiety
asmr_artist,play {asmr_artist} for concentration
asmr_artist,play {asmr_artist} for focus
asmr_artist,play {asmr_artist} for insomnia
asmr_artist,play {asmr_artist} for relaxation
asmr_artist,play {asmr_artist} for sleep
asmr_artist,play {asmr_artist} for stress relief
asmr_artist,play {asmr_artist} for studying
asmr_artist,play {asmr_artist} quietly
asmr_artist,play {asmr_artist} scratching
asmr_artist,play {asmr_artist} tapping
asmr_artist,play {asmr_artist} to calm me down
asmr_artist,play {asmr_artist} to fall asleep
asmr_artist,play {asmr_artist} to help me concentrate
asmr_artist,play {asmr_artist} to help me relax
asmr_artist,play {asmr_artist} while I fall asleep
asmr_artist,play {asmr_artist} whispering
asmr_artist,play {asmr_artist}'s ASMR
asmr_artist,play {asmr_artist}'s keyboard sounds
asmr_artist,play {asmr_artist}'s latest upload
asmr_artist,play {asmr_artist}'s massage
asmr_artist,play {asmr_artist}'s meditation
asmr_artist,play {asmr_artist}'s mouth sounds
asmr_artist,play {asmr_artist}'s nature sounds
asmr_artist,play {asmr_artist}'s page turning
asmr_artist,play {asmr_artist}'s rain sounds
asmr_artist,play {asmr_artist}'s roleplay
asmr_artist,play {asmr_artist}'s sleep video
asmr_artist,play {asmr_artist}'s soft spoken
asmr_artist,play {asmr_artist}'s tapping ASMR
asmr_artist,play {asmr_artist}'s whispering video
asmr_artist,play {asmr_artist}'s white noise
asmr_artist,put on relaxing {asmr_artist}
asmr_artist,put on some {asmr_artist} ASMR
asmr_artist,put on {asmr_artist}
asmr_artist,put on {asmr_artist} to help me sleep
asmr_artist,put {asmr_artist} on in the background
asmr_artist,queue up {asmr_artist}
asmr_artist,resume {asmr_artist}
asmr_artist,show me {asmr_artist} videos
asmr_artist,start {asmr_artist}
asmr_artist,stream some {asmr_artist} for me
asmr_artist,stream {asmr_artist}
asmr_artist+music_genre,find ASMR {music_genre} by {asmr_artist}
asmr_artist+music_genre,play {music_genre} ASMR by {asmr_artist}
asmr_artist+tv_show_title,find ASMR related to {tv_show_title}
asmr_artist+tv_show_title,play ASMR inspired by {tv_show_title}
asmr_artist+movie_title,find ASMR inspired by {movie_title}
asmr_artist+movie_title,play ASMR based on {movie_title}
