category,template
anime_title,I want {anime_title} with accessibility narration
anime_title,enable audio description and play {anime_title}
anime_title,find the narrated version of {anime_title}
anime_title,find {anime_title} with AD
anime_title,play the described version of {anime_title}
anime_title,play {anime_title} audio described
anime_title,play {anime_title} with audio description
anime_title,play {anime_title} with narrator track
anime_title,play {anime_title} with visual description track
anime_title,stream {anime_title} with audio description
audio_description,I need {audio_description} with audio description enabled
audio_description,I want the narrated version of {audio_description}
audio_description,I want to watch {audio_description} — turn on audio description
audio_description,I want {audio_description} with audio description
audio_description,I'd like {audio_description} with the described track
audio_description,I'm visually impaired — play {audio_description} with narration
audio_description,can you find {audio_description} with audio description
audio_description,does {audio_description} have audio description
audio_description,enable audio description and play {audio_description}
audio_description,find the audio described {audio_description}
audio_description,find the blind-accessible version of {audio_description}
audio_description,find the narrated version of {audio_description}
audio_description,find the visual description track for {audio_description}
audio_description,find {audio_description} with AD
audio_description,is there an audio described version of {audio_description}
audio_description,play the audio described {audio_description}
audio_description,play the described version of {audio_description}
audio_description,play {audio_description} accessible version
audio_description,play {audio_description} audio described
audio_description,play {audio_description} described version
audio_description,play {audio_description} for the visually impaired
audio_description,play {audio_description} narrated for the visually impaired
audio_description,play {audio_description} with AD enabled
audio_description,play {audio_description} with AD track
audio_description,play {audio_description} with accessibility audio track
audio_description,play {audio_description} with accessibility narration
audio_description,play {audio_description} with accessibility track enabled
audio_description,play {audio_description} with audio narration
audio_description,play {audio_description} with commentary for the blind
audio_description,play {audio_description} with described audio
audio_description,play {audio_description} with descriptive audio
audio_description,play {audio_description} with image descriptions
audio_description,play {audio_description} with narrator
audio_description,play {audio_description} with scene descriptions
audio_description,play {audio_description} with screen reader narration
audio_description,play {audio_description} with vision impaired support
audio_description,play {audio_description} with visual description track
audio_description,play {audio_description} with visual narration
audio_description,play {audio_description} — I need the described version
audio_description,put on {audio_description} with audio description
audio_description,stream the accessible version of {audio_description}
audio_description,stream {audio_description} with narration for the visually impaired
audio_description,stream {audio_description} with narrator track
audio_description,turn on audio description for {audio_description}
audio_description,watch {audio_description} with audio description
movie_title+tv_show_title,play {movie_title} with audio description or the {tv_show_title} series
movie_title,I need {movie_title} with audio description enabled
movie_title,I want the narrated version of {movie_title}
movie_title,I want to watch {movie_title} — turn on audio description
movie_title,I want {movie_title} with audio description
