category,template
anime_title,find a cartoon like {anime_title}
anime_title,play the American cartoon version of {anime_title}
anime_title,play the Western cartoon version of {anime_title}
audiobook_title,find a cartoon based on {audiobook_title}
audiobook_title,is there an animated show based on {audiobook_title}
audiobook_title,play the animated version of {audiobook_title}
audiobook_title,watch the cartoon adaptation of {audiobook_title}
cartoon_title,I feel like watching {cartoon_title}
cartoon_title,I haven't finished {cartoon_title} — resume it
cartoon_title,I left off at episode 5 of {cartoon_title}
cartoon_title,I need to watch {cartoon_title}
cartoon_title,I want to keep watching {cartoon_title}
cartoon_title,I want to rewatch {cartoon_title}
cartoon_title,I want to watch {cartoon_title}
cartoon_title,I was watching {cartoon_title} — continue please
cartoon_title,I'd like to watch {cartoon_title}
cartoon_title,I'd love to see {cartoon_title}
cartoon_title,any episodes of {cartoon_title} available
cartoon_title,binge {cartoon_title}
cartoon_title,can I watch {cartoon_title}
cartoon_title,can you find {cartoon_title}
cartoon_title,can you put on {cartoon_title}
cartoon_title,chuck {cartoon_title} on
cartoon_title,continue watching {cartoon_title}
cartoon_title,continue {cartoon_title}
cartoon_title,could you put on {cartoon_title} for me
cartoon_title,do you have {cartoon_title}
cartoon_title,find the animated show {cartoon_title}
cartoon_title,find the movie version of {cartoon_title}
cartoon_title,find the {cartoon_title} film
cartoon_title,find {cartoon_title}
cartoon_title,get {cartoon_title} on
cartoon_title,go back to {cartoon_title}
cartoon_title,is {cartoon_title} available
cartoon_title,is {cartoon_title} on
cartoon_title,keep watching {cartoon_title}
cartoon_title,let's watch {cartoon_title}
cartoon_title,load up {cartoon_title}
cartoon_title,load {cartoon_title} please
cartoon_title,pick up {cartoon_title} where I left off
cartoon_title,play a random episode of {cartoon_title}
cartoon_title,play an episode of {cartoon_title}
cartoon_title,play episode 1 of {cartoon_title}
cartoon_title,play episode 10 of {cartoon_title}
cartoon_title,play episode 3 of {cartoon_title}
cartoon_title,play season 2 of {cartoon_title}
cartoon_title,play season 4 of {cartoon_title}
cartoon_title,play some {cartoon_title}
cartoon_title,play the adult animated show {cartoon_title}
cartoon_title,play the animated series {cartoon_title}
cartoon_title,play the cartoon {cartoon_title}
cartoon_title,play the comedy cartoon {cartoon_title}
cartoon_title,play the finale of {cartoon_title}
cartoon_title,play the first episode of {cartoon_title}
cartoon_title,play the holiday special of {cartoon_title}
cartoon_title,play the kids cartoon {cartoon_title}
cartoon_title,play the last episode of {cartoon_title}
cartoon_title,play the latest episode of {cartoon_title}
cartoon_title,play the movie version of {cartoon_title}
cartoon_title,play the new season of {cartoon_title}
cartoon_title,play the new {cartoon_title} episode
cartoon_title,play the newest episode of {cartoon_title}
cartoon_title,play the next episode of {cartoon_title}
cartoon_title,play the next season of {cartoon_title}
cartoon_title,play the pilot of {cartoon_title}
cartoon_title,play the superhero cartoon {cartoon_title}
cartoon_title,play the {cartoon_title} Christmas special
cartoon_title,play the {cartoon_title} movie
cartoon_title,play the {cartoon_title} special
cartoon_title,play the {cartoon_title} spin-off
cartoon_title,play {cartoon_title}
cartoon_title,play {cartoon_title} again
cartoon_title,play {cartoon_title} for my daughter
cartoon_title,play {cartoon_title} for my son
cartoon_title,play {cartoon_title} for the kids
cartoon_title,play {cartoon_title} from the beginning
cartoon_title,play {cartoon_title} please
cartoon_title,play {cartoon_title} season 1
cartoon_title,play {cartoon_title} season 3
cartoon_title,put on {cartoon_title}
cartoon_title,put {cartoon_title} on for the children
cartoon_title,queue up {cartoon_title}
cartoon_title,resume {cartoon_title}
cartoon_title,show me an episode of {cartoon_title}
cartoon_title,show me {cartoon_title}
cartoon_title,show {cartoon_title} to my kids
cartoon_title,skip to the next episode of {cartoon_title}
cartoon_title,start {cartoon_title}
cartoon_title,start {cartoon_title} from episode 1
cartoon_title,stick {cartoon_title} on
cartoon_title,stream {cartoon_title}
cartoon_title,watch the {cartoon_title} movie
cartoon_title,watch {cartoon_title}
movie_title,find a cartoon like {movie_title}
movie_title,find the animated show based on {movie_title}
movie_title,find the cartoon based on {movie_title}
movie_title,is there a cartoon based on {movie_title}
movie_title,is {movie_title} available as a cartoon
movie_title,play the animated adaptation of {movie_title}
movie_title,play the {movie_title} animated series
movie_title,play the {movie_title} cartoon series
movie_title,watch the animated version of {movie_title}
movie_title,watch the cartoon version of {movie_title}
cartoon_title+anime_title,find cartoon version of {anime_title}
cartoon_title+anime_title,play {cartoon_title} similar to {anime_title}
cartoon_title+tv_show_title,find cartoon adaptation of {tv_show_title}
cartoon_title+tv_show_title,play {cartoon_title} based on {tv_show_title}
cartoon_title+game_title,find cartoon game {cartoon_title}
cartoon_title+game_title,play {cartoon_title} based on {game_title}
cartoon_title+music_genre,find cartoon with {music_genre} music
cartoon_title+music_genre,play {cartoon_title} soundtrack {music_genre}
cartoon_title,binge watch {cartoon_title}
cartoon_title,continue cartoon {cartoon_title}
cartoon_title,find episode 10 of {cartoon_title}
cartoon_title,find next episode of {cartoon_title}
cartoon_title,get episode of {cartoon_title}
cartoon_title,keep watching {cartoon_title}
cartoon_title,play cartoon episode of {cartoon_title}
cartoon_title,play episode 3 of {cartoon_title}
cartoon_title,play first season of {cartoon_title}
cartoon_title,play latest of {cartoon_title}
cartoon_title,play new episode {cartoon_title}
cartoon_title,play next episode of {cartoon_title}
cartoon_title,play season 2 of {cartoon_title}
cartoon_title,put on cartoon {cartoon_title}
cartoon_title,queue up {cartoon_title}
cartoon_title,resume {cartoon_title}
cartoon_title,start cartoon binge of {cartoon_title}
cartoon_title,stream cartoon {cartoon_title}
cartoon_title,watch cartoon {cartoon_title}
anime_title,find cartoon version of {anime_title}
anime_title,get cartoon similar to {anime_title}
anime_title,play cartoon like {anime_title}
tv_show_title,find cartoon adaptation of {tv_show_title}
tv_show_title,get cartoon version of {tv_show_title}
tv_show_title,play cartoon based on {tv_show_title}
game_title,find cartoon game {game_title}
game_title,get cartoon version of {game_title}
game_title,play cartoon based on {game_title}
