category,template
anime_title,I want the film version of {anime_title}
anime_title,I want to watch the {anime_title} movie
anime_title,find me the movie {anime_title}
anime_title,find the movie adaptation of {anime_title}
anime_title,find the {anime_title} movie
anime_title,is there a film for {anime_title}
anime_title,is there an {anime_title} movie I can watch
anime_title,let's watch the {anime_title} film
anime_title,play the latest {anime_title} film
anime_title,play the movie version of {anime_title}
anime_title,play the {anime_title} feature film
anime_title,play the {anime_title} movie
anime_title,play {anime_title} film
anime_title,put on the {anime_title} movie adaptation
anime_title,show me the {anime_title} animated movie
anime_title,start the {anime_title} movie
anime_title,stream the {anime_title} film
anime_title,stream {anime_title} the movie
anime_title,watch the live action {anime_title}
anime_title,watch the original {anime_title} movie
anime_title,watch the {anime_title} film adaptation
audiobook_title,I want the film version of the book {audiobook_title}
audiobook_title,I want to see the movie based on {audiobook_title}
audiobook_title,find me the movie {audiobook_title}
audiobook_title,find the film based on {audiobook_title}
audiobook_title,find the movie from the novel {audiobook_title}
audiobook_title,is there a movie of the book {audiobook_title}
audiobook_title,is there an {audiobook_title} movie I can watch
audiobook_title,let's watch the {audiobook_title} movie
audiobook_title,play the feature film based on {audiobook_title}
audiobook_title,play the latest movie based on {audiobook_title}
audiobook_title,play the movie adaptation of {audiobook_title}
audiobook_title,play {audiobook_title} film
audiobook_title,put on the {audiobook_title} movie adaptation
audiobook_title,show me the film adaptation of the book {audiobook_title}
audiobook_title,start the film {audiobook_title}
audiobook_title,stream the film version of {audiobook_title}
audiobook_title,stream {audiobook_title} the movie
audiobook_title,watch the {audiobook_title} movie
cartoon_title,I want the film version of {cartoon_title}
cartoon_title,I want to see the {cartoon_title} movie
cartoon_title,find me the movie {cartoon_title}
cartoon_title,find the movie version of {cartoon_title}
cartoon_title,find the {cartoon_title} movie
cartoon_title,is there a movie for {cartoon_title}
cartoon_title,is there a {cartoon_title} movie I can watch
cartoon_title,let's watch the {cartoon_title} movie
cartoon_title,play the latest {cartoon_title} film
cartoon_title,play the {cartoon_title} feature film
cartoon_title,play the {cartoon_title} film
cartoon_title,play {cartoon_title} film
cartoon_title,put on the {cartoon_title} movie adaptation
cartoon_title,show me the animated film {cartoon_title}
cartoon_title,start the {cartoon_title} film
cartoon_title,stream {cartoon_title} the movie
cartoon_title,watch the feature length {cartoon_title}
cartoon_title,watch the {cartoon_title} movie
movie_actor+movie_director,I want to see {movie_actor} in a {movie_director} film
movie_actor+movie_director,I want to watch {movie_director}'s films with {movie_actor}
movie_actor+movie_director,find a film with {movie_actor} from director {movie_director}
movie_actor+movie_director,find me a {movie_actor} film from director {movie_director}
movie_actor+movie_director,find me a {movie_director} movie starring {movie_actor}
movie_actor+movie_director,is there a movie with {movie_actor} by {movie_director}
movie_actor+movie_director,let's watch {movie_actor} in a movie by {movie_director}
movie_actor+movie_director,play a movie starring {movie_actor} by {movie_director}
movie_actor+movie_director,play a {movie_actor} movie from director {movie_director}
movie_actor+movie_director,play some {movie_director} cinema featuring {movie_actor}
movie_actor+movie_director,put on a movie starring {movie_actor} by {movie_director}
movie_actor+movie_director,show me a {movie_actor} film directed by {movie_director}
movie_actor+movie_director,show me director {movie_director}'s movies with {movie_actor}
movie_actor+movie_director,show me {movie_actor} movies directed by {movie_director}
movie_actor+movie_director,start a film featuring {movie_actor} from director {movie_director}
movie_actor+movie_director,start a {movie_director} directed movie starring {movie_actor}
movie_actor+movie_director,stream a film featuring {movie_actor} and directed by {movie_director}
movie_actor+movie_streaming_service,I need a {movie_actor} movie from {movie_streaming_service}
movie_actor+movie_streaming_service,I want to see {movie_actor} using {movie_streaming_service}
movie_actor+movie_streaming_service,I want to watch {movie_actor} on {movie_streaming_service}
movie_actor+movie_streaming_service,browse {movie_actor} films on {movie_streaming_service}
movie_actor+movie_streaming_service,find me a {movie_actor} flick on {movie_streaming_service}
movie_actor+movie_streaming_service,find movies with {movie_actor} on {movie_streaming_service}
movie_actor+movie_streaming_service,is there a {movie_actor} movie on {movie_streaming_service}
movie_actor+movie_streaming_service,launch {movie_streaming_service} and find {movie_actor}
movie_actor+movie_streaming_service,let's watch {movie_actor} using {movie_streaming_service}
movie_actor+movie_streaming_service,open {movie_streaming_service} and play a movie with {movie_actor}
movie_actor+movie_streaming_service,play a {movie_actor} film on {movie_streaming_service}
movie_actor+movie_streaming_service,play me something with {movie_actor} on {movie_streaming_service}
movie_actor+movie_streaming_service,put on a {movie_actor} film from {movie_streaming_service}
movie_actor+movie_streaming_service,show me {movie_actor} movies on {movie_streaming_service}
movie_actor+movie_streaming_service,start a movie with {movie_actor} from {movie_streaming_service}
movie_actor+movie_streaming_service,stream a movie starring {movie_actor} on {movie_streaming_service}
movie_actor+movie_streaming_service,stream {movie_actor}'s latest on {movie_streaming_service}
movie_actor+movie_streaming_service,what movies with {movie_actor} are on {movie_streaming_service}
movie_actor,I love {movie_actor} — play one of their films
movie_actor,I want a {movie_actor} film
movie_actor,I want to see {movie_actor} tonight
movie_actor,I want to see {movie_actor}'s latest film
movie_actor,I'm in the mood for {movie_actor}
movie_actor,I'm looking for a {movie_actor} flick
movie_actor,any good movies with {movie_actor}
movie_actor,anything with {movie_actor} in it
movie_actor,find films featuring {movie_actor}
movie_actor,find me a film starring {movie_actor}
movie_actor,find me a movie with {movie_actor}
movie_actor,find me something with {movie_actor}
movie_actor,give me some {movie_actor} cinema
movie_actor,is there a {movie_actor} movie I can watch
movie_actor,is there anything new with {movie_actor}
movie_actor,let's watch a movie with {movie_actor}
movie_actor,let's watch {movie_actor}
movie_actor,play a movie with {movie_actor}
movie_actor,play a {movie_actor} movie
movie_actor,play an old {movie_actor} movie
movie_actor,play one of {movie_actor}'s movies
movie_actor,play something starring {movie_actor}
movie_actor,put on a movie starring {movie_actor}
movie_actor,put on a {movie_actor} classic
movie_actor,put on some {movie_actor} cinema
movie_actor,show me movies where {movie_actor} is the lead
movie_actor,show me {movie_actor} films
movie_actor,show me {movie_actor} in a movie
movie_actor,show me {movie_actor}'s work
movie_actor,stream a movie featuring {movie_actor}
movie_actor,stream some {movie_actor}
movie_actor,watch something with {movie_actor}
movie_actor,what movies does {movie_actor} star in
movie_composer,I want to hear {movie_composer}'s music in a movie
movie_composer,I want to watch a movie scored by {movie_composer}
movie_composer,I want to watch something with a {movie_composer} score
movie_composer,I'm looking for a movie with a {movie_composer} score
movie_composer,anything with music by {movie_composer}
movie_composer,find films with music by {movie_composer}
movie_composer,find me a film with {movie_composer} music
movie_composer,find me a {movie_composer} movie
movie_composer,is there a movie with music by {movie_composer}
movie_composer,let's watch something with {movie_composer}'s score
movie_composer,play a film with a {movie_composer} soundtrack
movie_composer,play a movie scored by {movie_composer}
movie_composer,play something with a {movie_composer} score
movie_composer,put on a film with {movie_composer} music
movie_composer,show me a film composed by {movie_composer}
movie_composer,show me films with a score by {movie_composer}
movie_composer,show me movies composed by {movie_composer}
movie_composer,start a {movie_composer} scored film
movie_composer,stream a movie with {movie_composer}'s music
movie_director+movie_streaming_service,I need a {movie_director} film from {movie_streaming_service}
movie_director+movie_streaming_service,I want to see {movie_director}'s work on {movie_streaming_service}
movie_director+movie_streaming_service,I want to watch a {movie_director} film on {movie_streaming_service}
