category,template
album_name+music_streaming_service,I need to hear {album_name} from {music_streaming_service}
album_name+music_streaming_service,I want to listen to the {album_name} album on {music_streaming_service}
album_name+music_streaming_service,find the record {album_name} on {music_streaming_service}
album_name+music_streaming_service,find {album_name} on {music_streaming_service}
album_name+music_streaming_service,let's hear the {album_name} album on {music_streaming_service}
album_name+music_streaming_service,listen to {album_name} using {music_streaming_service}
album_name+music_streaming_service,open {music_streaming_service} and play the album {album_name}
album_name+music_streaming_service,play the album {album_name} on {music_streaming_service}
album_name+music_streaming_service,play {album_name} on the {music_streaming_service} app
album_name+music_streaming_service,play {album_name} through {music_streaming_service}
album_name+music_streaming_service,put on {album_name} via {music_streaming_service}
album_name+music_streaming_service,queue up {album_name} on {music_streaming_service}
album_name+music_streaming_service,shuffle the album {album_name} on {music_streaming_service}
album_name+music_streaming_service,spin the album {album_name} on {music_streaming_service}
album_name+music_streaming_service,start the {album_name} album on {music_streaming_service}
album_name+music_streaming_service,start {album_name} from start to finish on {music_streaming_service}
album_name+music_streaming_service,stream the full {album_name} album on {music_streaming_service}
album_name+music_streaming_service,stream {album_name} on {music_streaming_service}
album_name,I need to hear the album {album_name}
album_name,I want to hear the {album_name} disc
album_name,I want to listen to the {album_name} album
album_name,I'm in the mood for the album {album_name}
album_name,can we listen to {album_name}
album_name,chuck on {album_name}
album_name,find the album {album_name}
album_name,get {album_name} started
album_name,let's hear the album {album_name}
album_name,let's vibe with {album_name}
album_name,play the album {album_name}
album_name,play the classic album {album_name}
album_name,play the full LP {album_name}
album_name,play the newest album {album_name}
album_name,play the {album_name} EP
album_name,play the {album_name} LP
album_name,play tracks from the album {album_name}
album_name,play {album_name} from start to finish
album_name,play {album_name} in order
album_name,play {album_name} on shuffle
album_name,play {album_name} the whole way through
album_name,put on the record {album_name}
album_name,put on {album_name} from the top
album_name,put on {album_name} record
album_name,queue the album {album_name}
album_name,shuffle the album {album_name}
album_name,shuffle through {album_name}
album_name,spin the {album_name} album
album_name,start playing {album_name} from track one
album_name,start the {album_name} album
album_name,stick {album_name} on
album_name,stream the deluxe edition of {album_name}
album_name,stream the {album_name} record
album_type,I need an {album_type}
album_type,I want to listen to an {album_type}
album_type,find a {album_type}
album_type,find me an {album_type}
album_type,find new {album_type} releases
album_type,find {album_type} albums
album_type,find {album_type} releases
album_type,give me an {album_type}
album_type,play a fresh {album_type}
album_type,play an {album_type}
album_type,play an {album_type} please
album_type,play music from the {album_type}
album_type,play some {album_type}
album_type,play the latest {album_type}
album_type,play the {album_type}
album_type,play {album_type} music
album_type,put on a {album_type}
album_type,put on some fresh {album_type}
album_type,put on some {album_type}
album_type,queue an {album_type}
album_type,search for {album_type} albums
album_type,start an {album_type}
album_type,stream an {album_type}
anime_title,I need to hear the {anime_title} ending song
anime_title,I want the {anime_title} background music
anime_title,I want to hear the {anime_title} opening
anime_title,blast the {anime_title} opening theme
anime_title,find the {anime_title} soundtrack
anime_title,let's hear the {anime_title} soundtrack
anime_title,listen to music from {anime_title}
anime_title,play music from {anime_title}
anime_title,play the ending theme from {anime_title}
anime_title,play the opening theme from {anime_title}
anime_title,play the theme song from {anime_title}
anime_title,play the {anime_title} ED
anime_title,play the {anime_title} OP
anime_title,play the {anime_title} OP and ED
anime_title,play the {anime_title} OST
anime_title,play the {anime_title} ending
anime_title,play the {anime_title} insert song
anime_title,play the {anime_title} music collection
anime_title,play the {anime_title} opening
anime_title,play the {anime_title} soundtrack
anime_title,put on the {anime_title} opening track
anime_title,queue up some {anime_title} tunes
anime_title,spin the {anime_title} OST
anime_title,start the {anime_title} OST
anime_title,stream the opening from {anime_title}
anime_title,stream the {anime_title} OST
artist_name+album_name+music_streaming_service,I need to hear {artist_name}'s {album_name} on {music_streaming_service}
artist_name+album_name+music_streaming_service,I want to listen to the {album_name} album by {artist_name} on {music_streaming_service}
artist_name+album_name+music_streaming_service,find the album {album_name} by the artist {artist_name} on {music_streaming_service}
artist_name+album_name+music_streaming_service,find {artist_name}'s album {album_name} on {music_streaming_service}
artist_name+album_name+music_streaming_service,let's hear the full album {album_name} from {artist_name} on {music_streaming_service}
artist_name+album_name+music_streaming_service,listen to the {album_name} record by {artist_name} on {music_streaming_service}
artist_name+album_name+music_streaming_service,listen to {artist_name}'s {album_name} using the {music_streaming_service} app
artist_name+album_name+music_streaming_service,open {music_streaming_service} and play the album {album_name} by {artist_name}
artist_name+album_name+music_streaming_service,play {album_name} by {artist_name} through {music_streaming_service}
artist_name+album_name+music_streaming_service,play {artist_name}'s album {album_name} on {music_streaming_service}
artist_name+album_name+music_streaming_service,put on the album {album_name} from {artist_name} via {music_streaming_service}
artist_name+album_name+music_streaming_service,queue up {album_name} from {artist_name} on {music_streaming_service}
artist_name+album_name+music_streaming_service,shuffle the album {album_name} by {artist_name} on {music_streaming_service}
artist_name+album_name+music_streaming_service,spin {artist_name}'s {album_name} on {music_streaming_service}
artist_name+album_name+music_streaming_service,start playing the album {album_name} by {artist_name} on {music_streaming_service}
