category,template
album_name+artist_name,I want to see {artist_name}'s {album_name} videos
album_name+artist_name,find the visual rollout for {artist_name}'s {album_name}
album_name+artist_name,find videos from {artist_name}'s {album_name} era
album_name+artist_name,play music videos from {artist_name}'s {album_name}
album_name+artist_name,play the {album_name} videos by {artist_name}
album_name+artist_name,play {artist_name}'s {album_name} era music videos
album_name+artist_name,show me videos from {artist_name}'s {album_name} album
album_name+artist_name,show me {artist_name}'s visuals from {album_name}
album_name+artist_name,stream videos from {artist_name}'s {album_name}
album_name,I want to see videos from the {album_name} era
album_name,find music videos from {album_name}
album_name,find the {album_name} era music videos
album_name,find videos associated with {album_name}
album_name,play music videos released with {album_name}
album_name,play the music videos from {album_name}
album_name,play the videos that go with {album_name}
album_name,play visuals from {album_name}
album_name,play {album_name} era videos
album_name,show me all the videos for {album_name}
album_name,show me the visual rollout for {album_name}
album_name,show me the {album_name} album visuals
album_name,show me videos from the {album_name} era
album_name,stream visuals from {album_name}
artist_name,I want to see {artist_name} in a video
artist_name,I want to see {artist_name}'s latest visual
artist_name,I want to see {artist_name}'s video collection
artist_name,I want to watch music videos by {artist_name}
artist_name,find a {artist_name} video I haven't seen
artist_name,find award winning {artist_name} videos
artist_name,find concert footage from {artist_name}
artist_name,find music videos from {artist_name}
artist_name,find the most popular {artist_name} videos
artist_name,find the newest video from {artist_name}
artist_name,find {artist_name} performance footage
artist_name,find {artist_name} stage performance videos
artist_name,find {artist_name} throwback videos
artist_name,find {artist_name} video clips
artist_name,play a music video by {artist_name}
artist_name,play a random {artist_name} video
artist_name,play everything from {artist_name} visually
artist_name,play live music videos by {artist_name}
artist_name,play old school {artist_name} videos
artist_name,play some {artist_name} videos
artist_name,play the latest {artist_name} video
artist_name,play the {artist_name} live session video
artist_name,play {artist_name} classic videos
artist_name,play {artist_name} concert video
artist_name,play {artist_name} live performance video
artist_name,play {artist_name} music videos
artist_name,play {artist_name} official videos
artist_name,play {artist_name}'s iconic videos
artist_name,play {artist_name}'s live music video
artist_name,play {artist_name}'s newest release video
artist_name,queue up {artist_name} music videos
artist_name,show me all {artist_name} music videos
artist_name,show me the newest video from {artist_name}
artist_name,show me vintage {artist_name} music videos
artist_name,show me {artist_name} at a concert
artist_name,show me {artist_name} performing live
artist_name,show me {artist_name} performing on stage
artist_name,show me {artist_name} videos
artist_name,show me {artist_name}'s best music videos
artist_name,show me {artist_name}'s discography videos
artist_name,show me {artist_name}'s studio session
artist_name,show me {artist_name}'s visual work
artist_name,stream the latest {artist_name} video
artist_name,stream {artist_name} music videos
music_genre,I want to see {music_genre} artists in videos
music_genre,I want to watch {music_genre} videos
music_genre,find classic {music_genre} music videos
music_genre,find {music_genre} music videos
music_genre,play music videos from the {music_genre} genre
music_genre,play popular {music_genre} videos
music_genre,play some {music_genre} music videos
music_genre,play {music_genre} video clips
music_genre,show me iconic {music_genre} videos
music_genre,show me the best {music_genre} music videos
music_genre,show me {music_genre} music videos
music_genre,stream {music_genre} music videos
music_video,I want the music video to {music_video}
music_video,I want to see the visual for {music_video}
music_video,I want to see the {music_video} music video
music_video,I want to watch the music video for {music_video}
music_video,I want to watch {music_video}
music_video,I'd like to watch the video for {music_video}
