category,template
title,"posa {title}"
title,"mira {title}"
title,"vull veure {title}"
title,"posa {title}"
title,"posa un episodi de {title}"
title,"emete {title}"
title,"busca {title} per a mi"
title,"m'agradaria veure {{title}}"
title,"posa l'anime {{title}}"
title,"mostra'm {{title}}"
title,"afegeix {{title}} a la cua"
title,"reprèn {{title}}"
title,"continua {{title}}"
season,"posa la temporada 1 de {title}"
season,"vull veure la temporada {{season}} de {title}"
season,"emete la temporada {{season}} de {{title}}"
season,"posa la temporada {{season}}"
season,"busca la temporada {{season}}"
episode,"posa el pròxim episodi de {title}"
episode,"continua {{title}} desde on ho vaig deixar"
episode,"posa un episodi nou de {{title}}"
episode,"busca l'episodi més recent de {{title}}"
episode,"afegeix el pròxim {{title}} a la cua"
episode,"quin és l'episodi més recent de {{title}}"
genre,"posa anime de {{genre}}"
genre,"vull veure {{genre}}"
genre,"busca'm anime de {{genre}}"
genre,"posa una mica de {{genre}}"
genre,"em ve de bé {{genre}}"
genre,"emete anime de {{genre}}"
genre,"afegeix programes de {{genre}} a la cua"
genre,"mostra'm sèries de {{genre}}"
genre,"busca contingut de {{genre}}"
mood,"vull quelcom ple d'acció"
mood,"posa quelcom divertit"
mood,"busca'm quelcom romàntic"
mood,"vull quelcom fosc"
mood,"posa quelcom que escalfa el cor"
mood,"busca'm quelcom que fan pensar"
mood,"vull una aventura èpica"
mood,"posa quelcom bonic"
mood,"busca'm quelcom misteriós"
mood,"vull quelcom emocional"
era,"posa un anime clàssic"
era,"vull quelcom recent"
era,"busca'm un anime nou"
era,"mostra'm llançaments recents"
era,"vull quelcom dels 2000"
era,"posa un anime retro"
era,"busca una perla amagada d'anime"
studio,"busca anime de {{studio}}"
studio,"vull produccions de {{studio}}"
studio,"mostra'm anime de {{studio}}"
studio,"posa quelcom de {{studio}}"
type,"vull una sèrie de televisió"
type,"busca una pel·lícula"
type,"vull una sèrie curta"
type,"posa una OVA"
type,"busca una història única"
status,"continua la meva llista de veient"
status,"reprèn desde on ho vaig deixar"
status,"mostra'm què estic veient"
status,"quin anime estic seguint"
status,"busca noves llançaments"
status,"mostra'm sèries en curs"
status,"busca sèries completades"
discovery,"recomana un anime"
discovery,"suggereix quelcom per veure"
discovery,"busca anime semblant a {{title}}"
discovery,"què és similar a {{title}}"
discovery,"recomana programes semblants a {{title}}"
discovery,"mostra'm anime que tendeixen"
discovery,"què hauria de veure a continuació"
discovery,"sorpren-me amb un anime"
discovery,"què és popular ara mesmo"
discovery,"busca perles amagades"
provider,"busca anime a {{provider}}"
provider,"emete de {{provider}}"
provider,"mostra'm què hi ha a {{provider}}"
provider,"posa quelcom de {{provider}}"
rating,"mostra'm anime amb millor qualificació"
rating,"vull una sèrie aclamada per la crítica"
rating,"busca anime altament qualificat"
rating,"posa un programa amb excelentes ressenyes"
length,"vull un anime curt"
length,"busca una sèrie llarga"
length,"necessito un escena ràpida"
length,"busca una sèrie de 13 episodis"
length,"posa quelcom amb moltes temporades"
generic,"posa anime"
generic,"vull veure alguns anime"
generic,"busca'm un bon anime"
generic,"vull veure anime"
generic,"posa una mica d'anime"
generic,"emete anime"
generic,"mostra'm anime"
generic,"afegeix un anime a la cua"
generic,"quin anime hauria de veure"
generic,"posa quelcom"
generic,"estic avorrida, posa anime"
