category,template
title,"posa {title}"
title,"llegeix-me {title}"
title,"vull escoltar {title}"
title,"posa el llibre de veu {title}"
title,"busca el llibre de veu {title}"
title,"vull escoltar {title}"
title,"afegeix {title} a la cua"
title,"posa {title}"
title,"emete {title}"
title,"m'agradaria escoltar {{title}}"
title_author,"posa {title} de {author}"
title_author,"llegeix-me {{title}}"
title_author,"vull escoltar {{title}} de {author}"
title_author,"busca'm {{title}} de {{author}}"
title_author,"posa {{title}} de {{author}}"
title_author,"emete {{title}} de {{author}}"
author,"busca'm un llibre de veu de {author}"
author,"posa un llibre de {author}"
author,"m'agradaria escoltar {author}"
author,"llegeix-me quelcom de {author}"
author,"posa un llibre de veu de {author}"
author,"busca un llibre de veu de {{author}}"
author,"afegeix un llibre de veu de {{author}} a la cua"
author,"vull l'obra de {{author}}"
author,"emete {{author}}"
author,"posa quelcom de {{author}}"
author,"mostra'm llibres de veu de {{author}}"
genre,"posa un llibre de veu de {{genre}}"
genre,"vull escoltar un llibre de {{genre}}"
genre,"busca'm un llibre de veu de {{genre}}"
genre,"posa quelcom de {{genre}}"
genre,"emete un llibre de veu de {{genre}}"
genre,"afegeix un llibre de {{genre}} a la cua"
genre,"em ve de bé {{genre}}"
genre,"mostra'm històries de {{genre}}"
narrator,"posa quelcom narrat per {narrator}"
narrator,"vull escoltar la narració de {{narrator}}"
narrator,"busca un llibre de veu de {{narrator}}"
narrator,"afegeix un llibre de veu de {{narrator}} a la cua"
narrator,"posa un llibre de {{narrator}}"
mood,"vull quelcom relaxant"
mood,"posa quelcom emocionant"
mood,"busca'm quelcom divertit"
mood,"vull quelcom trist"
mood,"posa quelcom inspirador"
mood,"busca'm una aventura"
mood,"vull un misteri"
mood,"posa quelcom romàntic"
mood,"busca'm quelcom fosc"
series,"continua la sèrie de {{title}}"
series,"posa el pròxim llibre de {{title}}"
series,"vull escoltar la sèrie {{title}}"
series,"busca la sèrie de {{title}}"
series,"afegeix el pròxim llibre de {{title}} a la cua"
duration,"vull un llibre de veu curt"
duration,"posa quelcom ràpid"
duration,"busca un llibre de veu llarg per avui"
duration,"necessito un llibre de veu per a un viatge per carretera"
duration,"posa un llibre de veu de moltes hores"
discovery,"recomana un llibre de veu"
discovery,"suggereix quelcom per escoltar"
discovery,"busca llibres semblants a {{title}}"
discovery,"què hauria d'escoltar a continuació"
discovery,"recomana autors semblants a {{author}}"
discovery,"mostra'm noves llançaments"
discovery,"sorpren-me amb un llibre de veu"
discovery,"què tendeix en llibres de veu"
format,"posa un llibre de veu sense abreuja"
format,"vull una versió abreujada"
format,"busca un llibre de veu dramatitzat"
provider,"busca un llibre de veu a {{provider}}"
provider,"emete de {{provider}}"
provider,"mostra'm què hi ha a {{provider}}"
status,"continua donde ho vaig deixar"
status,"reprèn el meu llibre de veu"
status,"mostra'm la meva llista d'escolta"
status,"què estic escoltant actualment"
generic,"posa un llibre de veu"
generic,"llegeix-me un llibre"
generic,"vull escoltar un llibre"
generic,"busca'm quelcom per escoltar"
generic,"posa quelcom"
generic,"vull escoltar una història"
generic,"afegeix un llibre de veu a la cua"
generic,"estic avorrida, posa un llibre de veu"
generic,"busca'm un llibre de veu"
generic,"mostra'm un llibre"
generic,"vull escoltar quelcom"
generic,"emete un llibre de veu"
