category,template
title,"posa {title}"
title,"vull jugar {title}"
title,"obri {title}"
title,"comença {title}"
title,"obri {title}"
title,"m'agradaria jugar {title}"
title,"busca {title}"
title,"carrega {title}"
title,"arrenca {title}"
title,"pots posar {{title}}"
title,"afegeix {{title}} a la cua"
title,"posa {{title}}"
title,"executa {{title}}"
genre,"posa un joc de {{genre}}"
genre,"vull jugar {{genre}}"
genre,"busca'm un joc de {{genre}}"
genre,"posa un joc de {{genre}}"
genre,"em ve de bé {{genre}}"
genre,"emete un joc de {{genre}}"
genre,"afegeix un joc de {{genre}} a la cua"
genre,"mostra'm jocs de {{genre}}"
genre,"vull quelcom de {{genre}}"
platform,"busca un joc de {{platform}}"
platform,"vull jugar a {{platform}}"
platform,"mostra'm jocs de {{platform}}"
platform,"quins jocs de {{platform}} hauria de jugar"
platform,"afegeix un joc de {{platform}} a la cua"
platform,"posa quelcom a {{platform}}"
mood,"vull quelcom relaxant"
mood,"posa quelcom desafiant"
mood,"busca'm quelcom divertit"
mood,"vull quelcom competitiu"
mood,"posa quelcom cooperatiu"
mood,"busca'm quelcom estratègic"
mood,"vull una aventura"
mood,"posa quelcom esgarrifós"
mood,"busca'm quelcom divertit"
mood,"vull quelcom amb historia"
mode,"posa un joc per a un jugador"
mode,"vull multijugador"
mode,"busca un joc cooperatiu"
mode,"posa quelcom competitiu"
mode,"vull joc en línia"
mode,"busca multijugador local"
difficulty,"vull quelcom fàcil"
difficulty,"posa quelcom difícil"
difficulty,"busca un joc desafiant"
difficulty,"vull un joc casual"
difficulty,"posa quelcom per a jugadors hardcore"
length,"vull un joc ràpid"
length,"busca un joc llarg"
length,"necessito una sessió curta"
length,"posa quelcom per a unes hores"
duration,"tinc 30 minuts"
duration,"tinc una hora"
duration,"tinc tota la nit"
duration,"busca un joc que puc jugar en una sola sessió"
exploration,"busca jocs independents"
exploration,"mostra'm perles amagades"
exploration,"recomana un joc"
exploration,"quin joc hauria de jugar"
exploration,"sorpren-me amb un joc"
exploration,"suggereix quelcom nou"
exploration,"què tendeix en videojocs"
exploration,"busca jocs semblants a {{title}}"
rating,"mostra'm jocs millor qualificats"
rating,"vull un joc aclamat per la crítica"
rating,"busca jocs altament qualificats"
rating,"posa un joc amb excelentes ressenyes"
franchise,"busca jocs de {{title}}"
franchise,"posa quelcom de la sèrie {{title}}"
franchise,"quin joc de {{title}} hauria de jugar"
franchise,"afegeix {{title}} a la cua"
retro,"posa un joc clàssic"
retro,"vull un joc retro"
retro,"busca un joc antic"
retro,"mostra'm jocs de {{year}}"
retro,"vull un joc arcade"
recent,"posa un llançament nou"
recent,"busca un joc recent"
recent,"què hi ha de nou en videojocs"
recent,"mostra'm jocs de {{year}}"
recent,"afegeix el darrer llançament a la cua"
provider,"busca un joc a {{provider}}"
provider,"emete de {{provider}}"
provider,"mostra'm jocs de {{provider}}"
provider,"posa quelcom de {{provider}}"
generic,"posa un joc"
generic,"vull jugar un videojoc"
generic,"comença un joc"
generic,"estic avorrida, posa un joc"
generic,"busca'm un joc"
generic,"mostra'm un joc"
generic,"quin joc hauria de jugar"
generic,"sorpren-me amb un joc"
generic,"posa quelcom bona"
generic,"afegeix un joc a la cua"
