category,template
title,"posa {title}"
title,"mira {title}"
title,"vull veure {title}"
title,"posa {title}"
title,"pots posar {title}"
title,"busca {title} per a mi"
title,"emete {title}"
title,"mostra'm {title}"
title,"afegeix {title} a la cua"
actor,"posa una pel·lícula amb {actor}"
actor,"posa una pel·lícula amb {actor}"
actor,"vull veure una pel·lícula amb {actor}"
actor,"busca una pel·lícula amb {actor}"
actor,"mostra'm una pel·lícula amb {actor}"
actor,"m'agradaria veure una pel·lícula amb {actor}"
actor,"posa una pel·lícula amb {actor}"
actor,"emete una pel·lícula amb {actor}"
actor,"mira una pel·lícula amb {actor}"
actor,"busca'm quelcom amb {actor}"
actor,"vull veure {actor} en una pel·lícula"
actor,"pots posar una pel·lícula de {actor}"
actor,"afegeix una pel·lícula amb {actor} a la cua"
director,"posa una pel·lícula de {director}"
director,"vull veure una pel·lícula de {director}"
director,"mostra'm una pel·lícula de {director}"
director,"busca una pel·lícula de {director}"
director,"m'agradaria veure quelcom de {director}"
director,"posa la darrera pel·lícula de {director}"
director,"emete una pel·lícula dirigida per {director}"
director,"posa una pel·lícula dirigida per {director}"
director,"vull veure quelcom dirigit per {director}"
director,"busca'm una pel·lícula de {director}"
director,"pots posar una pel·lícula de {director}"
director,"afegeix una pel·lícula de {director} a la cua"
director,"em ve de bé {director}"
director_actor,"posa una pel·lícula de {{director}} amb {actor}"
director_actor,"vull veure una pel·lícula de {{director}} amb {actor}"
director_actor,"busca'm una pel·lícula de {{director}} amb {actor}"
director_actor,"posa una pel·lícula de {{director}} amb {actor}"
genre,"posa una pel·lícula {{genre}}"
genre,"vull veure {{genre}}"
genre,"busca'm quelcom {{genre}}"
genre,"mostra'm una pel·lícula {{genre}}"
genre,"em ve de bé {{genre}}"
genre,"posa una pel·lícula {{genre}}"
genre,"vull entreteniment {{genre}}"
genre,"emete una pel·lícula {{genre}}"
genre,"afegeix una pel·lícula {{genre}} a la cua"
genre,"posa quelcom {{genre}}"
year,"posa una pel·lícula de l'any {year}"
year,"vull veure una pel·lícula de {{year}}"
year,"busca'm una pel·lícula de {{year}}"
year,"mostra'm cinema de {{year}}"
year,"vull un clàssic de {{year}}"
year,"posa una pel·lícula de {{year}}"
era,"posa una pel·lícula clàssica"
era,"vull veure quelcom de l'edat d'or"
era,"busca'm una pel·lícula moderna"
era,"mostra'm cinema contemporani"
era,"vull una pel·lícula retro"
era,"posa un llançament recent"
mood,"busca'm quelcom que puc veure amb la família"
mood,"vull una pel·lícula per veure amb amics"
mood,"posa quelcom divertit"
mood,"necessito quelcom esgarrifós"
mood,"vull una pel·lícula romàntica"
mood,"posa una pel·lícula d'acció"
mood,"vull quelcom que fan pensar"
mood,"busca'm una aventura"
mood,"vull quelcom lleuger"
mood,"posa una pel·lícula per relaxar-me"
provider,"busca una pel·lícula a {provider}"
provider,"emete una pel·lícula a {provider}"
provider,"mostra'm què hi ha de nou a {provider}"
provider,"posa una pel·lícula de {provider}"
studio,"busca una pel·lícula de {studio}"
studio,"vull veure quelcom de {studio}"
studio,"mostra'm una producció de {{studio}}"
discovery,"recomana una pel·lícula"
discovery,"suggereix quelcom per veure"
discovery,"busca pel·lícules semblants a {title}"
discovery,"què és similar a {title}"
discovery,"recomana pel·lícules semblants a {{title}}"
discovery,"mostra'm noves llançaments"
discovery,"què hauria de veure"
discovery,"sorpren-me amb una pel·lícula"
runtime,"posa una pel·lícula curta"
runtime,"vull quelcom ràpid per veure"
runtime,"busca'm una pel·lícula de llarg metratge"
runtime,"necessito una pel·lícula llarga per avui"
generic,"posa una pel·lícula"
generic,"mira una pel·lícula"
generic,"vull veure una pel·lícula"
generic,"busca'm quelcom per veure"
generic,"posa una pel·lícula bona"
generic,"posa una pel·lícula"
generic,"afegeix una pel·lícula a la cua"
generic,"estic avorrida, posa una pel·lícula"
generic,"busca'm una pel·lícula"
generic,"mostra'm una pel·lícula"
generic,"vull veure una pel·lícula"
generic,"emete una pel·lícula"
generic,"quina pel·lícula hauria de veure"
generic,"posa quelcom bona"
