category,template
artist,"posa {artist}"
artist,"posa una mica de {artist}"
artist,"vull escoltar {artist}"
artist,"pots posar {artist}"
artist,"posa una mica de {artist}"
artist,"m'agradaria escoltar {artist}"
artist,"emete {artist}"
artist,"posa música de {artist}"
artist,"posa una cançó de {artist}"
artist,"posa quelcom de {artist}"
artist,"tinc gana d'escoltar {artist}"
artist,"em ve de bé {artist}"
artist,"busca'm una mica de {artist}"
artist,"posa la música de {artist}"
artist,"vull escoltar {artist}"
artist,"afegeix {artist} a la cua"
artist,"posa {artist}"
artist,"em dóna una mica de {artist}"
artist,"vull descobrir {artist}"
artist,"mostra'm com suena {artist}"
track,"posa {track}"
track,"posa la cançó {track}"
track,"vull escoltar {track}"
track,"busca {track} per a mi"
track,"vull escoltar {track}"
track,"pots posar {track}"
track,"posa {track}"
track,"afegeix {track} a la cua"
track,"posa la pista {track}"
track,"emete {track}"
track,"estic buscant {track}"
track,"busca'm {track}"
track_artist,"posa {track} de {artist}"
track_artist,"vull escoltar {track} de {artist}"
track_artist,"posa {track} de {artist}"
track_artist,"busca'm {track} de {artist}"
track_artist,"posa {track} de {artist}"
track_artist,"afegeix {track} de {artist} a la cua"
track_artist,"emete {track} de {artist}"
track_artist,"posa {track} de {artist}"
track_artist,"vull {track} de {artist}"
genre,"posa una mica de música {genre}"
genre,"vull escoltar una mica de {genre}"
genre,"posa una mica de {genre}"
genre,"em ve de bé {genre}"
genre,"posa una llista de reproducció {genre}"
genre,"busca'm una mica de música {genre}"
genre,"posa {genre} per a mi"
genre,"m'agradaria una mica de {genre}"
genre,"posa {genre}"
genre,"emete una mica de {genre}"
genre,"posa música {genre}"
genre,"em ve de bé {genre} ara"
genre,"em dóna unes vibracions {genre}"
genre,"mostra'm una mica de {genre}"
genre,"afegeix una mica de {genre} a la cua"
album,"posa l'àlbum {album}"
album,"vull escoltar {album}"
album,"posa {album}"
album,"posa {album} de {artist}"
album,"emete l'àlbum {album}"
album,"afegeix {album} a la cua"
album,"posa l'àlbum complet {album}"
album,"vull escoltar {album}"
album,"busca'm {album}"
album,"posa {album} de {artist}"
album,"vull escoltar l'àlbum {album}"
album,"emete {album}"
featuring,"posa {track} amb {artist}"
featuring,"emete {track} amb {artist}"
featuring,"posa'm {track} amb {artist}"
featuring,"vull escoltar {track} amb {artist}"
featuring,"posa {track} amb {artist}"
mood,"posa quelcom relaxant"
mood,"necessito una mica de música tranquil·la"
mood,"posa quelcom animat"
mood,"vull música per a treballar"
mood,"posa quelcom per a estudiar"
mood,"necessito música per a fer esport"
mood,"posa quelcom romàntic"
mood,"em dóna música alegre"
mood,"vull música melancòlica"
mood,"posa quelcom energètic"
playlist,"posa la meva llista de reproducció {playlist_name}"
playlist,"afegeix la meva {playlist_name} a la cua"
playlist,"vull escoltar la meva {playlist_name}"
playlist,"posa la meva llista de reproducció {playlist_name}"
playlist,"emete la meva {playlist_name}"
discovery,"descobreix música nova en {genre}"
discovery,"busca música nova en {genre}"
discovery,"mostra'm cançons noves de {artist}"
discovery,"què hi ha de nou de {artist}"
discovery,"recomana'm una mica de música {genre}"
discovery,"em dóna noves recomanacions de música"
discovery,"posa noves llançaments en {genre}"
generic,"posa una mica de música"
generic,"posa música"
generic,"vull escoltar música"
generic,"busca'm quelcom per escoltar"
generic,"posa quelcom"
generic,"afegeix quelcom a la cua"
generic,"vull escoltar quelcom"
generic,"posa una mica de música"
generic,"emete una mica de música"
generic,"posa qualsevol cosa"
generic,"estic avorrida, posa música"
generic,"posa música aleatòria"
