category,template
show,"posa el podcast {show}"
show,"vull escoltar {show}"
show,"posa un episodi de {show}"
show,"busca el podcast {show}"
show,"posa {show}"
show,"emete {show}"
show,"vull escoltar {show}"
show,"continua escoltant {show}"
show,"afegeix {show} a la cua"
show,"mostra'm {show}"
show,"pots posar {show}"
show,"m'agradaria escoltar {{show}}"
show,"reprèn {show}"
show,"què hi ha de nou a {{show}}"
show,"posa el darrer {{show}}"
show,"busca'm un episodi de {{show}}"
show,"posa {{show}}"
topic,"posa un podcast sobre {topic}"
topic,"busca'm un podcast sobre {topic}"
topic,"vull escoltar un podcast sobre {topic}"
topic,"posa un podcast de {topic}"
topic,"m'agradaria un podcast sobre {topic}"
topic,"emete un podcast sobre {topic}"
topic,"busca un podcast sobre {topic}"
topic,"posa quelcom sobre {topic}"
topic,"vull escoltar un podcast sobre {topic}"
topic,"busca'm un podcast de {topic}"
topic,"afegeix un podcast de {{topic}} a la cua"
topic,"pots posar un podcast de {{topic}}"
topic,"mostra'm un podcast sobre {{topic}}"
topic,"estic interessat en un podcast de {{topic}}"
topic,"recomana'm un podcast de {{topic}}"
episode,"posa el darrer episodi de {show}"
episode,"busca un episodi nou de {show}"
episode,"posa l'episodi més recent de {{show}}"
episode,"continua amb el pròxim episodi de {{show}}"
episode,"emete el darrer {{show}}"
episode,"afegeix el nou episodi de {{show}} a la cua"
episode,"quin és el darrer episodi de {{show}}"
episode,"posa l'episodi més recent de {{show}}"
series,"vull començar una nova sèrie de podcast"
series,"busca'm una sèrie de podcast"
series,"quina sèrie de podcast hauria d'escoltar"
series,"mostra'm sèries de podcast sobre {{topic}}"
series,"afegeix una nova sèrie a la cua"
series,"comença una sèrie de podcast amb mi"
discovery,"recomana un podcast"
discovery,"suggereix quelcom per escoltar"
discovery,"busca podcasts sobre {{topic}}"
discovery,"què tendeix en podcasts"
discovery,"mostra'm podcasts nous"
discovery,"busca perles amagades de podcast"
discovery,"quin podcast hauria de provar"
discovery,"sorpren-me amb un podcast"
discovery,"busca programes semblants a {{show}}"
discovery,"què és similar a {{show}}"
length,"vull un episodi de podcast curt"
length,"busca'm un podcast llarg"
length,"necessito un escolta ràpida"
length,"posa quelcom que puc escoltar mentre viajo"
frequency,"busca'm un podcast setmanal"
frequency,"vull un podcast diari"
frequency,"posa quelcom que es actualitza regularment"
genre,"posa un podcast de {{genre}}"
genre,"vull escoltar un programa de {{genre}}"
genre,"busca'm contingut de {{genre}}"
genre,"posa quelcom de {{genre}}"
genre,"emete un podcast de {{genre}}"
genre,"afegeix un programa de {{genre}} a la cua"
genre,"em ve de bé podcasts de {{genre}}"
mood,"vull quelcom educacional"
mood,"posa quelcom divertit"
mood,"necessito quelcom relaxant"
mood,"busca'm quelcom inspirador"
mood,"vull crim veritable"
mood,"posa quelcom reflexiu"
mood,"busca'm contingut entretingut"
host,"busca podcasts de {host}"
host,"vull escoltar {{host}}"
host,"posa un programa de {{host}}"
host,"posa quelcom conduït per {{host}}"
host,"emete el podcast de {{host}}"
provider,"busca un podcast a {provider}"
provider,"emete de {{provider}}"
provider,"mostra'm què hi ha a {{provider}}"
provider,"posa quelcom de {{provider}}"
generic,"posa un podcast"
generic,"posa alguns podcasts"
generic,"vull escoltar un podcast"
generic,"busca'm quelcom per escoltar"
generic,"posa quelcom"
generic,"afegeix quelcom a la cua"
generic,"vull escoltar quelcom"
generic,"posa un podcast"
generic,"emete un podcast"
generic,"posa qualsevol cosa"
generic,"estic avorrida, posa un podcast"
generic,"posa podcasts aleatòris"
generic,"quin podcast hauria d'escoltar"
