category,template
show,"posa {show}"
show,"posa {show}"
show,"vull veure {show}"
show,"busca {show} per a mi"
show,"posa un episodi de {show}"
show,"emete {show}"
show,"vull veure un episodi de {show}"
show,"posa la temporada 1 de {show}"
show,"continua veient {show}"
show,"pots posar {show}"
show,"mostra'm {show}"
show,"m'agradaria veure {show}"
show,"mira {show}"
show,"vull veure {show}"
show,"posa el pròxim episodi de {show}"
show,"afegeix {show} a la cua"
show,"posa {show}"
show,"reprèn {show}"
show,"què hi ha a continuació a {show}"
episode,"posa el pròxim episodi de {show}"
episode,"continua {{show}} des d'on ho vaig deixar"
episode,"posa un episodi nou de {show}"
episode,"posa un episodi de {{show}}"
episode,"busca el darrer episodi de {{show}}"
episode,"afegeix el pròxim {{show}} a la cua"
episode,"vull veure el pròxim episodi de {{show}}"
episode,"emete {{show}} nou"
episode,"posa l'episodi més recent de {{show}}"
episode,"quin és el darrer episodi de {{show}}"
season,"posa la temporada {season} de {show}"
season,"vull veure la temporada {{season}} de {show}"
season,"emete la temporada {{season}} de {show}"
season,"comença a partir de la temporada {{season}} de {show}"
season,"posa la temporada {{season}} de {show}"
season,"mostra'm la temporada {{season}} de {show}"
season,"busca la temporada {{season}} de {show}"
genre,"posa una sèrie {genre}"
genre,"vull veure una sèrie {{genre}}"
genre,"busca'm una sèrie {{genre}}"
genre,"posa quelcom {{genre}}"
genre,"mostra'm una sèrie {{genre}}"
genre,"em ve de bé {{genre}}"
genre,"emete una sèrie {{genre}}"
genre,"afegeix una sèrie {{genre}} a la cua"
provider,"busca una sèrie a {provider}"
provider,"emete una sèrie a {provider}"
provider,"mostra'm què hi ha a {provider}"
provider,"posa quelcom de {provider}"
provider,"busca sèries disponibles a {provider}"
network,"mostra'm sèries de {{network}}"
network,"vull veure quelcom de {{network}}"
network,"busca'm una producció de {{network}}"
network,"posa una sèrie de {{network}}"
era,"posa una sèrie clàssica de televisió"
era,"vull veure quelcom recent"
era,"busca'm una sèrie nova"
era,"mostra'm una sèrie retro"
era,"vull quelcom dels anys 90"
era,"posa un llançament nou"
era,"busca'm una sèrie en curs"
status,"continua la meva llista de veient"
status,"reprèn desde on ho vaig deixar"
status,"mostra'm què estic veient"
status,"quina sèrie estic seguint"
status,"busca noves llançaments"
status,"mostra'm episodis propers"
discovery,"recomana una sèrie de televisió"
discovery,"suggereix quelcom per veure"
discovery,"busca sèries semblants a {show}"
discovery,"què és similar a {{show}}"
discovery,"recomana sèries semblants a {show}"
discovery,"mostra'm sèries que tendeixen"
discovery,"què hauria de fer binge a continuació"
discovery,"sorpren-me amb una sèrie"
discovery,"què és popular ara mesmo"
discovery,"busca perles amagades a televisió"
length,"vull quelcom curt per veure"
length,"posa una sèrie ràpida"
length,"busca una sèrie llarga per fer binge"
length,"necessito una minisèrie"
length,"mostra'm sèries d'una única temporada"
generic,"posa una sèrie de televisió"
generic,"mira una sèrie"
generic,"vull veure una sèrie"
generic,"busca'm quelcom per veure"
generic,"posa quelcom"
generic,"afegeix una sèrie a la cua"
generic,"estic avorrida, posa una sèrie de televisió"
generic,"busca'm una sèrie"
generic,"mostra'm una sèrie"
generic,"vull veure què hi ha"
generic,"emete quelcom"
generic,"què hauria de veure"
generic,"posa quelcom bona"
generic,"vull fer binge quelcom"
