category,template
title,"spil {title}"
title,"se {title}"
title,"jeg vil gerne se {title}"
title,"sæt {title} på"
title,"spil et afsnit af {title}"
title,"stream {title}"
title,"find {title} til mig"
title,"jeg ville gerne se {{title}}"
title,"spil anime {{title}}"
title,"vis mig {{title}}"
title,"sæt {{title}} i kø"
title,"genoptag {{title}}"
title,"fortsæt {{title}}"
season,"spil sæson 1 af {title}"
season,"jeg vil gerne se sæson {{season}} af {title}"
season,"stream sæson {{season}} af {{title}}"
season,"sæt sæson {{season}} på"
season,"find sæson {{season}}"
episode,"spil næste afsnit af {title}"
episode,"fortsæt {{title}} fra hvor jeg slap af"
episode,"sæt et nyt {{title}} afsnit på"
episode,"find det seneste {{title}} afsnit"
episode,"sæt næste {{title}} i kø"
episode,"hvad er det nyeste {{title}} afsnit"
genre,"spil {{genre}} anime"
genre,"jeg vil gerne se {{genre}}"
genre,"find mig {{genre}} anime"
genre,"sæt noget {{genre}} på"
genre,"jeg er i stemning for {{genre}}"
genre,"stream {{genre}} anime"
genre,"sæt {{genre}} shows i kø"
genre,"vis mig {{genre}} serier"
genre,"find {{genre}} indhold"
mood,"jeg vil gerne have noget actionfyldt"
mood,"spil noget morsomt"
mood,"find mig noget romantisk"
mood,"jeg vil have noget mørkt"
mood,"spil noget hjertevarmende"
mood,"find mig noget tankevekkende"
mood,"jeg vil have et episk eventyr"
mood,"spil noget sødt"
mood,"find mig noget hemmelightsfuldt"
mood,"jeg vil have noget følelsesmæssigt"
era,"spil et klassisk anime"
era,"jeg vil gerne have noget nyt"
era,"find mig et nyt anime"
era,"vis mig nye udgivelser"
era,"jeg vil have noget fra 2000erne"
era,"spil et retro anime"
era,"find et skjult perle anime"
studio,"find anime fra {{studio}}"
studio,"jeg vil have {{studio}} produktioner"
studio,"vis mig {{studio}} anime"
studio,"spil noget af {{studio}}"
type,"jeg vil have en tv-serie"
type,"find en film"
type,"jeg vil have en kort serie"
type,"spil en OVA"
type,"find en one-shot"
status,"fortsæt min overvågningsliste"
status,"genoptag fra hvor jeg stoppede"
status,"vis mig hvad jeg ser"
status,"hvilket anime følger jeg"
status,"find nye udgivelser"
status,"vis mig igangværende serier"
status,"find færdige serier"
discovery,"anbefal et anime"
discovery,"foreslå noget til at se"
discovery,"find anime som {{title}}"
discovery,"hvad ligner {{title}}"
discovery,"anbefal shows som {{title}}"
discovery,"vis mig trending anime"
discovery,"hvad skal jeg se næste"
discovery,"overrask mig med et anime"
discovery,"hvad er populært lige nu"
discovery,"find skjulte perler"
provider,"find anime på {{provider}}"
provider,"stream fra {{provider}}"
provider,"vis mig hvad der er på {{provider}}"
provider,"spil noget fra {{provider}}"
rating,"vis mig højest rangerede anime"
rating,"jeg vil have et kritisk bifaldsseries"
rating,"find højt vurderede anime"
rating,"spil et højt anmeldt show"
length,"jeg vil gerne have et kort anime"
length,"find en lang serie"
length,"jeg har brug for en hurtig visning"
length,"find en 13-afsnits serie"
length,"spil noget med mange sæsoner"
generic,"spil anime"
generic,"jeg vil gerne se noget anime"
generic,"find mig et godt anime"
generic,"jeg vil gerne se anime"
generic,"sæt noget anime på"
generic,"stream anime"
generic,"vis mig anime"
generic,"sæt et anime i kø"
generic,"hvilket anime skal jeg se"
generic,"spil noget"
generic,"jeg er kræed, spil anime"
