category,template
title,"spil {title}"
title,"læs mig {title}"
title,"jeg vil gerne høre {title}"
title,"spil lydbogen {title}"
title,"find lydbogen {title}"
title,"jeg vil gerne høre {title}"
title,"sæt {title} i kø"
title,"sæt {title} på"
title,"stream {title}"
title,"jeg ville gerne lytte til {{title}}"
title_author,"spil {title} af {author}"
title_author,"læs {{title}} til mig"
title_author,"jeg vil gerne høre {{title}} af {author}"
title_author,"find mig {{title}} af {{author}}"
title_author,"sæt {{title}} på af {{author}}"
title_author,"stream {{title}} fra {{author}}"
author,"find mig en lydbok af {author}"
author,"spil en bog af {author}"
author,"jeg ville gerne høre {author}"
author,"læs mig noget af {author}"
author,"spil en lydbok af {author}"
author,"find en lydbok af {{author}}"
author,"sæt en {{author}} lydbok i kø"
author,"jeg vil have {{author}}s værk"
author,"stream {{author}}"
author,"sæt noget fra {{author}} på"
author,"vis mig {{author}} lydbøger"
genre,"spil en {{genre}} lydbok"
genre,"jeg vil gerne høre en {{genre}} bog"
genre,"find mig en {{genre}} lydbok"
genre,"sæt noget {{genre}} på"
genre,"stream en {{genre}} lydbok"
genre,"sæt en {{genre}} bog i kø"
genre,"jeg er i stemning for {{genre}}"
genre,"vis mig {{genre}} historier"
narrator,"spil noget fortalt af {narrator}"
narrator,"jeg vil gerne høre {{narrator}}s narration"
narrator,"find en lydbok af {{narrator}}"
narrator,"sæt en {{narrator}} lydbok i kø"
narrator,"sæt en {{narrator}} bog på"
mood,"jeg vil gerne høre noget afslappende"
mood,"spil noget spændende"
mood,"find mig noget morsomt"
mood,"jeg vil gerne høre noget trist"
mood,"spil noget inspirerende"
mood,"find mig et eventyr"
mood,"jeg vil gerne høre en mysterium"
mood,"spil noget romantisk"
mood,"find mig noget mørkt"
series,"fortsæt med {{title}} serien"
series,"spil næste bog i {{title}}"
series,"jeg vil gerne høre {{title}} serien"
series,"find {{title}} serien"
series,"sæt næste bog i {{title}} i kø"
duration,"jeg vil gerne høre en kort lydbok"
duration,"spil noget hurtigt"
duration,"find en lang lydbok til i aften"
duration,"jeg har brug for en lydbok til en lang køretur"
duration,"spil en multilange lydbok"
discovery,"anbefal en lydbok"
discovery,"foreslå noget til at høre"
discovery,"find bøger som {{title}}"
discovery,"hvad skal jeg høre næste"
discovery,"anbefal forfattere som {{author}}"
discovery,"vis mig nye udgivelser"
discovery,"overrask mig med en lydbok"
discovery,"hvad er trending i lydbøger"
format,"spil en uforkortet lydbok"
format,"jeg vil gerne have en forkortet version"
format,"find en dramatiseret lydbok"
provider,"find en lydbok på {{provider}}"
provider,"stream fra {{provider}}"
provider,"vis mig hvad der er på {{provider}}"
status,"fortsæt hvor jeg slap af"
status,"genoptag min lydbok"
status,"vis mig min lytterliste"
status,"hvad hører jeg i øjeblikket"
generic,"spil en lydbok"
generic,"læs mig en bog"
generic,"jeg vil gerne høre en bog"
generic,"find noget til at høre"
generic,"spil noget"
generic,"jeg vil gerne høre en historie"
generic,"sæt en lydbok i kø"
generic,"jeg er kræed, spil en lydbok"
generic,"find mig en lydbok"
generic,"vis mig en bog"
generic,"jeg vil gerne høre noget"
generic,"stream en lydbok"
