category,template
title,"spil {title}"
title,"jeg vil gerne spille {title}"
title,"start {title}"
title,"begin {title}"
title,"åbn {title}"
title,"jeg ville gerne spille {title}"
title,"find {title}"
title,"indlæs {title}"
title,"start {title}"
title,"kan du spille {{title}}"
title,"sæt {{title}} i kø"
title,"sæt {{title}} på"
title,"kør {{title}}"
genre,"spil et {{genre}} spil"
genre,"jeg vil gerne spille {{genre}}"
genre,"find mig et {{genre}} spil"
genre,"sæt et {{genre}} spil på"
genre,"jeg er i stemning for {{genre}}"
genre,"stream et {{genre}} spil"
genre,"sæt et {{genre}} spil i kø"
genre,"vis mig {{genre}} spil"
genre,"jeg vil have noget {{genre}}"
platform,"find et {{platform}} spil"
platform,"jeg vil gerne spille på {{platform}}"
platform,"vis mig {{platform}} spil"
platform,"hvilke {{platform}} spil skal jeg spille"
platform,"sæt et {{platform}} spil i kø"
platform,"spil noget på {{platform}}"
mood,"jeg vil gerne have noget afslappende"
mood,"spil noget udfordrende"
mood,"find mig noget sjovt"
mood,"jeg vil have noget konkurrencepræget"
mood,"spil noget kooperativt"
mood,"find mig noget strategisk"
mood,"jeg vil have et eventyr"
mood,"spil noget skræmmende"
mood,"find mig noget morsomt"
mood,"jeg vil have noget historiefokuseret"
mode,"spil single player"
mode,"jeg vil have multiplayer"
mode,"find et kooperativt spil"
mode,"spil noget konkurrencepræget"
mode,"jeg vil gerne spille online"
mode,"find lokalt multiplayer"
difficulty,"jeg vil gerne have noget let"
difficulty,"spil noget svært"
difficulty,"find et udfordrende spil"
difficulty,"jeg vil have et afslappet spil"
difficulty,"spil noget for hardcore spillere"
length,"jeg vil gerne have et hurtigt spil"
length,"find et langt spil at dykke ned i"
length,"jeg har brug for en kort session"
length,"spil noget til et par timers tid"
duration,"jeg har 30 minutter"
duration,"jeg har en time"
duration,"jeg har hele aften"
duration,"find et spil jeg kan spille på en gang"
exploration,"find indie spil"
exploration,"vis mig skjulte perler"
exploration,"anbefal et spil"
exploration,"hvilket spil skal jeg spille"
exploration,"overrask mig med et spil"
exploration,"foreslå noget nyt"
exploration,"hvad er trending inden for gaming"
exploration,"find spil som {{title}}"
rating,"vis mig højest rangerede spil"
rating,"jeg vil have et kritisk bifaldsspil"
rating,"find højt vurderede spil"
rating,"spil et spil med fantastiske anmeldelser"
franchise,"find {{title}} spil"
franchise,"spil noget fra {{title}} serien"
franchise,"hvilket {{title}} spil skal jeg spille"
franchise,"sæt {{title}} i kø"
retro,"spil et klassisk spil"
retro,"jeg vil have et retro spil"
retro,"find et gammelt spil"
retro,"vis mig spil fra {{year}}"
retro,"jeg vil have et arkade spil"
recent,"spil en ny udgivelse"
recent,"find et nyligt spil"
recent,"hvad er nyt inden for gaming"
recent,"vis mig spil fra {{year}}"
recent,"sæt den seneste udgivelse i kø"
provider,"find et spil på {{provider}}"
provider,"stream fra {{provider}}"
provider,"vis mig {{provider}} spil"
provider,"spil noget fra {{provider}}"
generic,"spil et spil"
generic,"jeg vil gerne spille et videospil"
generic,"start et spil"
generic,"jeg er kræed, spil et spil"
generic,"find mig et spil"
generic,"vis mig et spil"
generic,"hvilket spil skal jeg spille"
generic,"overrask mig med et spil"
generic,"spil noget godt"
generic,"sæt et spil i kø"
