category,template
title,"spil {title}"
title,"se {title}"
title,"jeg vil gerne se {title}"
title,"sæt {title} på"
title,"kan du spille {title}"
title,"find {title} til mig"
title,"stream {title}"
title,"vis mig {title}"
title,"sæt {title} i kø"
actor,"spil en film med {actor}"
actor,"spil en film med {actor}"
actor,"jeg vil gerne se en film med {actor}"
actor,"find en film med {actor}"
actor,"vis mig en film med {actor}"
actor,"jeg ville gerne se en film med {actor}"
actor,"sæt en film med {actor} på"
actor,"stream en film med {actor}"
actor,"se en film med {actor}"
actor,"find noget med {actor}"
actor,"jeg vil gerne se {actor} i en film"
actor,"kan du spille en {actor} film"
actor,"sæt en film med {actor} i kø"
director,"spil en film af {director}"
director,"jeg vil gerne se en {director} film"
director,"vis mig en {{director}} film"
director,"find en film af {director}"
director,"jeg ville gerne se noget af {director}"
director,"spil den seneste {{director}} film"
director,"stream en film af {director}"
director,"spil en film instrueret af {director}"
director,"jeg vil gerne se noget instrueret af {director}"
director,"find mig en {{director}} film"
director,"kan du spille en {{director}} film"
director,"sæt en {{director}} film i kø"
director,"jeg er i stemning for {{director}}"
director_actor,"spil en {{director}} film med {actor}"
director_actor,"jeg vil gerne se en {{director}} film med {actor}"
director_actor,"find mig en {{director}} film med {actor}"
director_actor,"sæt en {{director}} film med {actor} på"
genre,"spil en {{genre}} film"
genre,"jeg vil gerne se {{genre}}"
genre,"find noget {{genre}} til mig"
genre,"vis mig en {{genre}} film"
genre,"jeg er i stemning for {{genre}}"
genre,"spil en {{genre}} flick"
genre,"jeg vil have {{genre}} underholdning"
genre,"stream en {{genre}} film"
genre,"sæt en {{genre}} film i kø"
genre,"sæt noget {{genre}} på"
year,"spil en film fra året {year}"
year,"jeg vil gerne se en {{year}} film"
year,"find mig en film fra {{year}}"
year,"vis mig {{year}} film"
year,"jeg vil have en {{year}} klassiker"
year,"sæt en {{year}} film på"
era,"spil en klassisk film"
era,"jeg vil gerne se noget fra guldalderen"
era,"find mig en moderne film"
era,"vis mig samtidig film"
era,"jeg vil have en retro film"
era,"spil en nylig udgivelse"
mood,"find noget til mig at se med familie"
mood,"jeg vil have en film til at se med venner"
mood,"spil noget morsomt"
mood,"jeg har brug for noget skræmmende"
mood,"jeg vil have en romantisk film"
mood,"spil en actionfilm"
mood,"jeg vil have noget tankevekkende"
mood,"find mig et eventyr"
mood,"jeg vil have noget let og humoristisk"
mood,"spil en film jeg kan slappe af til"
provider,"find en film på {provider}"
provider,"stream en film på {provider}"
provider,"vis mig hvad der er nyt på {provider}"
provider,"spil en film fra {provider}"
studio,"find en film af {studio}"
studio,"jeg vil gerne se noget fra {studio}"
studio,"vis mig en {{studio}} produktion"
discovery,"anbefal en film"
discovery,"foreslå noget til at se"
discovery,"find nye films som {title}"
discovery,"hvad ligner {{title}}"
discovery,"anbefal films som {{title}}"
discovery,"vis mig nye udgivelser"
discovery,"hvad skal jeg se næste"
discovery,"overrask mig med en film"
runtime,"spil en kort film"
runtime,"jeg vil gerne se noget hurtigt"
runtime,"find mig en langt spillefilmsfilm"
runtime,"jeg har brug for en lang film i aften"
generic,"spil en film"
generic,"se en film"
generic,"jeg vil gerne se en film"
generic,"find noget til at se"
generic,"spil en god film"
generic,"sæt en film på"
generic,"sæt en film i kø"
generic,"jeg er kræed, spil en film"
generic,"find mig en film"
generic,"vis mig en film"
generic,"jeg vil gerne se en film"
generic,"stream en film"
generic,"hvilken film skal jeg se"
generic,"spil noget godt"
