category,template
artist,"spil {artist}"
artist,"spil lidt {artist}"
artist,"jeg vil gerne høre {artist}"
artist,"kan du spille {artist}"
artist,"sæt lidt {artist} på"
artist,"jeg ville gerne høre {artist}"
artist,"stream {artist}"
artist,"spil musik af {artist}"
artist,"spil en sang af {artist}"
artist,"spil noget fra {artist}"
artist,"jeg har lyst til at høre {artist}"
artist,"jeg er i stemning for {artist}"
artist,"find noget {artist} til mig"
artist,"spil {artist}s musik"
artist,"jeg vil gerne høre {artist}"
artist,"sæt {artist} i kø"
artist,"sæt {artist} på"
artist,"giv mig noget {artist}"
artist,"jeg vil gerne opdage {artist}"
artist,"vis mig hvordan {artist} lyder"
track,"spil {track}"
track,"spil sangen {track}"
track,"jeg vil gerne høre {track}"
track,"find {track} til mig"
track,"jeg vil gerne høre {track}"
track,"kan du spille {track}"
track,"sæt {track} på"
track,"sæt {track} i kø"
track,"spil sporet {track}"
track,"stream {track}"
track,"jeg leder efter {track}"
track,"find mig {track}"
track_artist,"spil {track} af {artist}"
track_artist,"jeg vil gerne høre {track} af {artist}"
track_artist,"spil {track} fra {artist}"
track_artist,"find mig {track} af {artist}"
track_artist,"sæt {track} på af {artist}"
track_artist,"sæt {track} i kø af {artist}"
track_artist,"stream {track} af {artist}"
track_artist,"spil {track} fra {artist}"
track_artist,"jeg vil have {track} af {artist}"
genre,"spil noget {genre} musik"
genre,"jeg vil gerne høre noget {genre}"
genre,"sæt noget {genre} på"
genre,"jeg er i stemning for {genre}"
genre,"spil en {genre} afspilningsliste"
genre,"find noget {genre} musik til mig"
genre,"spil {genre} til mig"
genre,"jeg vil gerne have noget {genre}"
genre,"spil {genre}"
genre,"stream noget {genre}"
genre,"sæt {genre} musik på"
genre,"jeg har lyst til {genre} lige nu"
genre,"giv mig noget {genre} vibrant"
genre,"vis mig noget {genre}"
genre,"sæt noget {genre} i kø"
album,"spil albummet {album}"
album,"jeg vil gerne høre {album}"
album,"sæt {album} på"
album,"spil {album} af {artist}"
album,"stream albummet {album}"
album,"sæt {album} i kø"
album,"spil hele albummet {album}"
album,"jeg vil gerne høre {album}"
album,"find mig {album}"
album,"spil {album} fra {artist}"
album,"jeg vil gerne høre albummet {album}"
album,"stream {album}"
featuring,"spil {track} med {artist}"
featuring,"stream {track} med {artist}"
featuring,"spil mig {track} med {artist}"
featuring,"jeg vil gerne høre {track} med {artist}"
featuring,"sæt {track} med {artist} på"
mood,"spil noget afslappende"
mood,"jeg har brug for lidt rolig musik"
mood,"spil noget oplivende"
mood,"jeg vil have musik til at arbejde med"
mood,"spil noget til at studere"
mood,"jeg har brug for træningsmusik"
mood,"spil noget romantisk"
mood,"giv mig glad musik"
mood,"jeg vil have melankolsk musik"
mood,"spil noget energetisk"
playlist,"spil min {playlist_name} afspilningsliste"
playlist,"sæt min {playlist_name} i kø"
playlist,"jeg vil gerne høre min {playlist_name}"
playlist,"sæt min {playlist_name} afspilningsliste på"
playlist,"stream min {playlist_name}"
discovery,"opdag ny {genre}"
discovery,"find ny musik i {genre}"
discovery,"vis mig nye sange fra {artist}"
discovery,"hvad er nyt fra {artist}"
discovery,"anbefal noget {genre} musik"
discovery,"giv mig nye musikanbefalinger"
discovery,"spil nye udgivelser i {genre}"
generic,"spil noget musik"
generic,"spil musik"
generic,"jeg vil gerne høre musik"
generic,"find noget til at høre"
generic,"spil noget"
generic,"sæt noget i kø"
generic,"jeg vil gerne høre noget"
generic,"sæt lidt musik på"
generic,"stream noget musik"
generic,"spil hvad som helst"
generic,"jeg er kræed, spil musik"
generic,"spil tilfældig musik"
