category,template
show,"spil {{show}} podcasten"
show,"jeg vil gerne høre {show}"
show,"spil et afsnit af {show}"
show,"find {{show}} podcasten"
show,"sæt {show} på"
show,"stream {show}"
show,"jeg vil gerne høre {show}"
show,"fortsæt med at lytte til {show}"
show,"sæt {show} i kø"
show,"vis mig {show}"
show,"kan du spille {show}"
show,"jeg ville gerne lytte til {{show}}"
show,"genoptag {show}"
show,"hvad er nyt i {{show}}"
show,"spil det seneste {{show}}"
show,"find mig et afsnit af {{show}}"
show,"sæt {{show}} på"
topic,"spil en podcast om {topic}"
topic,"find mig en podcast om {topic}"
topic,"jeg vil gerne høre en podcast om {topic}"
topic,"sæt en {topic} podcast på"
topic,"jeg ville gerne have en podcast om {topic}"
topic,"stream en podcast om {topic}"
topic,"find en podcast om {topic}"
topic,"spil noget om {topic}"
topic,"jeg vil gerne høre en podcast om {topic}"
topic,"find mig en {topic} podcast"
topic,"sæt en {{topic}} podcast i kø"
topic,"kan du spille en {{topic}} podcast"
topic,"vis mig en podcast om {{topic}}"
topic,"jeg er interesseret i en {{topic}} podcast"
topic,"anbefal en {{topic}} podcast"
episode,"spil det seneste afsnit af {show}"
episode,"find et nyt afsnit af {show}"
episode,"sæt det nyeste {{show}} afsnit på"
episode,"fortsæt med næste {{show}} afsnit"
episode,"stream det seneste {{show}}"
episode,"sæt det nye {{show}} afsnit i kø"
episode,"hvad er det nyeste {{show}} afsnit"
episode,"spil det seneste {{show}}"
series,"jeg vil gerne starte en ny podcast serie"
series,"find mig en podcast serie"
series,"hvilken podcast serie skal jeg lytte til"
series,"vis mig podcast serier om {{topic}}"
series,"sæt en ny serie i kø"
series,"start en podcast serie med mig"
discovery,"anbefal en podcast"
discovery,"foreslå noget til at høre"
discovery,"find podcasts om {{topic}}"
discovery,"hvad er trending i podcasts"
discovery,"vis mig nye podcasts"
discovery,"find skjulte perle podcasts"
discovery,"hvilken podcast skal jeg prøve"
discovery,"overrask mig med en podcast"
discovery,"find serier som {{show}}"
discovery,"hvad ligner {{show}}"
length,"jeg vil gerne høre en kort podcast afsnit"
length,"find mig en lang podcast"
length,"jeg har brug for en hurtig lytning"
length,"spil noget jeg kan høre mens jeg pendler"
frequency,"find mig en ugentlig podcast"
frequency,"jeg vil gerne have en daglig podcast"
frequency,"sæt noget på der bliver opdateret regelmæssigt"
genre,"spil en {{genre}} podcast"
genre,"jeg vil gerne høre en {{genre}} show"
genre,"find mig {{genre}} indhold"
genre,"sæt noget {{genre}} på"
genre,"stream en {{genre}} podcast"
genre,"sæt en {{genre}} show i kø"
genre,"jeg er i stemning for {{genre}} podcasts"
mood,"jeg vil gerne høre noget uddannelsesmæssigt"
mood,"spil noget morsomt"
mood,"jeg har brug for noget afslappende"
mood,"find mig noget inspirerende"
mood,"jeg vil gerne høre true crime"
mood,"spil noget gennemtænkt"
mood,"find mig underholdende indhold"
host,"find podcasts af {host}"
host,"jeg vil gerne høre {{host}}"
host,"sæt en show fra {{host}} på"
host,"spil noget vært af {{host}}"
host,"stream {{host}}s podcast"
provider,"find en podcast på {provider}"
provider,"stream fra {{provider}}"
provider,"vis mig hvad der er på {{provider}}"
provider,"spil noget fra {{provider}}"
generic,"spil en podcast"
generic,"spil nogle podcasts"
generic,"jeg vil gerne høre en podcast"
generic,"find noget til at høre"
generic,"spil noget"
generic,"sæt noget i kø"
generic,"jeg vil gerne høre noget"
generic,"sæt en podcast på"
generic,"stream en podcast"
generic,"spil hvad som helst"
generic,"jeg er kræed, spil en podcast"
generic,"spil tilfældig podcasts"
generic,"hvilken podcast skal jeg høre"
