category,template
station,"spil {station}"
station,"skru til {station}"
station,"sæt {station} på"
station,"jeg vil gerne høre {station}"
station,"spil {{station}} radio"
station,"stream {{station}}"
station,"find {{station}}"
station,"tænd for {{station}}"
station,"skift til {{station}}"
station,"kan du spille {{station}}"
station,"sæt {{station}} i kø"
station,"vis mig {{station}}"
station,"jeg ville gerne høre {{station}}"
station,"genoptag {{station}}"
genre,"spil {{genre}} radio"
genre,"jeg vil gerne høre {{genre}} radio"
genre,"find mig en {{genre}} radiostation"
genre,"sæt noget {{genre}} radio på"
genre,"stream noget {{genre}} radio"
genre,"jeg er i stemning for {{genre}}"
genre,"sæt {{genre}} i kø"
genre,"vis mig {{genre}} stationer"
genre,"spil {{genre}} til mig"
genre,"find en {{genre}} station"
genre,"skru til {{genre}} radio"
format,"spil en AM radiostation"
format,"jeg vil gerne have FM-radio"
format,"find en satellit radiostation"
format,"stream internetradio"
format,"sæt online radio på"
format,"sæt en podcast radio i kø"
stream,"stream {{station}}"
stream,"jeg vil gerne streame {{station}}"
stream,"find en stream"
stream,"spil en live stream"
stream,"sæt en stream i kø"
stream,"jeg vil gerne have streamingradio"
mood,"jeg vil gerne have afslappende musik"
mood,"spil noget oplivende"
mood,"find mig jazz radio"
mood,"sæt klassisk på"
mood,"jeg vil gerne have rockmusik"
mood,"spil noget chill"
mood,"find energetisk musik"
mood,"jeg vil gerne have omgivende lyde"
mood,"spil talkradio"
mood,"find nyhetsradio"
location,"spil {{location}} radio"
location,"jeg vil gerne have {{location}} station"
location,"find en {{location}} radio"
location,"vis mig {{location}} radio"
location,"skru til {{location}}"
language,"spil {{language}} radio"
language,"jeg vil gerne have {{language}} station"
language,"find en {{language}} radio"
language,"stream på {{language}}"
availability,"find hvad der er tilgængeligt nu"
availability,"hvad kan jeg skru til"
availability,"vis mig nuværende stationer"
availability,"spil noget tilgængeligt"
availability,"sæt hvad der er på i kø"
discovery,"anbefal en radiostation"
discovery,"foreslå noget til at høre"
discovery,"find nye radiostationer"
discovery,"hvad skal jeg skru til"
discovery,"vis mig trending stationer"
discovery,"overrask mig med en station"
discovery,"find skjulte perle stationer"
discovery,"hvad er populært lige nu"
category,"jeg vil gerne have talkradio"
category,"spil musikradio"
category,"find nyhetsradio"
category,"stream sportsradio"
category,"spil varierad radio"
category,"find komedi radio"
category,"sæt uddannelsesradio på"
provider,"find radio på {{provider}}"
provider,"stream fra {{provider}}"
provider,"vis mig {{provider}} stationer"
provider,"spil {{provider}} radio"
generic,"spil radioen"
generic,"tænd for radioen"
generic,"find mig en radiostation"
generic,"sæt noget radio på"
generic,"stream radio"
generic,"jeg vil gerne høre radioen"
generic,"vis mig radio"
generic,"sæt en station i kø"
generic,"jeg er kræed, spil radio"
generic,"spil noget"
