category,template
show,"spil {show}"
show,"sæt {show} på"
show,"jeg vil gerne se {show}"
show,"find {show} til mig"
show,"spil et afsnit af {show}"
show,"stream {show}"
show,"jeg vil gerne se et afsnit af {show}"
show,"spil sæson 1 af {show}"
show,"fortsæt med at se {show}"
show,"kan du spille {show}"
show,"vis mig {show}"
show,"jeg ville gerne se {show}"
show,"se {show}"
show,"jeg vil gerne se {show}"
show,"spil næste afsnit af {show}"
show,"sæt {show} i kø"
show,"sæt {show} på"
show,"genoptag {show}"
show,"hvad er næste i {show}"
episode,"spil næste afsnit af {show}"
episode,"fortsæt {{show}} fra hvor jeg slap af"
episode,"spil et nyt afsnit af {show}"
episode,"sæt et {{show}} afsnit på"
episode,"find det seneste {{show}} afsnit"
episode,"sæt næste {{show}} i kø"
episode,"jeg vil gerne se næste {{show}}"
episode,"stream nyt {{show}}"
episode,"spil det seneste {{show}} afsnit"
episode,"hvad er det nyeste {{show}} afsnit"
season,"spil sæson {season} af {show}"
season,"jeg vil gerne se sæson {{season}} af {show}"
season,"stream sæson {{season}} af {show}"
season,"start fra sæson {{season}} af {show}"
season,"sæt sæson {{season}} af {show} på"
season,"vis mig sæson {{season}} af {show}"
season,"find sæson {{season}} af {show}"
genre,"spil en {genre} serie"
genre,"jeg vil gerne se en {{genre}} serie"
genre,"find mig en {{genre}} tv-serie"
genre,"sæt noget {{genre}} på"
genre,"vis mig en {{genre}} serie"
genre,"jeg er i stemning for {{genre}}"
genre,"stream en {{genre}} serie"
genre,"sæt en {{genre}} serie i kø"
provider,"find en serie på {provider}"
provider,"stream en serie på {provider}"
provider,"vis mig hvad der er på {provider}"
provider,"spil noget fra {provider}"
provider,"find serier tilgængelige på {provider}"
network,"vis mig {{network}} serier"
network,"jeg vil gerne se noget fra {{network}}"
network,"find mig en {{network}} produktion"
network,"spil en {{network}} serie"
era,"spil en klassisk tv-serie"
era,"jeg vil gerne se noget nyt"
era,"find mig en ny serie"
era,"vis mig en retro serie"
era,"jeg vil have noget fra 90erne"
era,"spil en ny udgivelse"
era,"find mig en igangværende serie"
status,"fortsæt min overvågningsliste"
status,"genoptag fra hvor jeg stoppede"
status,"vis mig hvad jeg ser"
status,"hvilken serie følger jeg"
status,"find nye udgivelser"
status,"vis mig kommende afsnit"
discovery,"anbefal en tv-serie"
discovery,"foreslå noget til at se"
discovery,"find serier som {show}"
discovery,"hvad ligner {{show}}"
discovery,"anbefal serier som {show}"
discovery,"vis mig trending serier"
discovery,"hvad skal jeg se næste"
discovery,"overrask mig med en serie"
discovery,"hvad er populært lige nu"
discovery,"find skjulte perler på tv"
length,"jeg vil gerne se noget kort"
length,"spil en hurtig serie"
length,"find en lang serie at se"
length,"jeg har brug for en miniserie"
length,"vis mig serier med en sæson"
generic,"spil en tv-serie"
generic,"se en serie"
generic,"jeg vil gerne se en serie"
generic,"find noget til at se"
generic,"sæt noget på"
generic,"sæt en serie i kø"
generic,"jeg er kræed, spil en tv-serie"
generic,"find mig en serie"
generic,"vis mig en serie"
generic,"jeg vil gerne se hvad der er på"
generic,"stream noget"
generic,"hvad skal jeg se"
generic,"spil noget godt"
generic,"jeg vil gerne se noget"
