category,template
title,"spiele {title}"
title,"schaue {title}"
title,"ich möchte {title} schauen"
title,"spiele {title}"
title,"spiele eine folge von {title}"
title,"streame {title}"
title,"finde {title} für mich"
title,"ich würde gerne {{title}} schauen"
title,"spiele den anime {{title}}"
title,"zeige mir {{title}}"
title,"stelle {{title}} in die warteschlange"
title,"setze {{title}} fort"
title,"schaue {{title}} weiter"
season,"spiele staffel 1 von {title}"
season,"ich möchte staffel {{season}} von {title} schauen"
season,"streame staffel {{season}} von {{title}}"
season,"spiele staffel {{season}}"
season,"finde staffel {{season}}"
episode,"spiele die nächste folge von {title}"
episode,"schaue {{title}} dort weiter wo ich aufgehört habe"
episode,"spiele eine neue {{title}} folge"
episode,"finde die neueste {{title}} folge"
episode,"stelle die nächste {{title}} in die warteschlange"
episode,"was ist die neueste {{title}} folge"
genre,"spiele {{genre}} anime"
genre,"ich möchte {{genre}} schauen"
genre,"finde mir {{genre}} anime"
genre,"spiele etwas {{genre}}"
genre,"ich bin in der stimmung für {{genre}}"
genre,"streame {{genre}} anime"
genre,"stelle {{genre}} serien in die warteschlange"
genre,"zeige mir {{genre}} serien"
genre,"finde {{genre}} inhalte"
mood,"ich möchte etwas actiongeladenes"
mood,"spiele etwas lustiges"
mood,"finde mir etwas romantisches"
mood,"ich möchte etwas düsteres"
mood,"spiele etwas herzergreifendes"
mood,"finde mir etwas durchdachtes"
mood,"ich möchte ein episches abenteuer"
mood,"spiele etwas niedliches"
mood,"finde mir etwas mysteriöses"
mood,"ich möchte etwas emotionales"
era,"spiele einen klassischen anime"
era,"ich möchte etwas aktuelles"
era,"finde mir einen neuen anime"
era,"zeige mir neue veröffentlichungen"
era,"ich möchte etwas aus den 2000ern"
era,"spiele einen retro-anime"
era,"finde einen versteckten juwel-anime"
studio,"finde anime von {{studio}}"
studio,"ich möchte {{studio}} produktionen"
studio,"zeige mir {{studio}} anime"
studio,"spiele etwas von {{studio}}"
type,"ich möchte eine fernsehserie"
type,"finde einen film"
type,"ich möchte eine kurzserie"
type,"spiele ein ova"
type,"finde eine one-shot"
status,"setze meine watchlist fort"
status,"setze dort fort wo ich aufgehört habe"
status,"zeige mir was ich schaue"
status,"welchen anime verfolge ich"
status,"finde neue veröffentlichungen"
status,"zeige mir laufende serien"
status,"finde abgeschlossene serien"
discovery,"empfehle mir einen anime"
discovery,"schlag mir etwas zum schauen vor"
discovery,"finde anime wie {{title}}"
discovery,"was ist ähnlich wie {{title}}"
discovery,"empfehle mir serien wie {{title}}"
discovery,"zeige mir trendige anime"
discovery,"was sollte ich als nächstes schauen"
discovery,"überrasche mich mit einem anime"
discovery,"was ist gerade beliebt"
discovery,"finde versteckte perlen"
provider,"finde anime auf {{provider}}"
provider,"streame von {{provider}}"
provider,"zeige mir was auf {{provider}} läuft"
provider,"spiele etwas von {{provider}}"
rating,"zeige mir hochbewertete anime"
rating,"ich möchte eine kritisch gefeierte serie"
rating,"finde hochbewertete anime"
rating,"spiele eine hochbewertete serie"
length,"ich möchte einen kurzen anime"
length,"finde eine lange serie"
length,"ich brauche etwas schnells zum schauen"
length,"finde eine 13-folgen-serie"
length,"spiele etwas mit vielen staffeln"
generic,"spiele anime"
generic,"ich möchte einen anime schauen"
generic,"finde mir einen guten anime"
generic,"ich möchte anime schauen"
generic,"spiele etwas anime"
generic,"streame anime"
generic,"zeige mir anime"
generic,"stelle einen anime in die warteschlange"
generic,"welchen anime sollte ich schauen"
generic,"spiele etwas"
generic,"mir ist langweilig, spiele anime"
