category,template
title,"spiele {title}"
title,"lese mir {title}"
title,"ich möchte {title} hören"
title,"spiele das hörbuch {title}"
title,"finde das hörbuch {title}"
title,"ich möchte {title} hören"
title,"stelle {title} in die warteschlange"
title,"spiele {title}"
title,"streame {title}"
title,"ich würde gerne {{title}} hören"
title_author,"spiele {title} von {author}"
title_author,"lese mir {{title}}"
title_author,"ich möchte {{title}} von {author} hören"
title_author,"finde mir {{title}} von {{author}}"
title_author,"spiele {{title}} von {{author}}"
title_author,"streame {{title}} von {{author}}"
author,"finde mir ein hörbuch von {author}"
author,"spiele ein buch von {author}"
author,"ich würde gerne {author} hören"
author,"lese mir etwas von {author}"
author,"spiele ein hörbuch von {author}"
author,"finde ein hörbuch von {{author}}"
author,"stelle ein {{author}} hörbuch in die warteschlange"
author,"ich möchte {{author}}'s werk"
author,"streame {{author}}"
author,"spiele etwas von {{author}}"
author,"zeige mir {{author}} hörbücher"
genre,"spiele ein {{genre}} hörbuch"
genre,"ich möchte ein {{genre}} buch hören"
genre,"finde mir ein {{genre}} hörbuch"
genre,"spiele etwas {{genre}}"
genre,"streame ein {{genre}} hörbuch"
genre,"stelle ein {{genre}} buch in die warteschlange"
genre,"ich bin in der stimmung für {{genre}}"
genre,"zeige mir {{genre}} geschichten"
narrator,"spiele etwas erzählt von {narrator}"
narrator,"ich möchte {{narrator}}'s erzählung hören"
narrator,"finde ein hörbuch von {{narrator}}"
narrator,"stelle ein {{narrator}} hörbuch in die warteschlange"
narrator,"spiele ein {{narrator}} buch"
mood,"ich möchte etwas entspannendes"
mood,"spiele etwas spannendes"
mood,"finde mir etwas lustiges"
mood,"ich möchte etwas trauriges"
mood,"spiele etwas inspirierendes"
mood,"finde mir ein abenteuer"
mood,"ich möchte ein rätsel"
mood,"spiele etwas romantisches"
mood,"finde mir etwas düsteres"
series,"setze die {{title}} serie fort"
series,"spiele das nächste buch in {{title}}"
series,"ich möchte die {{title}} serie hören"
series,"finde die {{title}} serie"
series,"stelle das nächste buch in {{title}} in die warteschlange"
duration,"ich möchte ein kurzes hörbuch"
duration,"spiele etwas schnelles"
duration,"finde ein langes hörbuch für heute nacht"
duration,"ich brauche ein hörbuch für eine lange fahrt"
duration,"spiele ein mehrstündiges hörbuch"
discovery,"empfehle mir ein hörbuch"
discovery,"schlag mir etwas zum hören vor"
discovery,"finde bücher wie {{title}}"
discovery,"was sollte ich als nächstes hören"
discovery,"empfehle mir autoren wie {{author}}"
discovery,"zeige mir neue veröffentlichungen"
discovery,"überrasche mich mit einem hörbuch"
discovery,"was trendiert bei hörbüchern"
format,"spiele ein ungekürztes hörbuch"
format,"ich möchte eine gekürzte version"
format,"finde ein dramatisiertes hörbuch"
provider,"finde ein hörbuch auf {{provider}}"
provider,"streame von {{provider}}"
provider,"zeige mir was auf {{provider}} läuft"
status,"setze dort fort wo ich aufgehört habe"
status,"setze mein hörbuch fort"
status,"zeige mir meine hörbuch-liste"
status,"welches hörbuch höre ich gerade"
generic,"spiele ein hörbuch"
generic,"lese mir ein buch"
generic,"ich möchte ein buch hören"
generic,"finde mir etwas zum hören"
generic,"spiele etwas"
generic,"ich möchte eine geschichte hören"
generic,"stelle ein hörbuch in die warteschlange"
generic,"mir ist langweilig, spiele ein hörbuch"
generic,"finde mir ein hörbuch"
generic,"zeige mir ein buch"
generic,"ich möchte etwas hören"
generic,"streame ein hörbuch"
