category,template
title,"spiele {title}"
title,"ich möchte {title} spielen"
title,"starte {title}"
title,"beginne {title}"
title,"öffne {title}"
title,"ich würde gerne {{title}} spielen"
title,"finde {title}"
title,"lade {{title}}"
title,"starte {{title}}"
title,"kannst du {{title}} spielen"
title,"stelle {{title}} in die warteschlange"
title,"spiele {{title}}"
title,"führe {{title}} aus"
genre,"spiele ein {{genre}} spiel"
genre,"ich möchte {{genre}} spielen"
genre,"finde mir ein {{genre}} spiel"
genre,"spiele ein {{genre}} spiel"
genre,"ich bin in der stimmung für {{genre}}"
genre,"streame ein {{genre}} spiel"
genre,"stelle ein {{genre}} spiel in die warteschlange"
genre,"zeige mir {{genre}} spiele"
genre,"ich möchte etwas {{genre}}"
platform,"finde ein {{platform}} spiel"
platform,"ich möchte auf {{platform}} spielen"
platform,"zeige mir {{platform}} spiele"
platform,"welche {{platform}} spiele sollte ich spielen"
platform,"stelle ein {{platform}} spiel in die warteschlange"
platform,"spiele etwas auf {{platform}}"
mood,"ich möchte etwas entspannendes"
mood,"spiele etwas schwieriges"
mood,"finde mir etwas spaßiges"
mood,"ich möchte etwas wettbewerbsorientiertes"
mood,"spiele etwas kooperatives"
mood,"finde mir etwas strategisches"
mood,"ich möchte ein abenteuer"
mood,"spiele etwas angespanntes"
mood,"finde mir etwas lustiges"
mood,"ich möchte etwas story-getriebenes"
mode,"spiele single player"
mode,"ich möchte multiplayer"
mode,"finde ein kooperatives spiel"
mode,"spiele etwas wettbewerbsorientiertes"
mode,"ich möchte online gaming"
mode,"finde lokales multiplayer"
difficulty,"ich möchte etwas einfaches"
difficulty,"spiele etwas schwieriges"
difficulty,"finde ein anspruchsvolles spiel"
difficulty,"ich möchte ein casual spiel"
difficulty,"spiele etwas für hardcore-spieler"
length,"ich möchte ein schnelles spiel"
length,"finde ein langes spiel zum eintauchen"
length,"ich brauche eine kurze sitzung"
length,"spiele etwas für ein paar stunden"
duration,"ich habe 30 minuten"
duration,"ich habe eine stunde"
duration,"ich habe den ganzen abend"
duration,"finde ein spiel das ich in einer sitzung spielen kann"
exploration,"finde indie-spiele"
exploration,"zeige mir versteckte perlen"
exploration,"empfehle mir ein spiel"
exploration,"welches spiel sollte ich spielen"
exploration,"überrasche mich mit einem spiel"
exploration,"schlag mir etwas neues vor"
exploration,"was trendiert beim gaming"
exploration,"finde spiele wie {{title}}"
rating,"zeige mir die besten spiele"
rating,"ich möchte ein kritisch gefeiertes spiel"
rating,"finde hochbewertete spiele"
rating,"spiele ein spiel mit großartigen bewertungen"
franchise,"finde {{title}} spiele"
franchise,"spiele etwas aus der {{title}} reihe"
franchise,"welches {{title}} spiel sollte ich spielen"
franchise,"stelle {{title}} in die warteschlange"
retro,"spiele ein klassisches spiel"
retro,"ich möchte ein retro-spiel"
retro,"finde ein altes spiel"
retro,"zeige mir spiele aus {{year}}"
retro,"ich möchte ein arcade-spiel"
recent,"spiele eine neue veröffentlichung"
recent,"finde ein aktuelles spiel"
recent,"was ist neu beim gaming"
recent,"zeige mir spiele aus {{year}}"
recent,"stelle die neueste veröffentlichung in die warteschlange"
provider,"finde ein spiel auf {{provider}}"
provider,"streame von {{provider}}"
provider,"zeige mir {{provider}} spiele"
provider,"spiele etwas von {{provider}}"
generic,"spiele ein spiel"
generic,"ich möchte ein videospiel spielen"
generic,"beginne ein spiel"
generic,"mir ist langweilig, spiele ein spiel"
generic,"finde mir ein spiel"
generic,"zeige mir ein spiel"
generic,"welches spiel sollte ich spielen"
generic,"überrasche mich mit einem spiel"
generic,"spiele etwas gutes"
generic,"stelle ein spiel in die warteschlange"
