category,template
title,"spiele {title}"
title,"schaue {title}"
title,"ich möchte {title} schauen"
title,"spiele {title}"
title,"kannst du {title} spielen"
title,"finde {title} für mich"
title,"streame {title}"
title,"zeige mir {title}"
title,"stelle {title} in die warteschlange"
actor,"spiele einen film mit {actor}"
actor,"spiele einen film mit {actor}"
actor,"ich möchte einen film mit {actor} schauen"
actor,"finde einen film mit {actor}"
actor,"zeige mir einen film mit {actor}"
actor,"ich würde gerne einen film mit {actor} schauen"
actor,"spiele einen film mit {actor}"
actor,"streame einen film mit {actor}"
actor,"schaue einen film mit {actor}"
actor,"finde mir einen film mit {actor}"
actor,"ich möchte {actor} in einem film sehen"
actor,"kannst du einen {actor} film spielen"
actor,"stelle einen film mit {actor} in die warteschlange"
director,"spiele einen film von {director}"
director,"ich möchte einen {director} film schauen"
director,"zeige mir einen {{director}} film"
director,"finde einen film von {director}"
director,"ich würde gerne etwas von {{director}} schauen"
director,"spiele den neuesten {{director}} film"
director,"streame einen film von {{director}}"
director,"spiele einen film von {{director}}"
director,"ich möchte etwas von {{director}} schauen"
director,"finde mir einen {{director}} film"
director,"kannst du einen {{director}} film spielen"
director,"stelle einen {{director}} film in die warteschlange"
director,"ich bin in der stimmung für {{director}}"
director_actor,"spiele einen {{director}} film mit {actor}"
director_actor,"ich möchte einen {{director}} film mit {actor} schauen"
director_actor,"finde mir einen {{director}} film mit {actor}"
director_actor,"spiele einen {{director}} film mit {actor}"
genre,"spiele einen {{genre}} film"
genre,"ich möchte {{genre}} schauen"
genre,"finde mir etwas {{genre}}"
genre,"zeige mir einen {{genre}} film"
genre,"ich bin in der stimmung für {{genre}}"
genre,"spiele einen {{genre}} film"
genre,"ich möchte {{genre}} unterhaltung"
genre,"streame einen {{genre}} film"
genre,"stelle einen {{genre}} film in die warteschlange"
genre,"spiele etwas {{genre}}"
year,"spiele einen film aus {{year}}"
year,"ich möchte einen {{year}} film schauen"
year,"finde mir einen film aus {{year}}"
year,"zeige mir {{year}} kino"
year,"ich möchte einen {{year}} klassiker"
year,"spiele einen {{year}} film"
era,"spiele einen klassischen film"
era,"ich möchte etwas aus der goldenen ära schauen"
era,"finde mir einen modernen film"
era,"zeige mir modernes kino"
era,"ich möchte einen retro-film"
era,"spiele einen neuen film"
mood,"finde mir etwas zum schauen mit der familie"
mood,"ich möchte einen film zum schauen mit freunden"
mood,"spiele etwas lustiges"
mood,"ich brauche etwas angespanntes"
mood,"ich möchte einen romantischen film"
mood,"spiele einen actionfilm"
mood,"ich möchte etwas durchdachtes"
mood,"finde mir ein abenteuer"
mood,"ich möchte etwas leichtes"
mood,"spiele einen film zum entspannen"
provider,"finde einen film auf {provider}"
provider,"streame einen film auf {provider}"
provider,"zeige mir das neue auf {provider}"
provider,"spiele einen film von {provider}"
studio,"finde einen film von {studio}"
studio,"ich möchte etwas von {studio} schauen"
studio,"zeige mir eine {{studio}} produktion"
discovery,"empfehle mir einen film"
discovery,"schlag mir etwas zum schauen vor"
discovery,"finde filme wie {title}"
discovery,"was ist ähnlich wie {title}"
discovery,"empfehle mir filme wie {{title}}"
discovery,"zeige mir neue veröffentlichungen"
discovery,"was sollte ich als nächstes schauen"
discovery,"überrasche mich mit einem film"
runtime,"spiele einen kurzen film"
runtime,"ich möchte etwas schnelles zum schauen"
runtime,"finde mir einen spielfilm"
runtime,"ich brauche einen langen film für heute nacht"
generic,"spiele einen film"
generic,"schaue einen film"
generic,"ich möchte einen film schauen"
generic,"finde mir etwas zum schauen"
generic,"spiele einen guten film"
generic,"spiele einen film"
generic,"stelle einen film in die warteschlange"
generic,"mir ist langweilig, spiele einen film"
generic,"finde mir einen film"
generic,"zeige mir einen film"
generic,"ich möchte einen film sehen"
generic,"streame einen film"
generic,"welcher film sollte ich schauen"
generic,"spiele etwas gutes"
