category,template
artist,"spiele {artist}"
artist,"spiele etwas von {artist}"
artist,"ich möchte {artist} hören"
artist,"kannst du {artist} spielen"
artist,"spiele etwas von {artist}"
artist,"ich würde gerne {artist} hören"
artist,"streame {artist}"
artist,"spiele musik von {artist}"
artist,"spiele einen song von {artist}"
artist,"spiele etwas von {artist}"
artist,"ich habe lust auf {artist}"
artist,"ich bin in der stimmung für {artist}"
artist,"finde mir etwas von {artist}"
artist,"spiele musik von {artist}"
artist,"ich möchte {artist} hören"
artist,"stelle {artist} in die warteschlange"
artist,"spiele {artist}"
artist,"gib mir etwas von {artist}"
artist,"ich möchte {artist} entdecken"
artist,"zeige mir, wie {artist} klingt"
track,"spiele {track}"
track,"spiele das lied {track}"
track,"ich möchte {track} hören"
track,"finde {track} für mich"
track,"ich möchte {track} hören"
track,"kannst du {track} spielen"
track,"spiele {track}"
track,"stelle {track} in die warteschlange"
track,"spiele den track {track}"
track,"streame {track}"
track,"ich suche nach {track}"
track,"finde mir {track}"
track_artist,"spiele {track} von {artist}"
track_artist,"ich möchte {track} von {artist} hören"
track_artist,"spiele {track} von {artist}"
track_artist,"finde mir {track} von {artist}"
track_artist,"spiele {track} von {artist}"
track_artist,"stelle {track} von {artist} in die warteschlange"
track_artist,"streame {track} von {artist}"
track_artist,"spiele {track} von {artist}"
track_artist,"ich möchte {track} von {artist}"
genre,"spiele etwas {genre} musik"
genre,"ich möchte etwas {genre} hören"
genre,"spiele etwas {genre}"
genre,"ich bin in der stimmung für {genre}"
genre,"spiele eine {genre} playlist"
genre,"finde mir etwas {genre} musik"
genre,"spiele {genre} für mich"
genre,"ich hätte gerne etwas {genre}"
genre,"spiele {genre}"
genre,"streame etwas {genre}"
genre,"spiele {genre} musik"
genre,"ich fühle mich nach {genre}"
genre,"gib mir etwas {genre}"
genre,"zeige mir etwas {genre}"
genre,"stelle etwas {genre} in die warteschlange"
album,"spiele das album {album}"
album,"ich möchte {album} hören"
album,"spiele {album}"
album,"spiele {album} von {artist}"
album,"streame das album {album}"
album,"stelle {album} in die warteschlange"
album,"spiele das komplette album {album}"
album,"ich möchte {album} hören"
album,"finde mir {album}"
album,"spiele {album} von {artist}"
album,"ich möchte das album {album} hören"
album,"streame {album}"
featuring,"spiele {track} mit {artist}"
featuring,"streame {track} mit {artist}"
featuring,"spiele mir {track} mit {artist}"
featuring,"ich möchte {track} mit {artist} hören"
featuring,"spiele {track} mit {artist}"
mood,"spiele etwas entspannendes"
mood,"ich brauche entspannende musik"
mood,"spiele etwas energisches"
mood,"ich möchte musik zum arbeiten"
mood,"spiele etwas zum lernen"
mood,"ich brauche workout-musik"
mood,"spiele etwas romantisches"
mood,"gib mir fröhliche musik"
mood,"ich möchte traurige musik"
mood,"spiele etwas energisches"
playlist,"spiele meine {playlist_name} playlist"
playlist,"stelle meine {playlist_name} in die warteschlange"
playlist,"ich möchte meine {playlist_name} hören"
playlist,"spiele meine {playlist_name} playlist"
playlist,"streame meine {playlist_name}"
discovery,"entdecke neue {genre}"
discovery,"finde neue musik in {genre}"
discovery,"zeige mir neue songs von {artist}"
discovery,"was ist neu von {artist}"
discovery,"empfehle mir etwas {genre} musik"
discovery,"gib mir neue musikempfehlungen"
discovery,"spiele neue veröffentlichungen in {genre}"
generic,"spiele etwas musik"
generic,"spiele musik"
generic,"ich möchte musik hören"
generic,"finde mir etwas zum hören"
generic,"spiele etwas"
generic,"stelle etwas in die warteschlange"
generic,"ich möchte etwas hören"
generic,"spiele etwas musik"
generic,"streame etwas musik"
generic,"spiele irgendwas"
generic,"mir ist langweilig, spiele musik"
generic,"spiele zufallsmusik"
