category,template
show,"spiele den {show} podcast"
show,"ich möchte {show} hören"
show,"spiele eine folge von {show}"
show,"finde den {show} podcast"
show,"spiele {show}"
show,"streame {show}"
show,"ich möchte {show} hören"
show,"höre weiter {show}"
show,"stelle {show} in die warteschlange"
show,"zeige mir {show}"
show,"kannst du {show} spielen"
show,"ich würde gerne {{show}} hören"
show,"setze {show} fort"
show,"was ist neues in {{show}}"
show,"spiele den neuesten {{show}}"
show,"finde mir eine folge von {{show}}"
show,"spiele {{show}}"
topic,"spiele einen podcast über {topic}"
topic,"finde mir einen podcast über {topic}"
topic,"ich möchte einen podcast über {topic} hören"
topic,"spiele einen {{topic}} podcast"
topic,"ich hätte gerne einen {{topic}} podcast"
topic,"streame einen podcast über {topic}"
topic,"finde einen podcast über {topic}"
topic,"spiele etwas über {topic}"
topic,"ich möchte einen podcast über {topic} hören"
topic,"finde mir einen {{topic}} podcast"
topic,"stelle einen {{topic}} podcast in die warteschlange"
topic,"kannst du einen {{topic}} podcast spielen"
topic,"zeige mir einen podcast über {{topic}}"
topic,"ich interessiere mich für einen {{topic}} podcast"
topic,"empfehle mir einen {{topic}} podcast"
episode,"spiele die neueste folge von {show}"
episode,"finde eine neue folge von {show}"
episode,"spiele die neueste {{show}} folge"
episode,"höre weiter mit der nächsten {{show}} folge"
episode,"streame den neuesten {{show}}"
episode,"stelle die neue {{show}} folge in die warteschlange"
episode,"was ist die neueste {{show}} folge"
episode,"spiele die aktuellste {{show}}"
series,"ich möchte eine neue podcast-serie starten"
series,"finde mir eine podcast-serie"
series,"welche podcast-serie sollte ich hören"
series,"zeige mir podcast-serien über {{topic}}"
series,"stelle eine neue serie in die warteschlange"
series,"beginne eine podcast-serie mit mir"
discovery,"empfehle mir einen podcast"
discovery,"schlag mir etwas zum hören vor"
discovery,"finde podcasts über {{topic}}"
discovery,"was trendiert in podcasts"
discovery,"zeige mir neue podcasts"
discovery,"finde versteckte podcast-perlen"
discovery,"welcher podcast ist wert gehört zu werden"
discovery,"überrasche mich mit einem podcast"
discovery,"finde podcasts wie {{show}}"
discovery,"was ist ähnlich wie {{show}}"
length,"ich möchte eine kurze podcast-folge"
length,"finde mir einen langen podcast"
length,"ich brauche etwas zum schnell hören"
length,"spiele etwas das ich beim pendeln hören kann"
frequency,"finde mir einen wöchentlichen podcast"
frequency,"ich möchte einen täglichen podcast"
frequency,"spiele etwas das regelmäßig aktualisiert wird"
genre,"spiele einen {{genre}} podcast"
genre,"ich möchte einen {{genre}} podcast hören"
genre,"finde mir {{genre}} inhalte"
genre,"spiele etwas {{genre}}"
genre,"streame einen {{genre}} podcast"
genre,"stelle einen {{genre}} podcast in die warteschlange"
genre,"ich bin in der stimmung für {{genre}} podcasts"
mood,"ich möchte etwas lehrreiches"
mood,"spiele etwas lustiges"
mood,"ich brauche etwas entspannendes"
mood,"finde mir etwas inspirierendes"
mood,"ich möchte true crime"
mood,"spiele etwas nachdenkliches"
mood,"finde mir unterhaltsame inhalte"
host,"finde podcasts von {host}"
host,"ich möchte {{host}} hören"
host,"spiele eine show von {{host}}"
host,"spiele etwas mit {{host}} als gastgeber"
host,"streame {{host}}'s podcast"
provider,"finde einen podcast auf {provider}"
provider,"streame von {{provider}}"
provider,"zeige mir was auf {{provider}} läuft"
provider,"spiele etwas von {{provider}}"
generic,"spiele einen podcast"
generic,"spiele podcasts"
generic,"ich möchte einen podcast hören"
generic,"finde mir etwas zum hören"
generic,"spiele etwas"
generic,"stelle etwas in die warteschlange"
generic,"ich möchte etwas hören"
generic,"spiele einen podcast"
generic,"streame einen podcast"
generic,"spiele irgendwas"
generic,"mir ist langweilig, spiele einen podcast"
generic,"spiele zufalls-podcasts"
generic,"welcher podcast sollte ich hören"
