category,template
station,"spiele {station}"
station,"tune in {{station}}"
station,"spiele {station}"
station,"ich möchte {{station}} hören"
station,"spiele {{station}} radio"
station,"streame {{station}}"
station,"finde {{station}}"
station,"schalte {{station}} ein"
station,"wechsle zu {{station}}"
station,"kannst du {{station}} spielen"
station,"stelle {{station}} in die warteschlange"
station,"zeige mir {{station}}"
station,"ich würde gerne {{station}} hören"
station,"setze {{station}} fort"
genre,"spiele {{genre}} radio"
genre,"ich möchte {{genre}} radio hören"
genre,"finde mir einen {{genre}} radiosender"
genre,"spiele etwas {{genre}} radio"
genre,"streame etwas {{genre}} radio"
genre,"ich bin in der stimmung für {{genre}}"
genre,"stelle {{genre}} in die warteschlange"
genre,"zeige mir {{genre}} sender"
genre,"spiele {{genre}} für mich"
genre,"finde einen {{genre}} sender"
genre,"tune in {{genre}} radio"
format,"spiele eine am-radiostation"
format,"ich möchte uv-radio"
format,"finde eine satellitenradiostation"
format,"streame internetradio"
format,"spiele online-radio"
format,"stelle einen podcast-radio in die warteschlange"
stream,"streame {{station}}"
stream,"ich möchte {{station}} streamen"
stream,"finde einen stream"
stream,"spiele einen live-stream"
stream,"stelle einen stream in die warteschlange"
stream,"ich möchte streaming-radio"
mood,"ich möchte entspannende musik"
mood,"spiele etwas energisches"
mood,"finde mir jazz-radio"
mood,"spiele klassische musik"
mood,"ich möchte rockmusik"
mood,"spiele etwas entspannendes"
mood,"finde energische musik"
mood,"ich möchte ambient-sounds"
mood,"spiele talk-radio"
mood,"finde nachrichten-radio"
location,"spiele {{location}} radio"
location,"ich möchte {{location}} sender"
location,"finde ein {{location}} radio"
location,"zeige mir {{location}} radio"
location,"tune in {{location}}"
language,"spiele {{language}} radio"
language,"ich möchte {{language}} sender"
language,"finde ein {{language}} radio"
language,"streame in {{language}}"
availability,"finde was jetzt verfügbar ist"
availability,"was kann ich einschalten"
availability,"zeige mir aktuelle sender"
availability,"spiele etwas verfügbares"
availability,"stelle das on in die warteschlange"
discovery,"empfehle mir einen radiosender"
discovery,"schlag mir etwas zum hören vor"
discovery,"finde neue radiosender"
discovery,"was sollte ich einschalten"
discovery,"zeige mir trendige sender"
discovery,"überrasche mich mit einem sender"
discovery,"finde versteckte perlen sender"
discovery,"was ist gerade beliebt"
category,"ich möchte talk-radio"
category,"spiele musik-radio"
category,"finde nachrichten-radio"
category,"streame sport-radio"
category,"spiele variante-radio"
category,"finde comedy-radio"
category,"spiele bildungs-radio"
provider,"finde radio auf {{provider}}"
provider,"streame von {{provider}}"
provider,"zeige mir {{provider}} sender"
provider,"spiele {{provider}} radio"
generic,"spiele radio"
generic,"schalte radio ein"
generic,"finde mir einen radiosender"
generic,"spiele etwas radio"
generic,"streame radio"
generic,"ich möchte radio hören"
generic,"zeige mir radio"
generic,"stelle einen sender in die warteschlange"
generic,"mir ist langweilig, spiele radio"
generic,"spiele etwas"
