category,template
show,"spiele {show}"
show,"spiele {show}"
show,"ich möchte {show} schauen"
show,"finde {show} für mich"
show,"spiele eine folge von {show}"
show,"streame {show}"
show,"ich möchte eine folge von {show} schauen"
show,"spiele staffel 1 von {show}"
show,"schaue weiter {show}"
show,"kannst du {show} spielen"
show,"zeige mir {show}"
show,"ich würde gerne {show} schauen"
show,"schaue {show}"
show,"ich möchte {show} sehen"
show,"spiele die nächste folge von {show}"
show,"stelle {show} in die warteschlange"
show,"spiele {show}"
show,"setze {show} fort"
show,"was ist nächstes in {show}"
episode,"spiele die nächste folge von {show}"
episode,"schaue {{show}} dort weiter, wo ich aufgehört habe"
episode,"spiele eine neue folge von {show}"
episode,"spiele eine {{show}} folge"
episode,"finde die neueste {{show}} folge"
episode,"stelle die nächste {{show}} in die warteschlange"
episode,"ich möchte die nächste {{show}} schauen"
episode,"streame neue {{show}}"
episode,"spiele die neueste {{show}} folge"
episode,"was ist die neueste {{show}} folge"
season,"spiele staffel {season} von {show}"
season,"ich möchte staffel {{season}} von {show} schauen"
season,"streame staffel {{season}} von {show}"
season,"beginne bei staffel {{season}} von {show}"
season,"spiele staffel {{season}} von {show}"
season,"zeige mir staffel {{season}} von {show}"
season,"finde staffel {{season}} von {show}"
genre,"spiele eine {{genre}} serie"
genre,"ich möchte eine {{genre}} serie schauen"
genre,"finde mir eine {{genre}} serie"
genre,"spiele etwas {{genre}}"
genre,"zeige mir eine {{genre}} serie"
genre,"ich bin in der stimmung für {{genre}}"
genre,"streame eine {{genre}} serie"
genre,"stelle eine {{genre}} serie in die warteschlange"
provider,"finde eine serie auf {provider}"
provider,"streame eine serie auf {provider}"
provider,"zeige mir was auf {provider} läuft"
provider,"spiele etwas von {provider}"
provider,"finde serien auf {provider}"
network,"zeige mir {{network}} serien"
network,"ich möchte etwas von {{network}} schauen"
network,"finde mir eine {{network}} produktion"
network,"spiele eine {{network}} serie"
era,"spiele eine klassische serie"
era,"ich möchte etwas aktuelles schauen"
era,"finde mir eine neue serie"
era,"zeige mir eine retro-serie"
era,"ich möchte etwas aus den 90ern"
era,"spiele eine neue veröffentlichung"
era,"finde mir eine laufende serie"
status,"setze meine watchlist fort"
status,"setze dort fort, wo ich aufgehört habe"
status,"zeige mir, was ich schaue"
status,"welche serie verfolge ich"
status,"finde neue veröffentlichungen"
status,"zeige mir kommende episoden"
discovery,"empfehle mir eine serie"
discovery,"schlag mir etwas zum schauen vor"
discovery,"finde serien wie {show}"
discovery,"was ist ähnlich wie {{show}}"
discovery,"empfehle mir serien wie {show}"
discovery,"zeige mir trendige serien"
discovery,"was sollte ich als nächstes bingen"
discovery,"überrasche mich mit einer serie"
discovery,"was ist gerade beliebt"
discovery,"finde versteckte perlen im fernsehen"
length,"ich möchte etwas kurzes zum schauen"
length,"spiele eine schnelle serie"
length,"finde eine lange serie zum bingen"
length,"ich brauche eine miniserie"
length,"zeige mir serien mit einer staffel"
generic,"spiele eine serie"
generic,"schaue eine serie"
generic,"ich möchte eine serie schauen"
generic,"finde mir etwas zum schauen"
generic,"spiele etwas"
generic,"stelle eine serie in die warteschlange"
generic,"mir ist langweilig, spiele eine serie"
generic,"finde mir eine serie"
generic,"zeige mir eine serie"
generic,"ich möchte sehen, was läuft"
generic,"streame etwas"
generic,"was sollte ich schauen"
generic,"spiele etwas gutes"
generic,"ich möchte etwas bingen"
