category,template
title,"play {title}"
title,"watch {title}"
title,"put on {title}"
title,"stream {title}"
title,"find {title} for me"
title,"I want to watch {title}"
title,"play the scene {title}"
title,"queue up {title}"
pornstar,"play a video with {pornstar}"
pornstar,"play something featuring {pornstar}"
pornstar,"show me {pornstar}"
pornstar,"I want to watch {pornstar}"
pornstar,"find a video with {pornstar}"
pornstar,"stream something with {pornstar} in it"
pornstar,"queue up a scene with {pornstar}"
pornstar,"I want to see {pornstar}"
pornstar,"play a clip with {pornstar}"
pornstar_genre,"play {genre} with {pornstar}"
pornstar_genre,"I want to watch {pornstar} in a {genre} video"
pornstar_genre,"find {genre} featuring {pornstar}"
genre,"play some {genre}"
genre,"I want to watch {genre}"
genre,"find me some {genre} content"
genre,"play a {genre} video"
genre,"queue something {genre}"
genre,"show me {genre}"
genre,"stream {genre}"
genre,"put on something {genre}"
genre,"I'm in the mood for {genre}"
studio,"play something from {studio}"
studio,"I want to watch a {studio} scene"
studio,"find a video from {studio}"
studio,"stream {studio} content"
studio,"queue a {studio} video"
studio,"show me {studio}"
service,"open {service}"
service,"browse {service}"
service,"play something from {service}"
service,"find videos on {service}"
generic,"play some porn"
generic,"I want to watch something adult"
generic,"find me some adult content"
generic,"play something explicit"
generic,"show me something for adults"
generic,"put on some adult entertainment"
generic,"stream adult content"
generic,"I want to watch something naughty"
generic,"queue up some adult videos"
