category,template
title,"play {title}"
title,"watch {title}"
title,"put on {title}"
title,"stream {title}"
title,"find {title} for me"
title,"I want to watch {title}"
title,"play an episode of {title}"
title,"queue up {title}"
title,"play the hentai {title}"
title,"stream the hentai called {title}"
genre,"play some {genre} hentai"
genre,"I want to watch {genre} hentai"
genre,"find me some {genre} hentai"
genre,"play a {genre} hentai"
genre,"queue something {genre}"
genre,"show me {genre} hentai"
genre,"stream {genre} hentai"
genre,"I'm in the mood for {genre} hentai"
studio,"play something from {studio}"
studio,"I want to watch a {studio} hentai"
studio,"find hentai from {studio}"
studio,"stream {studio} content"
studio,"queue a {studio} anime"
studio,"show me {studio} hentai"
generic,"play some hentai"
generic,"I want to watch hentai"
generic,"find me some hentai"
generic,"play an adult anime"
generic,"show me some hentai"
generic,"stream hentai"
generic,"put on some hentai"
generic,"I want to watch adult anime"
generic,"queue up some hentai"
generic,"play hentai anime"
