category,template
artist,"play {artist}"
artist,"play some {artist}"
artist,"I want to listen to {artist}"
artist,"can you play {artist}"
artist,"put on some {artist}"
artist,"I'd like to hear {artist}"
artist,"stream {artist}"
artist,"play music by {artist}"
artist,"play a song by {artist}"
artist,"play something by {artist}"
artist,"I feel like listening to {artist}"
artist,"I'm in the mood for {artist}"
artist,"find me some {artist}"
artist,"play {artist}'s music"
artist,"I want to hear {artist}"
artist,"queue up {artist}"
artist,"put {artist} on"
artist,"give me some {artist}"
artist,"I want to discover {artist}"
artist,"show me what {artist} sounds like"
track,"play {track}"
track,"play the song {track}"
track,"I want to hear {track}"
track,"find {track} for me"
track,"I want to listen to {track}"
track,"can you play {track}"
track,"put on {track}"
track,"queue {track}"
track,"play the track {track}"
track,"stream {track}"
track,"I'm looking for {track}"
track,"find me {track}"
track_artist,"play {track} by {artist}"
track_artist,"I want to listen to {track} by {artist}"
track_artist,"play {track} from {artist}"
track_artist,"find me {track} by {artist}"
track_artist,"put on {track} by {artist}"
track_artist,"queue up {track} by {artist}"
track_artist,"stream {track} by {artist}"
track_artist,"play {track} from {artist}"
track_artist,"I want {track} by {artist}"
genre,"play some {genre} music"
genre,"I want to listen to some {genre}"
genre,"put on some {genre}"
genre,"I'm in the mood for {genre}"
genre,"play a {genre} playlist"
genre,"find me some {genre} music"
genre,"play {genre} for me"
genre,"I'd like some {genre}"
genre,"play {genre}"
genre,"stream some {genre}"
genre,"put on {genre} music"
genre,"I feel like {genre} right now"
genre,"give me some {genre} vibes"
genre,"show me some {genre}"
genre,"queue some {genre}"
album,"play the album {album}"
album,"I want to hear {album}"
album,"put on {album}"
album,"play {album} by {artist}"
album,"stream the album {album}"
album,"queue {album}"
album,"play the full album {album}"
album,"I want to listen to {album}"
album,"find me {album}"
album,"play {album} from {artist}"
album,"I want to hear the album {album}"
album,"stream {album}"
featuring,"play {track} featuring {artist}"
featuring,"stream {track} featuring {artist}"
featuring,"play me {track} featuring {artist}"
featuring,"I want to hear {track} featuring {artist}"
featuring,"put on {track} featuring {artist}"
mood,"play something relaxing"
mood,"I need some chill music"
mood,"play something upbeat"
mood,"I want music for working"
mood,"play something for studying"
mood,"I need workout music"
mood,"play something romantic"
mood,"give me happy music"
mood,"I want melancholic music"
mood,"play something energetic"
playlist,"play my {playlist_name} playlist"
playlist,"queue my {playlist_name}"
playlist,"I want to hear my {playlist_name}"
playlist,"put on my {playlist_name} playlist"
playlist,"stream my {playlist_name}"
discovery,"discover new {genre}"
discovery,"find new music in {genre}"
discovery,"show me new {artist} songs"
discovery,"what's new from {artist}"
discovery,"recommend some {genre} music"
discovery,"give me new music recommendations"
discovery,"play new releases in {genre}"
generic,"play some music"
generic,"play music"
generic,"I want to listen to music"
generic,"find me something to listen to"
generic,"play something"
generic,"queue something"
generic,"I want to hear something"
generic,"put on some music"
generic,"stream some music"
generic,"play anything"
generic,"I'm bored, play music"
generic,"play random music"
