category,template
title,"reproduce {title}"
title,"léeme {title}"
title,"quiero escuchar {title}"
title,"reproduce el audiolibro {title}"
title,"busca el audiolibro {title}"
title,"quiero oír {title}"
title,"pon {title} en cola"
title,"pon {title}"
title,"emitir {title}"
title,"me gustaría escuchar {{title}}"
title_author,"reproduce {title} de {author}"
title_author,"léeme {{title}}"
title_author,"quiero escuchar {{title}} de {author}"
title_author,"busca {{title}} de {{author}}"
title_author,"pon {{title}} de {{author}}"
title_author,"emitir {{title}} de {{author}}"
author,"busca un audiolibro de {author}"
author,"reproduce un libro de {author}"
author,"me gustaría escuchar {author}"
author,"léeme algo de {author}"
author,"reproduce un audiolibro de {author}"
author,"busca un audiolibro de {{author}}"
author,"pon un audiolibro de {{author}} en cola"
author,"quiero la obra de {{author}}"
author,"emitir {{author}}"
author,"pon algo de {{author}}"
author,"muéstrame audiolibros de {{author}}"
genre,"reproduce un audiolibro {{genre}}"
genre,"quiero escuchar un libro {{genre}}"
genre,"busca un audiolibro {{genre}}"
genre,"pon algo {{genre}}"
genre,"emitir un audiolibro {{genre}}"
genre,"pon un libro {{genre}} en cola"
genre,"me apetece {{genre}}"
genre,"muéstrame historias {{genre}}"
narrator,"reproduce algo narrado por {narrator}"
narrator,"quiero escuchar la narración de {{narrator}}"
narrator,"busca un audiolibro de {{narrator}}"
narrator,"pon un audiolibro de {{narrator}} en cola"
narrator,"pon un libro de {{narrator}}"
mood,"quiero algo relajante"
mood,"reproduce algo emocionante"
mood,"busca algo divertido"
mood,"quiero algo triste"
mood,"reproduce algo inspirador"
mood,"busca una aventura"
mood,"quiero un misterio"
mood,"reproduce algo romántico"
mood,"busca algo oscuro"
series,"continúa la serie {{title}}"
series,"reproduce el siguiente libro en {{title}}"
series,"quiero escuchar la serie {{title}}"
series,"busca la serie {{title}}"
series,"pon el siguiente libro en {{title}} en cola"
duration,"quiero un audiolibro corto"
duration,"reproduce algo rápido"
duration,"busca un audiolibro largo para esta noche"
duration,"necesito un audiolibro para un viaje"
duration,"reproduce un audiolibro de muchas horas"
discovery,"recomienda un audiolibro"
discovery,"sugiere algo para escuchar"
discovery,"busca libros como {{title}}"
discovery,"qué debería escuchar a continuación"
discovery,"recomienda autores como {{author}}"
discovery,"muéstrame nuevos lanzamientos"
discovery,"sorpréndeme con un audiolibro"
discovery,"qué es tendencia en audiolibros"
format,"reproduce un audiolibro íntegro"
format,"quiero una versión abreviada"
format,"busca un audiolibro dramatizado"
provider,"busca un audiolibro en {{provider}}"
provider,"emitir desde {{provider}}"
provider,"muéstrame qué hay en {{provider}}"
status,"continúa donde lo dejé"
status,"continúa mi audiolibro"
status,"muéstrame mi lista de escucha"
status,"qué estoy escuchando actualmente"
generic,"reproduce un audiolibro"
generic,"léeme un libro"
generic,"quiero escuchar un libro"
generic,"busca algo para escuchar"
generic,"reproduce algo"
generic,"quiero oír una historia"
generic,"pon un audiolibro en cola"
generic,"estoy aburrido, reproduce un audiolibro"
generic,"busca un audiolibro"
generic,"muéstrame un libro"
generic,"quiero escuchar algo"
generic,"emitir un audiolibro"
