category,template
title,"reproduce {title}"
title,"ve {title}"
title,"quiero ver {title}"
title,"pon {title}"
title,"puedes reproducir {title}"
title,"busca {title} para mí"
title,"emitir {title}"
title,"muéstrame {title}"
title,"pon {title} en cola"
actor,"reproduce una película con {actor}"
actor,"reproduce una película con {actor}"
actor,"quiero ver una película con {actor}"
actor,"busca una película con {actor}"
actor,"muéstrame una película con {actor}"
actor,"me gustaría ver una película con {actor}"
actor,"pon una película con {actor}"
actor,"emitir una película con {actor}"
actor,"ve una película con {actor}"
actor,"busca algo con {actor}"
actor,"quiero ver a {actor} en una película"
actor,"puedes reproducir una película de {actor}"
actor,"pon una película con {actor} en cola"
director,"reproduce una película de {director}"
director,"quiero ver una película de {director}"
director,"muéstrame una película de {director}"
director,"busca una película de {director}"
director,"me gustaría ver algo de {director}"
director,"reproduce la última película de {director}"
director,"emitir una película dirigida por {director}"
director,"reproduce una película dirigida por {director}"
director,"quiero ver algo dirigido por {director}"
director,"busca una película de {director}"
director,"pon una película de {director} en cola"
director,"me apetece ver a {director}"
director_actor,"reproduce una película de {director} con {actor}"
director_actor,"quiero ver una película de {{director}} con {actor}"
director_actor,"busca una película de {{director}} con {actor}"
director_actor,"pon una película de {{director}} con {actor}"
genre,"reproduce una película {{genre}}"
genre,"quiero ver {{genre}}"
genre,"busca algo {{genre}}"
genre,"muéstrame una película {{genre}}"
genre,"me apetece {{genre}}"
genre,"reproduce una {{genre}}"
genre,"quiero entretenimiento {{genre}}"
genre,"emitir una película {{genre}}"
genre,"pon una película {{genre}} en cola"
genre,"pon algo {{genre}}"
year,"reproduce una película de {year}"
year,"quiero ver una película de {{year}}"
year,"busca una película de {{year}}"
year,"muéstrame cine de {{year}}"
year,"quiero un clásico de {{year}}"
year,"pon una película de {{year}}"
era,"reproduce una película clásica"
era,"quiero ver algo de la época dorada"
era,"busca una película moderna"
era,"muéstrame cine contemporáneo"
era,"quiero una película antigua"
era,"reproduce un lanzamiento reciente"
mood,"busca algo para ver con la familia"
mood,"quiero una película para ver con amigos"
mood,"reproduce algo divertido"
mood,"necesito algo de miedo"
mood,"quiero una película romántica"
mood,"reproduce una película de acción"
mood,"quiero algo que me haga pensar"
mood,"busca una aventura"
mood,"quiero algo ligero"
mood,"reproduce una película para relajarme"
provider,"busca una película en {provider}"
provider,"emitir una película en {provider}"
provider,"muéstrame novedades en {provider}"
provider,"reproduce una película de {provider}"
studio,"busca una película de {studio}"
studio,"quiero ver algo de {studio}"
studio,"muéstrame una producción de {{studio}}"
discovery,"recomienda una película"
discovery,"sugiere algo para ver"
discovery,"busca películas como {title}"
discovery,"qué es similar a {title}"
discovery,"recomienda películas como {{title}}"
discovery,"muéstrame nuevos estrenos"
discovery,"qué debería ver después"
discovery,"sorpréndeme con una película"
runtime,"reproduce una película corta"
runtime,"quiero algo rápido para ver"
runtime,"busca una película de larga duración"
runtime,"necesito una película larga para esta noche"
generic,"reproduce una película"
generic,"ve una película"
generic,"quiero ver una película"
generic,"busca algo para ver"
generic,"reproduce una buena película"
generic,"pon una película"
generic,"pon una película en cola"
generic,"estoy aburrido, reproduce una película"
generic,"busca una película"
generic,"muéstrame una película"
generic,"quiero ver una película"
generic,"emitir una película"
generic,"qué película debería ver"
generic,"reproduce algo bueno"
