category,template
artist,"reproduce {artist}"
artist,"reproduce algo de {artist}"
artist,"quiero escuchar {artist}"
artist,"puedes reproducir {artist}"
artist,"pon algo de {artist}"
artist,"me gustaría oír {artist}"
artist,"emitir {artist}"
artist,"reproduce música de {artist}"
artist,"reproduce una canción de {artist}"
artist,"reproduce algo de {artist}"
artist,"me apetece escuchar {artist}"
artist,"me apetece oír {artist}"
artist,"busca algo de {artist}"
artist,"reproduce la música de {artist}"
artist,"quiero oír {artist}"
artist,"pon {artist} en cola"
artist,"pon {artist}"
artist,"dame algo de {artist}"
artist,"quiero descubrir {artist}"
artist,"muéstrame cómo suena {artist}"
track,"reproduce {track}"
track,"reproduce la canción {track}"
track,"quiero oír {track}"
track,"busca {track} para mí"
track,"quiero escuchar {track}"
track,"puedes reproducir {track}"
track,"pon {track}"
track,"pon {track} en cola"
track,"reproduce la pista {track}"
track,"emitir {track}"
track,"estoy buscando {track}"
track,"busca {track}"
track_artist,"reproduce {track} de {artist}"
track_artist,"quiero escuchar {track} de {artist}"
track_artist,"reproduce {track} de {artist}"
track_artist,"busca {track} de {artist}"
track_artist,"pon {track} de {artist}"
track_artist,"pon {track} de {artist} en cola"
track_artist,"emitir {track} de {artist}"
track_artist,"reproduce {track} de {artist}"
track_artist,"quiero {track} de {artist}"
genre,"reproduce algo de {genre}"
genre,"quiero escuchar algo de {genre}"
genre,"pon algo de {genre}"
genre,"me apetece {genre}"
genre,"reproduce una lista de reproducción de {genre}"
genre,"busca algo de {genre}"
genre,"reproduce {genre} para mí"
genre,"me gustaría algo de {genre}"
genre,"reproduce {genre}"
genre,"emitir algo de {genre}"
genre,"pon música de {genre}"
genre,"me apetece {genre} ahora"
genre,"dame vibraciones de {genre}"
genre,"muéstrame algo de {genre}"
genre,"pon algo de {genre} en cola"
album,"reproduce el álbum {album}"
album,"quiero oír {album}"
album,"pon {album}"
album,"reproduce {album} de {artist}"
album,"emitir el álbum {album}"
album,"pon {album} en cola"
album,"reproduce el álbum completo {album}"
album,"quiero escuchar {album}"
album,"busca {album}"
album,"reproduce {album} de {artist}"
album,"quiero oír el álbum {album}"
album,"emitir {album}"
featuring,"reproduce {track} con {artist}"
featuring,"emitir {track} con {artist}"
featuring,"reproduce {track} con {artist}"
featuring,"quiero oír {track} con {artist}"
featuring,"pon {track} con {artist}"
mood,"reproduce algo relajante"
mood,"necesito música chill"
mood,"reproduce algo animado"
mood,"quiero música para trabajar"
mood,"reproduce algo para estudiar"
mood,"necesito música para entrenarme"
mood,"reproduce algo romántico"
mood,"dame música alegre"
mood,"quiero música melancólica"
mood,"reproduce algo energético"
playlist,"reproduce mi lista {playlist_name}"
playlist,"pon mi {playlist_name} en cola"
playlist,"quiero oír mi {playlist_name}"
playlist,"pon mi lista {playlist_name}"
playlist,"emitir mi {playlist_name}"
discovery,"descubre {genre} nuevo"
discovery,"busca música nueva en {genre}"
discovery,"muéstrame nuevas canciones de {artist}"
discovery,"qué hay nuevo de {artist}"
discovery,"recomienda algo de {genre}"
discovery,"dame recomendaciones de música nueva"
discovery,"reproduce nuevos lanzamientos en {genre}"
generic,"reproduce música"
generic,"reproduce música"
generic,"quiero escuchar música"
generic,"busca algo para escuchar"
generic,"reproduce algo"
generic,"pon algo en cola"
generic,"quiero oír algo"
generic,"pon algo de música"
generic,"emitir música"
generic,"reproduce cualquier cosa"
generic,"estoy aburrido, reproduce música"
generic,"reproduce música aleatoria"
