category,template
show,"reproduce el podcast {show}"
show,"quiero escuchar {show}"
show,"reproduce un episodio de {show}"
show,"busca el podcast {show}"
show,"pon {show}"
show,"emitir {show}"
show,"quiero oír {show}"
show,"continúa escuchando {show}"
show,"pon {show} en cola"
show,"muéstrame {show}"
show,"puedes reproducir {show}"
show,"me gustaría escuchar {{show}}"
show,"continúa {show}"
show,"qué hay nuevo en {{show}}"
show,"reproduce el último {{show}}"
show,"busca un episodio de {{show}}"
show,"pon {{show}}"
topic,"reproduce un podcast sobre {topic}"
topic,"busca un podcast sobre {topic}"
topic,"quiero escuchar un podcast sobre {topic}"
topic,"pon un podcast de {topic}"
topic,"me gustaría un podcast sobre {topic}"
topic,"emitir un podcast sobre {topic}"
topic,"busca un podcast sobre {topic}"
topic,"reproduce algo sobre {topic}"
topic,"quiero oír un podcast sobre {topic}"
topic,"busca un podcast de {topic}"
topic,"pon un podcast de {{topic}} en cola"
topic,"puedes reproducir un podcast de {{topic}}"
topic,"muéstrame un podcast sobre {{topic}}"
topic,"me interesa un podcast de {{topic}}"
topic,"recomienda un podcast de {{topic}}"
episode,"reproduce el último episodio de {show}"
episode,"busca un nuevo episodio de {show}"
episode,"pon el nuevo episodio de {{show}}"
episode,"continúa con el próximo episodio de {{show}}"
episode,"emitir el último {{show}}"
episode,"pon el nuevo episodio de {{show}} en cola"
episode,"cuál es el episodio más nuevo de {{show}}"
episode,"reproduce el más reciente {{show}}"
series,"quiero empezar una nueva serie de podcast"
series,"busca una serie de podcast"
series,"qué serie de podcast debería escuchar"
series,"muéstrame series de podcast sobre {{topic}}"
series,"pon una nueva serie en cola"
series,"comienza una serie de podcast conmigo"
discovery,"recomienda un podcast"
discovery,"sugiere algo para escuchar"
discovery,"busca podcasts sobre {{topic}}"
discovery,"qué es tendencia en podcasts"
discovery,"muéstrame nuevos podcasts"
discovery,"busca joyas ocultas en podcasts"
discovery,"qué podcast debería probar"
discovery,"sorpréndeme con un podcast"
discovery,"busca podcasts como {{show}}"
discovery,"qué es similar a {{show}}"
length,"quiero un episodio de podcast corto"
length,"busca un podcast largo"
length,"necesito un podcast rápido"
length,"reproduce algo que pueda escuchar mientras me desplazo"
frequency,"busca un podcast semanal"
frequency,"quiero un podcast diario"
frequency,"pon algo que se actualice regularmente"
genre,"reproduce un podcast {{genre}}"
genre,"quiero escuchar un {{genre}}"
genre,"busca contenido {{genre}}"
genre,"pon algo {{genre}}"
genre,"emitir un podcast {{genre}}"
genre,"pon un {{genre}} en cola"
genre,"me apetece podcasts {{genre}}"
mood,"quiero algo educativo"
mood,"reproduce algo divertido"
mood,"necesito algo relajante"
mood,"busca algo inspirador"
mood,"quiero crimen real"
mood,"reproduce algo reflexivo"
mood,"busca contenido entretenido"
host,"busca podcasts de {host}"
host,"quiero escuchar {{host}}"
host,"pon un podcast de {{host}}"
host,"reproduce algo presentado por {{host}}"
host,"emitir el podcast de {{host}}"
provider,"busca un podcast en {provider}"
provider,"emitir desde {{provider}}"
provider,"muéstrame qué hay en {{provider}}"
provider,"reproduce algo de {{provider}}"
generic,"reproduce un podcast"
generic,"reproduce podcasts"
generic,"quiero escuchar un podcast"
generic,"busca algo para escuchar"
generic,"reproduce algo"
generic,"pon algo en cola"
generic,"quiero oír algo"
generic,"pon un podcast"
generic,"emitir un podcast"
generic,"reproduce cualquier cosa"
generic,"estoy aburrido, reproduce un podcast"
generic,"reproduce podcasts aleatorios"
generic,"qué podcast debería escuchar"
