category,template
show,"reproduce {show}"
show,"pon {show}"
show,"quiero ver {show}"
show,"busca {show} para mí"
show,"reproduce un episodio de {show}"
show,"emitir {show}"
show,"quiero ver un episodio de {show}"
show,"reproduce la temporada 1 de {show}"
show,"continúa viendo {show}"
show,"puedes reproducir {show}"
show,"muéstrame {show}"
show,"me gustaría ver {show}"
show,"ve {show}"
show,"quiero ver {show}"
show,"reproduce el siguiente episodio de {show}"
show,"pon {show} en cola"
show,"pon {show}"
show,"continúa {show}"
show,"qué sigue en {show}"
episode,"reproduce el siguiente episodio de {show}"
episode,"continúa {{show}} desde donde lo dejé"
episode,"reproduce un nuevo episodio de {show}"
episode,"pon un episodio de {{show}}"
episode,"busca el último episodio de {{show}}"
episode,"pon el siguiente {{show}} en cola"
episode,"quiero ver el siguiente episodio de {{show}}"
episode,"emitir nuevo {{show}}"
episode,"reproduce el episodio más reciente de {{show}}"
episode,"cuál es el episodio más nuevo de {{show}}"
season,"reproduce la temporada {season} de {show}"
season,"quiero ver la temporada {{season}} de {show}"
season,"emitir la temporada {{season}} de {show}"
season,"comienza desde la temporada {{season}} de {show}"
season,"pon la temporada {{season}} de {show}"
season,"muéstrame la temporada {{season}} de {show}"
season,"busca la temporada {{season}} de {show}"
genre,"reproduce una serie de {genre}"
genre,"quiero ver una serie {{genre}}"
genre,"busca una serie {{genre}}"
genre,"pon algo {{genre}}"
genre,"muéstrame una serie {{genre}}"
genre,"me apetece {{genre}}"
genre,"emitir una serie {{genre}}"
genre,"pon una serie {{genre}} en cola"
provider,"busca una serie en {provider}"
provider,"emitir una serie en {provider}"
provider,"muéstrame qué hay en {provider}"
provider,"reproduce algo de {provider}"
provider,"busca series disponibles en {provider}"
network,"muéstrame series de {{network}}"
network,"quiero ver algo de {{network}}"
network,"busca una producción de {{network}}"
network,"reproduce una serie de {{network}}"
era,"reproduce una serie clásica"
era,"quiero ver algo reciente"
era,"busca una serie nueva"
era,"muéstrame una serie antigua"
era,"quiero algo de los 90"
era,"reproduce un nuevo lanzamiento"
era,"busca una serie en emisión"
status,"continúa mi lista de seguimiento"
status,"continúa desde donde paré"
status,"muéstrame lo que estoy viendo"
status,"qué series sigo"
status,"busca nuevos lanzamientos"
status,"muéstrame próximos episodios"
discovery,"recomienda una serie"
discovery,"sugiere algo para ver"
discovery,"busca series como {show}"
discovery,"qué es similar a {{show}}"
discovery,"recomienda series como {show}"
discovery,"muéstrame series tendencia"
discovery,"qué debería ver después"
discovery,"sorpréndeme con una serie"
discovery,"qué es popular ahora"
discovery,"busca joyas ocultas en TV"
length,"quiero algo corto para ver"
length,"reproduce una serie rápida"
length,"busca una serie larga para ver"
length,"necesito una miniserie"
length,"muéstrame series de una temporada"
generic,"reproduce una serie"
generic,"ve una serie"
generic,"quiero ver una serie"
generic,"busca algo para ver"
generic,"pon algo"
generic,"pon una serie en cola"
generic,"estoy aburrido, reproduce una serie"
generic,"busca una serie"
generic,"muéstrame una serie"
generic,"quiero ver qué hay"
generic,"emitir algo"
generic,"qué debería ver"
generic,"reproduce algo bueno"
generic,"quiero ver una serie"
