category,template
title,"jo {title}"
title,"ikusi {title}"
title,"ikusi nahi dut {title}"
title,"jo {title}"
title,"jo {{title}}n saian"
title,"stream {title}"
title,"bilatu {{title}}"
title,"nahi dut {{title}}"
title,"jo {{title}} animea"
title,"erakutsi {{title}}"
title,"sartu {{title}}"
title,"berrintziartu {{title}}"
title,"jarraitu {{title}}"
season,"jo {{title}}"
season,"nahi dut {{title}}"
season,"stream {{title}}"
season,"jo {{title}}"
season,"bilatu {{title}}"
episode,"jo {{title}}n saia"
episode,"jarraitu {{title}}"
episode,"jo {{title}} saia"
episode,"bilatu {{title}} saia"
episode,"sartu {{title}}"
episode,"zer da {{title}}n saia berria"
genre,"jo {{genre}} animea"
genre,"nahi dut {{genre}}"
genre,"bilatu {{genre}} animea"
genre,"jo {{genre}}"
genre,"nire arimea da {{genre}}"
genre,"stream {{genre}} animea"
genre,"sartu {{genre}} saria"
genre,"erakutsi {{genre}} saila"
genre,"bilatu {{genre}} edukia"
mood,"nahi dut akzioaren"
mood,"jo zerbait komikoa"
mood,"bilatu zerbait romantikoa"
mood,"nahi dut geldoa"
mood,"jo zerbait beroaz"
mood,"bilatu pentsagarria"
mood,"nahi dut epikoaren"
mood,"jo zerbait emaztea"
mood,"bilatu zerbait misterio"
mood,"nahi dut emozioa"
era,"jo klassiko animea"
era,"nahi dut zerbait berria"
era,"bilatu berri animea"
era,"erakutsi berri argitaratuak"
era,"nahi dut 2000ko hamarkada"
era,"jo retro animea"
era,"bilatu ezkutuko animea"
studio,"bilatu {{studio}}"
studio,"nahi dut {{studio}} produkzioak"
studio,"erakutsi {{studio}} animea"
studio,"jo {{studio}}"
type,"nahi dut saila"
type,"bilatu filma"
type,"nahi dut saila laburra"
type,"jo OVA"
type,"bilatu bakarra"
status,"jarraitu nire zerrenda"
status,"berrintziartu"
status,"erakutsi nire ikustea"
status,"zer animea jarraitzen ari naiz"
status,"bilatu berri argitaratuak"
status,"erakutsi jarraitzea"
status,"bilatu amaitua"
discovery,"gomenda animea"
discovery,"proposatu ikusteko"
discovery,"bilatu {{title}}ren antzekoak"
discovery,"zer da {{title}}ren antzekoa"
discovery,"gomenda {{title}}ren antzekoak"
discovery,"erakutsi trending animea"
discovery,"zer ikusi beharko nuke"
discovery,"sorpresatu nirekin"
discovery,"zer ez da popularra"
discovery,"bilatu ezkutuko animea"
provider,"bilatu {{provider}}"
provider,"stream {{provider}}"
provider,"erakutsi {{provider}}"
provider,"jo {{provider}}"
rating,"erakutsi top animea"
rating,"nahi dut balorazio baikorra"
rating,"bilatu balorazio altuak"
rating,"jo balorazio altuaren"
length,"nahi dut labur animea"
length,"bilatu luze saila"
length,"beharko nuke azkar ikustea"
length,"bilatu 13 saiaren"
length,"jo zenbait denboraldietan"
generic,"jo animea"
generic,"nahi dut ikusi animea"
generic,"bilatu adora animea"
generic,"nahi dut ikusi animea"
generic,"jo zenbait animea"
generic,"stream animea"
generic,"erakutsi animea"
generic,"sartu animea"
generic,"zer animea ikusi"
generic,"jo zerbait"
generic,"aburriagoa nago, jo animea"
