category,template
title,"jo {title}"
title,"irakurri {title}"
title,"entzun nahi dut {title}"
title,"jo {title} audiolibroa"
title,"bilatu {title} audiolibroa"
title,"entzun nahi dut {title}"
title,"sartu {title}"
title,"jo {title}"
title,"stream {title}"
title,"nahi dut {{title}}"
title_author,"jo {title} eta {author}"
title_author,"irakurri {{title}}"
title_author,"nahi dut {{title}} {{author}}"
title_author,"bilatu {{title}} {{author}}"
title_author,"jo {{title}} {{author}}"
title_author,"stream {{title}} {{author}}"
author,"bilatu {{author}} audiolibroa"
author,"jo liburua {{author}}"
author,"nahi dut {{author}}"
author,"irakurri {{author}}"
author,"jo {{author}} audiolibroa"
author,"bilatu {{author}} audiolibroa"
author,"sartu {{author}}"
author,"nahi dut {{author}}"
author,"stream {{author}}"
author,"jo {{author}}"
author,"erakutsi {{author}}"
genre,"jo {{genre}} audiolibroa"
genre,"nahi dut {{genre}} liburua"
genre,"bilatu {{genre}} audiolibroa"
genre,"jo {{genre}}"
genre,"stream {{genre}} audiolibroa"
genre,"sartu {{genre}} liburua"
genre,"nire arimea da {{genre}}"
genre,"erakutsi {{genre}} istorioak"
narrator,"jo {{narrator}}en narralia"
narrator,"nahi dut {{narrator}}"
narrator,"bilatu {{narrator}} audiolibroa"
narrator,"sartu {{narrator}}"
narrator,"jo {{narrator}} liburua"
mood,"nahi dut lasaia zerbait"
mood,"jo zerbait ilunak"
mood,"bilatu zerbait komikoa"
mood,"nahi dut tristea"
mood,"jo inspiratzailea"
mood,"bilatu abentura"
mood,"nahi dut mistertio"
mood,"jo romantikoa"
mood,"bilatu geldoa zerbait"
series,"jarraitu {{title}} saila"
series,"jo {{title}} saia"
series,"nahi dut {{title}} saila"
series,"bilatu {{title}} saila"
series,"sartu {{title}} liburua"
duration,"nahi dut labur audiolibroa"
duration,"jo azkar zerbait"
duration,"bilatu luze audiolibroa"
duration,"behar dut bidaiaren audiolibroa"
duration,"jo ora batzun audiolibroa"
discovery,"gomenda audiolibroa"
discovery,"proposatu entzuteko"
discovery,"bilatu {{title}}ren antzekoak"
discovery,"zer ikusi beharko nuke"
discovery,"gomenda {{author}}ren antzekoak"
discovery,"erakutsi berri argitaratuak"
discovery,"sorpresatu nirekin"
discovery,"zer trending audiolibroak"
format,"jo argitudik audiolibroa"
format,"nahi dut laburra"
format,"bilatu dramatizatua audiolibroa"
provider,"bilatu {{provider}}n"
provider,"stream {{provider}}"
provider,"erakutsi {{provider}}n"
status,"jarraitu aurreragoa"
status,"berrintziartu nire audiolibroa"
status,"erakutsi nire entzutea"
status,"zer ari naiz entzuten"
generic,"jo audiolibroa"
generic,"irakurri liburua"
generic,"entzun nahi dut liburua"
generic,"bilatu entzuteko"
generic,"jo zerbait"
generic,"entzun nahi dut istorioa"
generic,"sartu audiolibroa"
generic,"aburriagoa nago, jo audiolibroa"
generic,"bilatu audiolibroa"
generic,"erakutsi liburua"
generic,"nahi dut entzutea"
generic,"stream audiolibroa"
