category,template
title,"jo {title}"
title,"nahi dut jo {title}"
title,"abiarazi {title}"
title,"hasi {title}"
title,"ireki {title}"
title,"nahi dut jo {{title}}"
title,"bilatu {{title}}"
title,"kargarri {{title}}"
title,"abaiarazi {{title}}"
title,"jo dezakezu {{title}}"
title,"sartu {{title}}"
title,"jo {{title}}"
title,"jo {{title}} gailuari"
genre,"jo {{genre}} jokoa"
genre,"nahi dut jo {{genre}}"
genre,"bilatu {{genre}} jokoa"
genre,"jo {{genre}} jokoa"
genre,"nire arimea da {{genre}}"
genre,"stream {{genre}} jokoa"
genre,"sartu {{genre}} jokoa"
genre,"erakutsi {{genre}} jokalunak"
genre,"nahi dut {{genre}}"
platform,"bilatu {{platform}}"
platform,"nahi dut jo {{platform}}"
platform,"erakutsi {{platform}} jokalunak"
platform,"zer {{platform}} jokalari"
platform,"sartu {{platform}} jokoa"
platform,"jo {{platform}}"
mood,"nahi dut lasaia zerbait"
mood,"jo zerbait zaila"
mood,"bilatu zerbait dibertigarria"
mood,"nahi dut lehiakortasun"
mood,"jo kooperatiboa"
mood,"bilatu estrategia"
mood,"nahi dut abentura"
mood,"jo zerbait beldurtzalea"
mood,"bilatu zerbait komikoa"
mood,"nahi dut istorioa"
mode,"jo bakarra"
mode,"nahi dut multiplayer"
mode,"bilatu kooperatiboak"
mode,"jo lehiakorra"
mode,"nahi dut online"
mode,"bilatu lokala"
difficulty,"nahi dut erraza"
difficulty,"jo zaila"
difficulty,"bilatu zaila jokoa"
difficulty,"nahi dut kasuala"
difficulty,"jo hardkore jokalari"
length,"nahi dut azkar jokoa"
length,"bilatu luze jokoa"
length,"behar dut saio laburra"
length,"jo zenbait oratan"
duration,"dut 30 minutu"
duration,"dut ordu bat"
duration,"dut gau guzia"
duration,"bilatu jokoa saio bakarrean"
exploration,"bilatu indie jokoa"
exploration,"erakutsi ezkutua ikusiera"
exploration,"gomenda jokoa"
exploration,"zer jokoa jo"
exploration,"sorpresatu nirekin"
exploration,"proposatu zerbait"
exploration,"zer trending jokua"
exploration,"bilatu {{title}}ren antzekoak"
rating,"erakutsi top jokua"
rating,"nahi dut balorazio baikorra"
rating,"bilatu balorazio altuak"
rating,"jo adora kalitatearen"
franchise,"bilatu {{title}} jokalunak"
franchise,"jo {{title}} sailan"
franchise,"zer {{title}} jokoa"
franchise,"sartu {{title}}"
retro,"jo klassiko jokoa"
retro,"nahi dut retro jokoa"
retro,"bilatu zahar jokoa"
retro,"erakutsi {{year}}ko jokalunak"
retro,"nahi dut arcade jokoa"
recent,"jo berri argitaratua"
recent,"bilatu berri jokoa"
recent,"zer trending jokuan"
recent,"erakutsi {{year}}ko jokalunak"
recent,"sartu berri argitaratua"
provider,"bilatu {{provider}}"
provider,"stream {{provider}}"
provider,"erakutsi {{provider}} jokalunak"
provider,"jo {{provider}}"
generic,"jo jokoa"
generic,"nahi dut jo jokalari"
generic,"hasi jokoa"
generic,"aburriagoa nago, jo jokoa"
generic,"bilatu jokoa"
generic,"erakutsi jokoa"
generic,"zer jokoa jo"
generic,"sorpresatu nirekin"
generic,"jo adora zerbait"
generic,"sartu jokoa"
