category,template
title,"jo {title}"
title,"ikusi {title}"
title,"ikusi nahi dut {title}"
title,"jo {title}"
title,"jo dezakezu {title}"
title,"bilatu {title}"
title,"stream {title}"
title,"erakutsi {title}"
title,"sartu {title}"
actor,"jo filmik bat {actor}rekin"
actor,"jo film bat {actor}rekin"
actor,"ikusi nahi dut {actor}rekin filmik"
actor,"bilatu filmik {actor}rekin"
actor,"erakutsi {actor}rekin"
actor,"ikusi nahi dut {actor}rekin"
actor,"jo filmik {actor}rekin"
actor,"stream {actor}rekin"
actor,"ikusi filmik {actor}rekin"
actor,"bilatu {actor}"
actor,"nahi dut {actor}rekin"
actor,"jo dezakezu {actor} filmik"
actor,"sartu {actor}rekin"
director,"jo {director}ren filma"
director,"ikusi nahi dut {director}ren filma"
director,"erakutsi {director}ren filmik"
director,"bilatu {director}ren filma"
director,"nahi dut {director}ren zerbait"
director,"jo {director}ren filmik"
director,"stream {director}ren filmik"
director,"jo {director}ren filmik"
director,"ikusi nahi dut {director}ren filmik"
director,"bilatu {director}ren filmik"
director,"jo dezakezu {director}ren filma"
director,"sartu {{director}}"
director,"nire arimea da {{director}}"
director_actor,"jo {{director}} filmik {{actor}}rekin"
director_actor,"ikusi nahi dut {{director}} filmik {{actor}}rekin"
director_actor,"bilatu {{director}} filmik {{actor}}rekin"
director_actor,"jo {{director}} filmik {{actor}}rekin"
genre,"jo {{genre}} filmik"
genre,"ikusi nahi dut {{genre}}"
genre,"bilatu {{genre}} zerbait"
genre,"erakutsi {{genre}} filma"
genre,"nire arimea da {{genre}}"
genre,"jo {{genre}} filme"
genre,"nahi dut {{genre}} entretenimendua"
genre,"stream {{genre}} filmik"
genre,"sartu {{genre}} filma"
genre,"jo {{genre}}"
year,"jo {{year}}ko filmik"
year,"ikusi nahi dut {{year}}ko filma"
year,"bilatu {{year}}ko filmik"
year,"erakutsi {{year}}ko zinea"
year,"nahi dut {{year}}ko klasiko"
year,"jo {{year}}ko filmik"
era,"jo klassiko filmik"
era,"ikusi nahi dut zerbait zaharrean"
era,"bilatu moderno filma"
era,"erakutsi egungo zinea"
era,"nahi dut retro filmik"
era,"jo film berria"
era,"bilatu ezkonduko filmik"
mood,"bilatu familiarekin ikusteko"
mood,"nahi dut lagun batzuekin ikusteko"
mood,"jo zerbait komikoa"
mood,"behar dut zerbait beldurtzalea"
mood,"nahi dut filmik romantikoa"
mood,"jo akzio filma"
mood,"nahi dut pentsagarria"
mood,"bilatu abentura"
mood,"nahi dut arina"
mood,"jo film bat errelaxatzeko"
provider,"bilatu filmik {provider}n"
provider,"stream filmik {provider}n"
provider,"erakutsi {provider}n"
provider,"jo {provider}n"
studio,"bilatu {{studio}}ren filmik"
studio,"ikusi nahi dut {{studio}}en"
studio,"erakutsi {{studio}} produkzioa"
discovery,"gomenda filmik"
discovery,"proposatu ikusteko"
discovery,"bilatu {{title}}ren antzekoak"
discovery,"zer da {{title}}ren antzekoa"
discovery,"gomenda {{title}}ren antzekoa"
discovery,"erakutsi film berria"
discovery,"zer ikusi beharko nuke"
discovery,"sorpresatu nirekin"
runtime,"jo film laburra"
runtime,"nahi dut zerbait azkar ikusteko"
runtime,"bilatu luzea filma"
runtime,"behar dut luzea filma"
generic,"jo filmik"
generic,"ikusi filma"
generic,"ikusi nahi dut filmik"
generic,"bilatu ikusteko"
generic,"jo film adora"
generic,"jo filmik"
generic,"sartu filmik"
generic,"aburriagoa nago, jo filmik"
generic,"bilatu filma"
generic,"erakutsi filmik"
generic,"nahi dut ikusi"
generic,"stream filmik"
generic,"zer filmik ikusi"
generic,"jo adora zerbait"
