category,template
show,"jo {show} podcast"
show,"entzun nahi dut {show}"
show,"jo {show}n saiaren"
show,"bilatu {show} podcast"
show,"jo {show}"
show,"stream {show}"
show,"entzun nahi dut {show}"
show,"jarraitu {show}"
show,"sartu {show}"
show,"erakutsi {show}"
show,"jo dezakezu {show}"
show,"nahi dut {{show}}"
show,"berrintziartu {show}"
show,"zer dago {{show}}"
topic,"jo podcast {{topic}} buruari"
topic,"bilatu {{topic}} buruari"
topic,"entzun nahi dut {{topic}} buruari"
topic,"jo {{topic}} podcastak"
topic,"nahi dut {{topic}} podcastak"
topic,"stream {{topic}} podcastak"
topic,"bilatu {{topic}} podcastak"
topic,"jo zerbait {{topic}}"
topic,"entzun nahi dut {{topic}}"
topic,"bilatu {{topic}} podcastak"
topic,"sartu {{topic}} podcastak"
topic,"jo dezakezu {{topic}} podcastak"
topic,"erakutsi {{topic}} podcastak"
topic,"interesaturik nago {{topic}}"
topic,"gomenda {{topic}} podcastak"
episode,"jo {{show}}n saia berria"
episode,"bilatu {{show}}"
episode,"jo {{show}}"
episode,"jarraitu {{show}}"
episode,"stream {{show}}"
episode,"sartu {{show}}"
episode,"zer da {{show}}n saia berria"
episode,"jo {{show}}"
series,"nahi dut hasiera {{topic}} sailan"
series,"bilatu {{topic}} saila"
series,"zer saila entzun nuke"
series,"erakutsi {{topic}} saila"
series,"sartu {{topic}}"
series,"hasi {{topic}} nirekin"
discovery,"gomenda podcast"
discovery,"proposatu entzuteko"
discovery,"bilatu {{topic}} podcastak"
discovery,"zer trending podcast"
discovery,"erakutsi {{topic}} podcast"
discovery,"bilatu ezkutuko podcast"
discovery,"zer podcast saiatu beharko nuke"
discovery,"sorpresatu nirekin"
discovery,"bilatu {{show}}ren antzekoak"
discovery,"zer da {{show}}ren antzekoa"
length,"nahi dut labur podcast"
length,"bilatu luze podcast"
length,"behar dut azkar entzutea"
length,"jo zerbait desplazamenduan"
frequency,"bilatu astean behin"
frequency,"nahi dut egunero podcast"
frequency,"jo zerbait eguneratua"
genre,"jo {{genre}} podcast"
genre,"nahi dut {{genre}} saria"
genre,"bilatu {{genre}} edukia"
genre,"jo {{genre}}"
genre,"stream {{genre}} podcast"
genre,"sartu {{genre}} saria"
genre,"nire arimea da {{genre}} podcastak"
mood,"nahi dut ikaskorra"
mood,"jo zerbait komikoa"
mood,"behar dut lasaia zerbait"
mood,"bilatu inspiratzailea"
mood,"nahi dut crime beroa"
mood,"jo zerbait pentsagarria"
mood,"bilatu entretenimendua"
host,"bilatu {{host}} podcastak"
host,"nahi dut {{host}}"
host,"jo {{host}}"
host,"jo zerbait {{host}}"
host,"stream {{host}} podcast"
provider,"bilatu podcast {provider}n"
provider,"stream {{provider}}"
provider,"erakutsi {{provider}}n"
provider,"jo {{provider}}"
generic,"jo podcast"
generic,"jo zenbait podcast"
generic,"entzun nahi dut podcast"
generic,"bilatu entzuteko"
generic,"jo zerbait"
generic,"sartu zerbait"
generic,"entzun nahi dut zerbait"
generic,"jo podcast"
generic,"stream podcast"
generic,"jo ezer"
generic,"aburriagoa nago, jo podcast"
generic,"jo zenbait podcast"
generic,"zer podcast entzun"
