category,template
show,"jo {show}"
show,"jo {show}"
show,"ikusi nahi dut {show}"
show,"bilatu {show}"
show,"jo {show}n sailak"
show,"stream {show}"
show,"ikusi nahi dut {show}n sailak"
show,"jo {show}n denboraldian"
show,"jarraitu {show}"
show,"jo dezakezu {show}"
show,"erakutsi {show}"
show,"nahi dut {show}"
show,"ikusi {show}"
show,"nahi dut ikusi {show}"
show,"jo {show}n saiaren"
show,"sartu {show}"
show,"jo {show}"
show,"berrintziartu {show}"
show,"zer dago {{show}}"
episode,"jo {{show}}n saiaren"
episode,"jarraitu {{show}}"
episode,"jo {{show}}n saia berria"
episode,"jo {{show}}n saiaren"
episode,"bilatu {{show}}n saia berria"
episode,"sartu {{show}}"
episode,"ikusi nahi dut {{show}}n"
episode,"stream {{show}}"
episode,"jo {{show}}n saia berrienak"
episode,"zer da {{show}}n saia berria"
season,"jo {show}n denboraldian"
season,"ikusi nahi dut {{show}}"
season,"stream {{show}}"
season,"hasi {{show}}"
season,"jo {{show}} denboraldian"
season,"erakutsi {{show}} denboraldian"
season,"bilatu {{show}} denboraldian"
genre,"jo {genre} saria"
genre,"ikusi nahi dut {{genre}} saila"
genre,"bilatu {{genre}} telebista"
genre,"jo {{genre}}"
genre,"erakutsi {{genre}} saria"
genre,"nire arimea da {{genre}}"
genre,"stream {{genre}} saila"
genre,"sartu {{genre}} saria"
provider,"bilatu {provider}n"
provider,"stream {provider}n"
provider,"erakutsi {provider}n"
provider,"jo {provider}en"
provider,"bilatu {provider}n"
network,"erakutsi {{network}} saria"
network,"ikusi nahi dut {{network}}en"
network,"bilatu {{network}} produkzioa"
network,"jo {{network}} saila"
era,"jo klassiko saila"
era,"ikusi nahi dut berria"
era,"bilatu berri saila"
era,"erakutsi retro saria"
era,"nahi dut 90 hamarrendian"
era,"jo film berria"
era,"bilatu jarraitzea"
status,"jarraitu nire zerrenda"
status,"berrintziartu"
status,"erakutsi nire ikustea"
status,"zer saila jarraitzen ari naiz"
status,"bilatu film berria"
status,"erakutsi hurrengo sailaren"
discovery,"gomenda telebista saila"
discovery,"proposatu ikusteko"
discovery,"bilatu {{show}}ren antzekoak"
discovery,"zer da {{show}}ren antzekoa"
discovery,"gomenda {{show}}ren antzekoak"
discovery,"erakutsi trending saria"
discovery,"zer ikusi behar nuke"
discovery,"sorpresatu nirekin"
discovery,"zer ez da popularra"
discovery,"bilatu ezkutuko ikusiera"
length,"nahi dut laburra ikusteko"
length,"jo azkar saria"
length,"bilatu luzea saila"
length,"behar dut minisaila"
length,"erakutsi saila bakarrean"
generic,"jo telebista saila"
generic,"ikusi saila"
generic,"ikusi nahi dut saria"
generic,"bilatu ikusteko"
generic,"jo zerbait"
generic,"sartu zerbait"
generic,"aburriagoa nago, jo saria"
generic,"bilatu saila"
generic,"erakutsi saria"
generic,"zer ikusi beharko nuke"
generic,"stream zerbait"
generic,"zer ikusi beharko nuke"
generic,"jo zerbait adora"
generic,"jarraitu zerbait"
