category,template
title,"joue {title}"
title,"lis-moi {title}"
title,"je veux écouter {title}"
title,"joue l'audiobook {title}"
title,"trouve l'audiobook {title}"
title,"je veux écouter {title}"
title,"ajoute {title} à la file"
title,"mets {title}"
title,"diffuse {title}"
title,"j'aimerais écouter {{title}}"
title_author,"joue {title} de {author}"
title_author,"lis-moi {{title}}"
title_author,"je veux écouter {{title}} de {author}"
title_author,"trouve-moi {{title}} de {{author}}"
title_author,"mets {{title}} de {{author}}"
title_author,"diffuse {{title}} de {{author}}"
author,"trouve-moi un audiobook de {author}"
author,"joue un livre de {author}"
author,"j'aimerais écouter {author}"
author,"lis-moi quelque chose de {author}"
author,"joue un audiobook de {author}"
author,"trouve un audiobook de {{author}}"
author,"ajoute un audiobook de {{author}} à la file"
author,"je veux {{author}}"
author,"diffuse {{author}}"
author,"mets quelque chose de {{author}}"
author,"montre-moi les audiobooks de {{author}}"
genre,"joue un audiobook {{genre}}"
genre,"je veux écouter un livre {{genre}}"
genre,"trouve-moi un audiobook {{genre}}"
genre,"mets quelque chose de {{genre}}"
genre,"diffuse un audiobook {{genre}}"
genre,"ajoute un livre {{genre}} à la file"
genre,"je suis d'humeur pour du {{genre}}"
genre,"montre-moi les histoires {{genre}}"
narrator,"joue quelque chose narré par {narrator}"
narrator,"je veux écouter la narration de {{narrator}}"
narrator,"trouve un audiobook de {{narrator}}"
narrator,"ajoute un audiobook de {{narrator}} à la file"
narrator,"mets un livre de {{narrator}}"
mood,"je veux quelque chose de relaxant"
mood,"joue quelque chose de palpitant"
mood,"trouve-moi quelque chose de drôle"
mood,"je veux quelque chose de triste"
mood,"joue quelque chose d'inspirant"
mood,"trouve-moi une aventure"
mood,"je veux un mystère"
mood,"joue quelque chose de romantique"
mood,"trouve-moi quelque chose de sombre"
series,"continue la série {{title}}"
series,"joue le prochain livre de {{title}}"
series,"je veux écouter la série {{title}}"
series,"trouve la série {{title}}"
series,"ajoute le prochain livre de {{title}} à la file"
duration,"je veux un court audiobook"
duration,"joue quelque chose de rapide"
duration,"trouve un long audiobook pour ce soir"
duration,"j'ai besoin d'un audiobook pour un road trip"
duration,"joue un audiobook de plusieurs heures"
discovery,"recommande-moi un audiobook"
discovery,"suggère-moi quelque chose à écouter"
discovery,"trouve des livres comme {{title}}"
discovery,"qu'est-ce que je devrais écouter ensuite"
discovery,"recommande-moi des auteurs comme {{author}}"
discovery,"montre-moi les nouvelles sorties"
discovery,"surprends-moi avec un audiobook"
discovery,"qu'est-ce qui est tendance dans les audiobooks"
format,"joue un audiobook non abrégé"
format,"je veux une version abrégée"
format,"trouve un audiobook dramatisé"
provider,"trouve un audiobook sur {{provider}}"
provider,"diffuse depuis {{provider}}"
provider,"montre-moi ce qui est sur {{provider}}"
status,"continue où j'ai laissé"
status,"reprends mon audiobook"
status,"montre-moi ma liste d'écoute"
status,"qu'est-ce que j'écoute en ce moment"
generic,"joue un audiobook"
generic,"lis-moi un livre"
generic,"je veux écouter un livre"
generic,"trouve-moi quelque chose à écouter"
generic,"joue quelque chose"
generic,"je veux écouter une histoire"
generic,"ajoute un audiobook à la file"
generic,"je m'ennuie, joue un audiobook"
generic,"trouve-moi un audiobook"
generic,"montre-moi un livre"
generic,"je veux écouter quelque chose"
generic,"diffuse un audiobook"
