category,template
title,"joue {title}"
title,"regarde {title}"
title,"je veux regarder {title}"
title,"mets {title}"
title,"peux-tu jouer {title}"
title,"trouve {title} pour moi"
title,"diffuse {title}"
title,"montre-moi {title}"
title,"ajoute {title} à la file"
actor,"joue un film avec {actor}"
actor,"joue un film mettant en vedette {actor}"
actor,"je veux regarder un film avec {actor}"
actor,"trouve un film avec {actor}"
actor,"montre-moi un film mettant en vedette {actor}"
actor,"j'aimerais regarder un film avec {actor}"
actor,"mets un film avec {actor}"
actor,"diffuse un film mettant en vedette {actor}"
actor,"regarde un film avec {actor} dedans"
actor,"trouve-moi quelque chose mettant en vedette {actor}"
actor,"je veux voir {actor} dans un film"
actor,"peux-tu jouer un film de {actor}"
actor,"ajoute un film avec {actor} à la file"
director,"joue un film de {director}"
director,"je veux regarder un film de {director}"
director,"montre-moi un film de {director}"
director,"trouve un film de {director}"
director,"j'aimerais regarder quelque chose de {director}"
director,"joue le dernier film de {director}"
director,"diffuse un film réalisé par {director}"
director,"joue un film réalisé par {director}"
director,"je veux regarder quelque chose réalisé par {director}"
director,"trouve-moi un film de {director}"
director,"peux-tu jouer un film de {director}"
director,"ajoute un film de {director} à la file"
director,"je suis d'humeur pour {director}"
director_actor,"joue un film de {director} avec {actor}"
director_actor,"je veux regarder un film de {{director}} mettant en vedette {actor}"
director_actor,"trouve-moi un film de {{director}} avec {actor}"
director_actor,"mets un film de {{director}} avec {actor}"
genre,"joue un film {{genre}}"
genre,"je veux regarder du {{genre}}"
genre,"trouve-moi quelque chose de {{genre}}"
genre,"montre-moi un film {{genre}}"
genre,"je suis d'humeur pour du {{genre}}"
genre,"joue un {{genre}} sympa"
genre,"je veux du divertissement {{genre}}"
genre,"diffuse un film {{genre}}"
genre,"ajoute un film {{genre}} à la file"
genre,"mets quelque chose de {{genre}}"
year,"joue un film des années {year}"
year,"je veux regarder un film de {{year}}"
year,"trouve-moi un film de {{year}}"
year,"montre-moi le cinéma de {{year}}"
year,"je veux un classique de {{year}}"
year,"mets un film de {{year}}"
era,"joue un film classique"
era,"je veux regarder quelque chose de l'époque d'or"
era,"trouve-moi un film moderne"
era,"montre-moi du cinéma contemporain"
era,"je veux un film rétro"
era,"joue une sortie récente"
mood,"trouve-moi quelque chose à regarder en famille"
mood,"je veux un film à regarder avec des amis"
mood,"joue quelque chose de drôle"
mood,"j'ai besoin de quelque chose de effrayant"
mood,"je veux un film romantique"
mood,"joue un film d'action"
mood,"je veux quelque chose qui fait réfléchir"
mood,"trouve-moi une aventure"
mood,"je veux quelque chose de léger"
mood,"joue un film pour me détendre"
provider,"trouve un film sur {provider}"
provider,"diffuse un film sur {provider}"
provider,"montre-moi les nouveautés sur {provider}"
provider,"joue un film de {provider}"
studio,"trouve un film de {studio}"
studio,"je veux regarder quelque chose de {studio}"
studio,"montre-moi une production {{studio}}"
discovery,"recommande-moi un film"
discovery,"suggère-moi quelque chose à regarder"
discovery,"trouve des films comme {title}"
discovery,"qu'est-ce qui ressemble à {title}"
discovery,"recommande-moi des films comme {{title}}"
discovery,"montre-moi les nouvelles sorties"
discovery,"qu'est-ce que je devrais regarder ensuite"
discovery,"surprends-moi avec un film"
runtime,"joue un court-métrage"
runtime,"je veux quelque chose de rapide à regarder"
runtime,"trouve-moi un long-métrage"
runtime,"j'ai besoin d'un long film pour ce soir"
generic,"joue un film"
generic,"regarde un film"
generic,"je veux regarder un film"
generic,"trouve-moi quelque chose à regarder"
generic,"joue un bon film"
generic,"mets un film"
generic,"ajoute un film à la file"
generic,"je m'ennuie, joue un film"
generic,"trouve-moi un film"
generic,"montre-moi un film"
generic,"je veux voir un film"
generic,"diffuse un film"
generic,"quel film devrais-je regarder"
generic,"joue quelque chose de bien"
