category,template
artist,"joue {artist}"
artist,"joue de la musique {artist}"
artist,"je veux écouter {artist}"
artist,"peux-tu jouer {artist}"
artist,"mets un peu de {artist}"
artist,"j'aimerais écouter {artist}"
artist,"diffuse {artist}"
artist,"joue de la musique de {artist}"
artist,"joue une chanson de {artist}"
artist,"joue quelque chose de {artist}"
artist,"j'ai envie d'écouter {artist}"
artist,"je suis d'humeur à écouter {artist}"
artist,"trouve-moi un peu de {artist}"
artist,"joue la musique de {artist}"
artist,"je veux écouter {artist}"
artist,"file {artist}"
artist,"mets {artist}"
artist,"donne-moi un peu de {artist}"
artist,"je veux découvrir {artist}"
artist,"montre-moi à quoi {artist} ressemble"
track,"joue {track}"
track,"joue la chanson {track}"
track,"je veux écouter {track}"
track,"trouve {track} pour moi"
track,"je veux écouter {track}"
track,"peux-tu jouer {track}"
track,"mets {track}"
track,"ajoute {track} à la file"
track,"joue la piste {track}"
track,"diffuse {track}"
track,"je cherche {track}"
track,"trouve-moi {track}"
track_artist,"joue {track} de {artist}"
track_artist,"je veux écouter {track} de {artist}"
track_artist,"joue {track} de {artist}"
track_artist,"trouve-moi {track} de {artist}"
track_artist,"mets {track} de {artist}"
track_artist,"file {track} de {artist}"
track_artist,"diffuse {track} de {artist}"
track_artist,"joue {track} de {artist}"
track_artist,"je veux {track} de {artist}"
genre,"joue de la musique {genre}"
genre,"je veux écouter du {genre}"
genre,"mets un peu de {genre}"
genre,"je suis d'humeur à écouter du {genre}"
genre,"joue une playlist {genre}"
genre,"trouve-moi de la musique {genre}"
genre,"joue du {genre} pour moi"
genre,"j'aimerais du {genre}"
genre,"joue du {genre}"
genre,"diffuse du {genre}"
genre,"mets de la musique {genre}"
genre,"j'ai envie de {genre} en ce moment"
genre,"donne-moi une ambiance {genre}"
genre,"montre-moi du {genre}"
genre,"ajoute du {genre} à la file"
album,"joue l'album {album}"
album,"je veux écouter {album}"
album,"mets {album}"
album,"joue {album} de {artist}"
album,"diffuse l'album {album}"
album,"ajoute {album} à la file"
album,"joue l'album complet {album}"
album,"je veux écouter {album}"
album,"trouve-moi {album}"
album,"joue {album} de {artist}"
album,"je veux écouter l'album {album}"
album,"diffuse {album}"
featuring,"joue {track} featuring {artist}"
featuring,"diffuse {track} featuring {artist}"
featuring,"joue-moi {track} featuring {artist}"
featuring,"je veux écouter {track} featuring {artist}"
featuring,"mets {track} featuring {artist}"
mood,"joue quelque chose de relaxant"
mood,"j'ai besoin de musique chill"
mood,"joue quelque chose de dynamique"
mood,"je veux de la musique pour travailler"
mood,"joue quelque chose pour étudier"
mood,"j'ai besoin de musique pour faire du sport"
mood,"joue quelque chose de romantique"
mood,"donne-moi de la musique joyeuse"
mood,"je veux de la musique mélancolique"
mood,"joue quelque chose d'énergique"
playlist,"joue ma playlist {playlist_name}"
playlist,"ajoute ma {playlist_name} à la file"
playlist,"je veux écouter ma {playlist_name}"
playlist,"mets ma playlist {playlist_name}"
playlist,"diffuse ma {playlist_name}"
discovery,"découvre du nouveau {genre}"
discovery,"trouve de la nouvelle musique en {genre}"
discovery,"montre-moi de nouvelles chansons de {artist}"
discovery,"quoi de nouveau de {artist}"
discovery,"recommande-moi du {genre}"
discovery,"donne-moi de nouvelles recommandations musicales"
discovery,"joue les nouveaux titres en {genre}"
generic,"joue de la musique"
generic,"joue de la musique"
generic,"je veux écouter de la musique"
generic,"trouve-moi quelque chose à écouter"
generic,"joue quelque chose"
generic,"ajoute quelque chose à la file"
generic,"je veux écouter quelque chose"
generic,"mets un peu de musique"
generic,"diffuse de la musique"
generic,"joue n'importe quoi"
generic,"je m'ennuie, joue de la musique"
generic,"joue de la musique aléatoire"
