category,template
generic,"joue les informations"
generic,"je veux écouter les informations"
generic,"donne-moi les dernières informations"
generic,"qu'est-ce qui est à la une"
generic,"lis-moi les titres"
generic,"quelles sont les dernières nouvelles"
generic,"joue les informations du matin"
generic,"joue les informations d'aujourd'hui"
generic,"tiens-moi au courant des informations"
generic,"diffuse les informations"
generic,"j'aimerais écouter les informations"
generic,"joue les informations du soir"
generic,"trouve-moi de la couverture d'informations"
generic,"montre-moi ce qu'il se passe"
generic,"je veux les événements actuels"
provider,"joue les informations de {provider}"
provider,"je veux écouter les informations de {{provider}}"
provider,"diffuse les informations de {{provider}}"
provider,"joue les informations de {{provider}}"
provider,"trouve-moi les informations de {{provider}}"
provider,"qu'est-ce que {{provider}} dit aujourd'hui"
provider,"mets-toi en accord avec {{provider}}"
provider,"montre-moi {{provider}}"
provider,"ajoute les informations de {{provider}} à la file"
category,"joue les informations {{category}}"
category,"je veux écouter les informations {{category}}"
category,"montre-moi les {{category}}"
category,"trouve-moi les mises à jour {{category}}"
category,"mets les informations {{category}}"
category,"diffuse les {{category}}"
category,"ajoute les {{category}} à la file"
category,"je suis intéressé par les informations {{category}}"
category,"donne-moi les titres {{category}}"
time,"joue le briefing du matin"
time,"je veux les informations du soir"
time,"joue la mise à jour d'aujourd'hui"
time,"donne-moi les derniers titres"
time,"joue les informations de midi"
time,"je veux les informations du soir"
time,"montre-moi les informations de dernière minute"
time,"trouve-moi la couverture directe"
time,"joue les informations récentes"
topic,"je veux des informations sur {{topic}}"
topic,"trouve-moi de la couverture {{topic}}"
topic,"joue les informations sur {{topic}}"
topic,"montre-moi les mises à jour {{topic}}"
topic,"diffuse les informations {{topic}}"
topic,"ajoute les histoires {{topic}} à la file"
topic,"qu'est-ce qui est nouveau sur {{topic}}"
topic,"donne-moi les titres {{topic}}"
topic,"je suis intéressé par les informations {{topic}}"
region,"joue les informations de {{region}}"
region,"je veux les informations {{region}}"
region,"diffuse la couverture {{region}}"
region,"montre-moi les titres {{region}}"
region,"trouve les informations {{region}}"
region,"qu'est-ce qui se passe dans {{region}}"
language,"joue les informations en {{language}}"
language,"je veux la couverture d'informations {{language}}"
language,"montre-moi les titres {{language}}"
language,"diffuse en {{language}}"
source,"trouve la couverture de {{source}}"
source,"je veux les rapports de {{source}}"
source,"montre-moi {{source}}"
source,"joue les informations de {{source}}"
source,"diffuse {{source}}"
source,"ajoute {{source}} à la file"
discovery,"qu'est-ce qui est tendance"
discovery,"montre-moi les histoires principales"
discovery,"qu'est-ce que je devrais savoir aujourd'hui"
discovery,"des informations surprenantes"
discovery,"les titres importants"
discovery,"informations de dernière minute"
discovery,"les histoires principales en ce moment"
format,"joue un podcast d'informations"
format,"je veux un programme d'informations vidéo"
format,"montre-moi des résumés écrits"
format,"joue un bulletin d'informations"
format,"diffuse les informations vidéo"
mood,"je veux un briefing complet"
mood,"donne-moi la version rapide"
mood,"je veux une analyse approfondie"
mood,"joue la couverture légère d'informations"
mood,"trouve-moi du journalisme sérieux"
weather,"quel temps fait-il"
weather,"dis-moi le temps"
weather,"joue la prévision météorologique"
weather,"je veux savoir le temps"
traffic,"dis-moi le trafic"
traffic,"joue les mises à jour de trafic"
traffic,"quelle est la situation du trafic"
traffic,"trouve les informations de trafic"
sports,"joue les informations sportives"
sports,"je veux les mises à jour sportives"
sports,"montre-moi les titres sportifs"
sports,"diffuse la couverture sportive"
business,"joue les informations économiques"
business,"je veux les informations financières"
business,"montre-moi les mises à jour du marché"
business,"diffuse la couverture économique"
tech,"joue les informations technologiques"
tech,"je veux les mises à jour technologiques"
tech,"montre-moi les titres technologiques"
tech,"diffuse la couverture technologique"
generic,"joue quelque chose"
generic,"je veux les événements actuels"
generic,"montre-moi ce qu'il se passe"
generic,"donne-moi les mises à jour"
generic,"diffuse les informations"
generic,"ajoute les informations à la file"
