category,template
show,"joue le podcast {show}"
show,"je veux écouter {show}"
show,"joue un épisode de {show}"
show,"trouve le podcast {show}"
show,"mets {show}"
show,"diffuse {show}"
show,"je veux écouter {show}"
show,"continue à écouter {show}"
show,"ajoute {show} à la file"
show,"montre-moi {show}"
show,"peux-tu jouer {show}"
show,"j'aimerais écouter {{show}}"
show,"reprends {show}"
show,"qu'est-ce qu'il y a de nouveau dans {{show}}"
show,"joue le dernier {{show}}"
show,"trouve-moi un épisode de {{show}}"
show,"mets {{show}}"
topic,"joue un podcast sur {topic}"
topic,"trouve-moi un podcast sur {topic}"
topic,"je veux écouter un podcast sur {topic}"
topic,"mets un podcast {topic}"
topic,"j'aimerais un podcast sur {topic}"
topic,"diffuse un podcast sur {topic}"
topic,"trouve un podcast sur {topic}"
topic,"joue quelque chose sur {topic}"
topic,"je veux écouter un podcast sur {topic}"
topic,"trouve-moi un podcast {topic}"
topic,"ajoute un podcast {{topic}} à la file"
topic,"peux-tu jouer un podcast {{topic}}"
topic,"montre-moi un podcast sur {{topic}}"
topic,"je suis intéressé par un podcast {{topic}}"
topic,"recommande-moi un podcast {{topic}}"
episode,"joue le dernier épisode de {show}"
episode,"trouve un nouvel épisode de {show}"
episode,"mets le dernier épisode de {{show}}"
episode,"continue avec le prochain épisode de {{show}}"
episode,"diffuse le dernier {{show}}"
episode,"ajoute le nouvel épisode de {{show}} à la file"
episode,"quel est le dernier épisode de {{show}}"
episode,"joue le plus récent {{show}}"
series,"je veux commencer une nouvelle série de podcast"
series,"trouve-moi une série de podcast"
series,"quelle série de podcast devrais-je écouter"
series,"montre-moi les séries de podcast sur {{topic}}"
series,"ajoute une nouvelle série à la file"
series,"commence une série de podcast avec moi"
discovery,"recommande-moi un podcast"
discovery,"suggère-moi quelque chose à écouter"
discovery,"trouve des podcasts sur {{topic}}"
discovery,"qu'est-ce qui est tendance en podcasts"
discovery,"montre-moi les nouveaux podcasts"
discovery,"trouve les joyaux cachés des podcasts"
discovery,"quel podcast devrais-je essayer"
discovery,"surprends-moi avec un podcast"
discovery,"trouve des séries comme {{show}}"
discovery,"qu'est-ce qui ressemble à {{show}}"
length,"je veux un court épisode de podcast"
length,"trouve-moi un long podcast"
length,"j'ai besoin d'une écoute rapide"
length,"joue quelque chose que je peux écouter en navettant"
frequency,"trouve-moi un podcast hebdomadaire"
frequency,"je veux un podcast quotidien"
frequency,"mets quelque chose qui est régulièrement mis à jour"
genre,"joue un podcast {{genre}}"
genre,"je veux écouter une émission {{genre}}"
genre,"trouve-moi du contenu {{genre}}"
genre,"mets quelque chose de {{genre}}"
genre,"diffuse un podcast {{genre}}"
genre,"ajoute une émission {{genre}} à la file"
genre,"je suis d'humeur pour des podcasts {{genre}}"
mood,"je veux quelque chose d'éducatif"
mood,"joue quelque chose de drôle"
mood,"j'ai besoin de quelque chose de relaxant"
mood,"trouve-moi quelque chose d'inspirant"
mood,"je veux du true crime"
mood,"joue quelque chose de réfléchi"
mood,"trouve-moi du contenu divertissant"
host,"trouve des podcasts de {host}"
host,"je veux écouter {{host}}"
host,"mets une émission de {{host}}"
host,"joue quelque chose présenté par {{host}}"
host,"diffuse le podcast de {{host}}"
provider,"trouve un podcast sur {provider}"
provider,"diffuse depuis {{provider}}"
provider,"montre-moi ce qui est sur {{provider}}"
provider,"joue quelque chose de {{provider}}"
generic,"joue un podcast"
generic,"joue des podcasts"
generic,"je veux écouter un podcast"
generic,"trouve-moi quelque chose à écouter"
generic,"joue quelque chose"
generic,"ajoute quelque chose à la file"
generic,"je veux écouter quelque chose"
generic,"mets un podcast"
generic,"diffuse un podcast"
generic,"joue n'importe quoi"
generic,"je m'ennuie, joue un podcast"
generic,"joue des podcasts aléatoires"
generic,"quel podcast devrais-je écouter"
