category,template
show,"joue {show}"
show,"mets {show}"
show,"je veux regarder {show}"
show,"trouve {show} pour moi"
show,"joue un épisode de {show}"
show,"diffuse {show}"
show,"je veux regarder un épisode de {show}"
show,"joue la saison 1 de {show}"
show,"continue à regarder {show}"
show,"peux-tu jouer {show}"
show,"montre-moi {show}"
show,"j'aimerais regarder {show}"
show,"regarde {show}"
show,"je veux voir {show}"
show,"joue le prochain épisode de {show}"
show,"ajoute {show} à la file"
show,"mets {show}"
show,"reprends {show}"
show,"qu'est-ce qui vient après dans {show}"
episode,"joue le prochain épisode de {show}"
episode,"reprends {{show}} où je l'ai laissé"
episode,"joue un nouvel épisode de {show}"
episode,"mets un épisode de {{show}}"
episode,"trouve le dernier épisode de {{show}}"
episode,"ajoute le prochain {{show}} à la file"
episode,"je veux regarder le prochain {{show}}"
episode,"diffuse un nouvel {{show}}"
episode,"joue l'épisode le plus récent de {{show}}"
episode,"quel est le dernier épisode de {{show}}"
season,"joue la saison {season} de {show}"
season,"je veux regarder la saison {{season}} de {show}"
season,"diffuse la saison {{season}} de {show}"
season,"commence à partir de la saison {{season}} de {show}"
season,"mets la saison {{season}} de {show}"
season,"montre-moi la saison {{season}} de {show}"
season,"trouve la saison {{season}} de {show}"
genre,"joue une série {{genre}}"
genre,"je veux regarder une série {{genre}}"
genre,"trouve-moi une série {{genre}}"
genre,"mets quelque chose de {{genre}}"
genre,"montre-moi une série {{genre}}"
genre,"je suis d'humeur pour du {{genre}}"
genre,"diffuse une série {{genre}}"
genre,"ajoute une série {{genre}} à la file"
provider,"trouve une série sur {provider}"
provider,"diffuse une série sur {provider}"
provider,"montre-moi ce qui est sur {provider}"
provider,"joue quelque chose de {provider}"
provider,"trouve des séries disponibles sur {provider}"
network,"montre-moi les séries de {{network}}"
network,"je veux regarder quelque chose de {{network}}"
network,"trouve-moi une production {{network}}"
network,"joue une série {{network}}"
era,"joue une série télévisée classique"
era,"je veux regarder quelque chose de récent"
era,"trouve-moi une nouvelle série"
era,"montre-moi une série rétro"
era,"je veux quelque chose des années 90"
era,"joue une nouvelle sortie"
era,"trouve-moi une série en cours"
status,"continue ma liste de suivi"
status,"reprends où je me suis arrêté"
status,"montre-moi ce que je regarde"
status,"quelle série je suis"
status,"trouve les nouvelles sorties"
status,"montre-moi les prochains épisodes"
discovery,"recommande-moi une série"
discovery,"suggère-moi quelque chose à regarder"
discovery,"trouve des séries comme {show}"
discovery,"qu'est-ce qui ressemble à {{show}}"
discovery,"recommande-moi des séries comme {show}"
discovery,"montre-moi les séries tendances"
discovery,"qu'est-ce que je devrais regarder ensuite"
discovery,"surprends-moi avec une série"
discovery,"qu'est-ce qui est populaire en ce moment"
discovery,"trouve les joyaux cachés à la télé"
length,"je veux quelque chose de court à regarder"
length,"joue une série rapide"
length,"trouve une longue série à regarder"
length,"j'ai besoin d'une mini-série"
length,"montre-moi des séries d'une seule saison"
generic,"joue une série télé"
generic,"regarde une série"
generic,"je veux regarder une série"
generic,"trouve-moi quelque chose à regarder"
generic,"mets quelque chose"
generic,"ajoute une série à la file"
generic,"je m'ennuie, joue une série"
generic,"trouve-moi une série"
generic,"montre-moi une série"
generic,"je veux voir ce qui est à la télé"
generic,"diffuse quelque chose"
generic,"qu'est-ce que je devrais regarder"
generic,"joue quelque chose de bien"
generic,"je veux regarder quelque chose"
