category,template
title,"reproduce {title}"
title,"lem para min {title}"
title,"quero escoitar {title}"
title,"reproduce o libro de audio {title}"
title,"busca o libro de audio {title}"
title,"quero escoitar {title}"
title,"engade á cola {title}"
title,"pon {title}"
title,"transmite {title}"
title,"gustaríame escoitar {{title}}"
title_author,"reproduce {title} de {author}"
title_author,"lem {{title}} para min"
title_author,"quero escoitar {{title}} de {author}"
title_author,"búscame {{title}} de {{author}}"
title_author,"pon {{title}} de {{author}}"
title_author,"transmite {{title}} de {{author}}"
author,"búscame un libro de audio de {author}"
author,"reproduce un libro de {author}"
author,"gustaríame escoitar {author}"
author,"lem algo de {author}"
author,"reproduce un libro de audio de {author}"
author,"busca un libro de audio de {{author}}"
author,"engade á cola un libro de {{author}}"
author,"quero a obra de {{author}}"
author,"transmite {{author}}"
author,"pon algo de {{author}}"
author,"amósame libros de audio de {{author}}"
genre,"reproduce un libro de audio de {{genre}}"
genre,"quero escoitar un libro de {{genre}}"
genre,"búscame un libro de audio de {{genre}}"
genre,"pon algo de {{genre}}"
genre,"transmite un libro de audio de {{genre}}"
genre,"engade á cola un libro de {{genre}}"
genre,"estou de mood para {{genre}}"
genre,"amósame historias de {{genre}}"
narrator,"reproduce algo narrado por {narrator}"
narrator,"quero escoitar a narración de {{narrator}}"
narrator,"busca un libro de audio de {{narrator}}"
narrator,"engade á cola un libro de {{narrator}}"
narrator,"pon un libro de {{narrator}}"
mood,"quero algo relaxante"
mood,"reproduce algo emocionante"
mood,"búscame algo divertido"
mood,"quero algo triste"
mood,"reproduce algo inspirador"
mood,"búscame una aventura"
mood,"quero un misterio"
mood,"reproduce algo romántico"
mood,"búscame algo oscuro"
series,"continúa a serie de {{title}}"
series,"reproduce o seguinte libro de {{title}}"
series,"quero escoitar a serie de {{title}}"
series,"busca a serie de {{title}}"
series,"engade á cola o seguinte libro de {{title}}"
duration,"quero un libro de audio curto"
duration,"reproduce algo rápido"
duration,"busca un libro de audio longo para hoxe"
duration,"preciso un libro de audio para un viaxe longo"
duration,"reproduce un libro de audio de varias horas"
discovery,"recomendame un libro de audio"
discovery,"sugíreme algo para escoitar"
discovery,"busca libros como {{title}}"
discovery,"que debería escoitar agora"
discovery,"recomenda autores como {{author}}"
discovery,"amósame lanzamentos novos"
discovery,"sorprendeme con un libro de audio"
discovery,"que está en tendencia en libros de audio"
format,"reproduce un libro de audio completo"
format,"quero una versión abreviada"
format,"busca un libro de audio dramatizado"
provider,"busca un libro de audio en {{provider}}"
provider,"transmite de {{provider}}"
provider,"amósame que está en {{provider}}"
status,"continúa onde deixei"
status,"retoma o meu libro de audio"
status,"amósame a minha lista de escoita"
status,"que libro de audio estou escoitando"
generic,"reproduce un libro de audio"
generic,"lem para min un libro"
generic,"quero escoitar un libro"
generic,"búscame algo para escoitar"
generic,"reproduce algo"
generic,"quero escoitar una historia"
generic,"engade á cola un libro de audio"
generic,"me aburro, reproduce un libro de audio"
generic,"búscame un libro de audio"
generic,"amósame un libro"
generic,"quero escoitar algo"
generic,"transmite un libro de audio"
