category,template
title,"reproduce {title}"
title,"mira {title}"
title,"quero ver {title}"
title,"pon {title}"
title,"podes reproducir {title}"
title,"busca {title} para min"
title,"transmite {title}"
title,"amósame {title}"
title,"engade á cola {title}"
actor,"reproduce unha película con {actor}"
actor,"reproduce unha película con {actor}"
actor,"quero ver unha película con {actor}"
actor,"busca unha película con {actor}"
actor,"amósame un filme con {actor}"
actor,"gustaríame ver unha película con {actor}"
actor,"pon unha película con {actor}"
actor,"transmite un filme con {actor}"
actor,"mira unha película con {actor}"
actor,"búscame algo con {actor}"
actor,"quero ver {actor} nun filme"
actor,"podes reproducir un filme de {actor}"
actor,"engade á cola unha película con {actor}"
director,"reproduce un filme de {director}"
director,"quero ver un filme de {director}"
director,"amósame un filme de {director}"
director,"busca un filme de {director}"
director,"gustaríame ver algo de {director}"
director,"reproduce o ultimo filme de {director}"
director,"transmite un filme dirixido por {director}"
director,"reproduce un filme dirixido por {director}"
director,"quero ver algo dirixido por {director}"
director,"búscame un filme de {director}"
director,"podes reproducir un filme de {director}"
director,"engade á cola un filme de {director}"
director,"estou de mood para {director}"
director_actor,"reproduce un filme de {{director}} con {actor}"
director_actor,"quero ver una película de {{director}} con {actor}"
director_actor,"búscame un filme de {{director}} con {actor}"
director_actor,"pon un filme de {{director}} con {actor}"
genre,"reproduce una película {{genre}}"
genre,"quero ver {{genre}}"
genre,"búscame algo {{genre}}"
genre,"amósame un filme {{genre}}"
genre,"estou de mood para {{genre}}"
genre,"reproduce un film {{genre}}"
genre,"quero {{genre}} entretemento"
genre,"transmite una película {{genre}}"
genre,"engade á cola un filme {{genre}}"
genre,"pon algo {{genre}}"
year,"reproduce una película de {year}"
year,"quero ver un filme de {{year}}"
year,"búscame una película de {{year}}"
year,"amósame cinema de {{year}}"
year,"quero un clásico de {{year}}"
year,"pon una película de {{year}}"
era,"reproduce una película clásica"
era,"quero ver algo da época dourada"
era,"búscame un filme moderno"
era,"amósame cinema contemporáneo"
era,"quero una película retro"
era,"reproduce un lanzamiento recente"
mood,"búscame algo para ver coa familia"
mood,"quero una película para ver coa amigos"
mood,"reproduce algo divertido"
mood,"preciso algo aterrador"
mood,"quero una película romántica"
mood,"reproduce un filme de acción"
mood,"quero algo que faga pensar"
mood,"búscame una aventura"
mood,"quero algo leve"
mood,"reproduce un filme para relaxarse"
provider,"busca una película en {provider}"
provider,"transmite un filme en {provider}"
provider,"amósame que é novo en {provider}"
provider,"reproduce una película de {provider}"
studio,"busca una película de {studio}"
studio,"quero ver algo de {studio}"
studio,"amósame una producción de {{studio}}"
discovery,"recomendame una película"
discovery,"sugíreme algo para ver"
discovery,"busca películas como {title}"
discovery,"que é parecido a {title}"
discovery,"recomenda películas como {{title}}"
discovery,"amósame lanzamentos novos"
discovery,"que debería ver agora"
discovery,"sorprendeme con una película"
runtime,"reproduce una película curta"
runtime,"quero algo rápido de ver"
runtime,"busca un filme de longa duración"
runtime,"preciso una película larga para hoxe"
generic,"reproduce una película"
generic,"mira un filme"
generic,"quero ver una película"
generic,"búscame algo para ver"
generic,"reproduce una boa película"
generic,"pon una película"
generic,"engade á cola una película"
generic,"me aburro, reproduce una película"
generic,"búscame un filme"
generic,"amósame una película"
generic,"quero ver una película"
generic,"transmite una película"
generic,"que película debería ver"
generic,"reproduce algo bo"
