category,template
artist,"reproduce {artist}"
artist,"reproduce algo de {artist}"
artist,"quero escoitar {artist}"
artist,"podes reproducir {artist}"
artist,"pon algo de {artist}"
artist,"gustaríame escoitar {artist}"
artist,"transmite {artist}"
artist,"reproduce música de {artist}"
artist,"reproduce un tema de {artist}"
artist,"reproduce algo de {artist}"
artist,"teño ganas de escoitar {artist}"
artist,"estou de mood para {artist}"
artist,"búscame algo de {artist}"
artist,"reproduce a música de {artist}"
artist,"quero escoitar {artist}"
artist,"engade {artist} á cola"
artist,"pon {artist}"
artist,"dame algo de {artist}"
artist,"quero descubrir {artist}"
artist,"amósame como soa {artist}"
track,"reproduce {track}"
track,"reproduce a canción {track}"
track,"quero escoitar {track}"
track,"busca {track} para min"
track,"quero escoitar {track}"
track,"podes reproducir {track}"
track,"pon {track}"
track,"reproduce a pista {track}"
track,"transmite {track}"
track,"estou buscando {track}"
track,"búscame {track}"
track_artist,"reproduce {track} de {artist}"
track_artist,"quero escoitar {track} de {artist}"
track_artist,"reproduce {track} de {artist}"
track_artist,"búscame {track} de {artist}"
track_artist,"pon {track} de {artist}"
track_artist,"engade á cola {track} de {artist}"
track_artist,"transmite {track} de {artist}"
track_artist,"reproduce {track} de {artist}"
track_artist,"quero {track} de {artist}"
genre,"reproduce algo de música {genre}"
genre,"quero escoitar algo de {genre}"
genre,"pon algo de {genre}"
genre,"estou de mood para {genre}"
genre,"reproduce unha lista {genre}"
genre,"búscame algo de música {genre}"
genre,"reproduce {genre} para min"
genre,"gustaríame algo de {genre}"
genre,"reproduce {genre}"
genre,"transmite algo de {genre}"
genre,"pon música {genre}"
genre,"teño ganas de {genre} agora"
genre,"dame uns vibes de {genre}"
genre,"amósame algo de {genre}"
genre,"engade á cola algo de {genre}"
album,"reproduce o álbum {album}"
album,"quero escoitar {album}"
album,"pon {album}"
album,"reproduce {album} de {artist}"
album,"transmite o álbum {album}"
album,"engade á cola {album}"
album,"reproduce o álbum completo {album}"
album,"quero escoitar {album}"
album,"búscame {album}"
album,"reproduce {album} de {artist}"
album,"quero escoitar o álbum {album}"
album,"transmite {album}"
featuring,"reproduce {track} con {artist}"
featuring,"transmite {track} con {artist}"
featuring,"reproduceme {track} con {artist}"
featuring,"quero escoitar {track} con {artist}"
featuring,"pon {track} con {artist}"
mood,"reproduce algo relaxante"
mood,"preciso de música chill"
mood,"reproduce algo animado"
mood,"quero música para traballar"
mood,"reproduce algo para estudar"
mood,"preciso música para facer exercise"
mood,"reproduce algo romántico"
mood,"dame música feliz"
mood,"quero música melancólica"
mood,"reproduce algo enerxético"
playlist,"reproduce a minha lista {playlist_name}"
playlist,"engade á cola a miña lista {playlist_name}"
playlist,"quero escoitar a miña lista {playlist_name}"
playlist,"pon a minha lista {playlist_name}"
playlist,"transmite a minha lista {playlist_name}"
discovery,"descubre novo {genre}"
discovery,"busca música nova en {genre}"
discovery,"amósame novas cancións de {artist}"
discovery,"que é novo de {artist}"
discovery,"recomendame música {genre}"
discovery,"dame novas recomendacións de música"
discovery,"reproduce nuevos lanzamentos en {genre}"
generic,"reproduce algo de música"
generic,"reproduce música"
generic,"quero escoitar música"
generic,"búscame algo para escoitar"
generic,"reproduce algo"
generic,"engade á cola algo"
generic,"quero escoitar algo"
generic,"pon algo de música"
generic,"transmite algo de música"
generic,"reproduce o que sexa"
generic,"me aburro, reproduce música"
generic,"reproduce música aleatoria"
