category,template
show,"reproduce o podcast {show}"
show,"quero escoitar {show}"
show,"reproduce un episodio de {show}"
show,"busca o podcast {show}"
show,"pon {show}"
show,"transmite {show}"
show,"quero escoitar {show}"
show,"continúa escoitando {show}"
show,"engade á cola {show}"
show,"amósame {show}"
show,"podes reproducir {show}"
show,"gustaríame escoitar {{show}}"
show,"retoma {show}"
show,"que é novo en {{show}}"
show,"reproduce o último {{show}}"
show,"búscame un episodio de {{show}}"
show,"pon {{show}}"
topic,"reproduce un podcast sobre {topic}"
topic,"búscame un podcast sobre {topic}"
topic,"quero escoitar un podcast sobre {topic}"
topic,"pon un podcast de {topic}"
topic,"gustaríame un podcast sobre {topic}"
topic,"transmite un podcast sobre {topic}"
topic,"busca un podcast sobre {topic}"
topic,"reproduce algo sobre {topic}"
topic,"quero escoitar un podcast sobre {topic}"
topic,"búscame un podcast de {topic}"
topic,"engade á cola un podcast de {{topic}}"
topic,"podes reproducir un podcast de {{topic}}"
topic,"amósame un podcast sobre {{topic}}"
topic,"estou interesado nunha podcast de {{topic}}"
topic,"recomendame un podcast de {{topic}}"
episode,"reproduce o último episodio de {show}"
episode,"busca un novo episodio de {show}"
episode,"pon o novo episodio de {{show}}"
episode,"continúa co seguinte episodio de {{show}}"
episode,"transmite o último {{show}}"
episode,"engade á cola o novo episodio de {{show}}"
episode,"cal é o novo episodio de {{show}}"
episode,"reproduce o episodio máis recente de {{show}}"
series,"quero comezar una nova serie de podcast"
series,"búscame una serie de podcast"
series,"que serie de podcast debería escoitar"
series,"amósame series de podcast sobre {{topic}}"
series,"engade á cola una nova serie"
series,"comeza una serie de podcast conmigo"
discovery,"recomendame un podcast"
discovery,"sugíreme algo para escoitar"
discovery,"busca podcasts sobre {{topic}}"
discovery,"que está en tendencia en podcasts"
discovery,"amósame podcasts novos"
discovery,"busca xoias escondidas en podcasts"
discovery,"que podcast debería probar"
discovery,"sorprendeme con un podcast"
discovery,"busca programas como {{show}}"
discovery,"que é parecido a {{show}}"
length,"quero un episodio de podcast curto"
length,"búscame un podcast longo"
length,"preciso escoitar algo rápido"
length,"reproduce algo que poida escoitar mentres viaxa"
frequency,"búscame un podcast semanal"
frequency,"quero un podcast diario"
frequency,"pon algo que se actualice regularmente"
genre,"reproduce un podcast de {{genre}}"
genre,"quero escoitar un programa de {{genre}}"
genre,"búscame contido de {{genre}}"
genre,"pon algo de {{genre}}"
genre,"transmite un podcast de {{genre}}"
genre,"engade á cola un programa de {{genre}}"
genre,"estou de mood para podcasts de {{genre}}"
mood,"quero algo educativo"
mood,"reproduce algo divertido"
mood,"preciso algo relaxante"
mood,"búscame algo inspirador"
mood,"quero crimen verdadeiro"
mood,"reproduce algo reflexivo"
mood,"búscame contido entretemento"
host,"busca podcasts de {host}"
host,"quero escoitar {{host}}"
host,"pon un programa de {{host}}"
host,"reproduce algo presentado por {{host}}"
host,"transmite o podcast de {{host}}"
provider,"busca un podcast en {provider}"
provider,"transmite de {{provider}}"
provider,"amósame que está en {{provider}}"
provider,"reproduce algo de {{provider}}"
generic,"reproduce un podcast"
generic,"reproduce algúns podcasts"
generic,"quero escoitar un podcast"
generic,"búscame algo para escoitar"
generic,"reproduce algo"
generic,"engade á cola algo"
generic,"quero escoitar algo"
generic,"pon un podcast"
generic,"transmite un podcast"
generic,"reproduce o que sexa"
generic,"me aburro, reproduce un podcast"
generic,"reproduce podcasts aleatorios"
generic,"que podcast debería escoitar"
