category,template
show,"reproduce {show}"
show,"pon {show}"
show,"quero ver {show}"
show,"busca {show} para min"
show,"reproduce un episodio de {show}"
show,"transmite {show}"
show,"quero ver un episodio de {show}"
show,"reproduce a primeira temporada de {show}"
show,"continúa vendo {show}"
show,"podes reproducir {show}"
show,"amósame {show}"
show,"gustaríame ver {show}"
show,"mira {show}"
show,"quero ver {show}"
show,"reproduce o seguinte episodio de {show}"
show,"engade á cola {show}"
show,"pon {show}"
show,"retoma {show}"
show,"que é novo en {show}"
episode,"reproduce o seguinte episodio de {show}"
episode,"continúa {{show}} onde deixei"
episode,"reproduce un novo episodio de {show}"
episode,"pon un episodio de {{show}}"
episode,"busca o último episodio de {{show}}"
episode,"engade á cola o seguinte {{show}}"
episode,"quero ver o seguinte {{show}}"
episode,"transmite novo {{show}}"
episode,"reproduce o episodio máis recente de {{show}}"
episode,"cal é o novo episodio de {{show}}"
season,"reproduce a temporada {season} de {show}"
season,"quero ver a temporada {{season}} de {show}"
season,"transmite a temporada {{season}} de {show}"
season,"comeza desde a temporada {{season}} de {show}"
season,"pon a temporada {{season}} de {show}"
season,"amósame a temporada {{season}} de {show}"
season,"busca a temporada {{season}} de {show}"
genre,"reproduce un programa {{genre}}"
genre,"quero ver una serie {{genre}}"
genre,"búscame un programa {{genre}}"
genre,"pon algo {{genre}}"
genre,"amósame un programa {{genre}}"
genre,"estou de mood para {{genre}}"
genre,"transmite una serie {{genre}}"
genre,"engade á cola un programa {{genre}}"
provider,"busca un programa en {provider}"
provider,"transmite una serie en {provider}"
provider,"amósame que está en {provider}"
provider,"reproduce algo de {provider}"
provider,"busca programas dispoñibles en {provider}"
network,"amósame programas de {{network}}"
network,"quero ver algo de {{network}}"
network,"búscame una producción de {{network}}"
network,"reproduce una serie de {{network}}"
era,"reproduce un programa clásico de TV"
era,"quero ver algo recente"
era,"búscame una serie nova"
era,"amósame un programa retro"
era,"quero algo dos anos 90"
era,"reproduce un lanzamento novo"
era,"búscame una serie en directo"
status,"continúa coa minha lista de ver"
status,"retoma onde parasei"
status,"amósame que estou vendo"
status,"que serie estou seguindo"
status,"busca lanzamentos novos"
status,"amósame episodios próximos"
discovery,"recomendame un programa de TV"
discovery,"sugíreme algo para ver"
discovery,"busca programas como {show}"
discovery,"que é parecido a {{show}}"
discovery,"recomenda series como {show}"
discovery,"amósame programas en tendencia"
discovery,"que debería ver agora"
discovery,"sorprendeme con una serie"
discovery,"que é popular agora"
discovery,"busca xoias escondidas na TV"
length,"quero algo curto para ver"
length,"reproduce un programa rápido"
length,"busca una serie larga para ver"
length,"preciso una miniserie"
length,"amósame programas de una temporada"
generic,"reproduce un programa de TV"
generic,"mira una serie"
generic,"quero ver un programa"
generic,"búscame algo para ver"
generic,"pon algo"
generic,"engade á cola un programa"
generic,"me aburro, reproduce un programa de TV"
generic,"búscame una serie"
generic,"amósame un programa"
generic,"quero ver que está en cartel"
generic,"transmite algo"
generic,"que debería ver"
generic,"reproduce algo bo"
generic,"quero ver algo para maratón"
