category,template
title,"riproduci {title}"
title,"leggimi {title}"
title,"voglio ascoltare {title}"
title,"riproduci l'audiolibro {title}"
title,"trova l'audiolibro {title}"
title,"voglio sentire {title}"
title,"metti in coda {title}"
title,"metti su {title}"
title,"trasmetti {title}"
title,"mi piacerebbe ascoltare {{title}}"
title_author,"riproduci {title} di {author}"
title_author,"leggimi {{title}}"
title_author,"voglio ascoltare {{title}} di {author}"
title_author,"trovami {{title}} di {{author}}"
title_author,"metti su {{title}} di {{author}}"
title_author,"trasmetti {{title}} da {{author}}"
author,"trovami un audiolibro di {author}"
author,"riproduci un libro di {author}"
author,"mi piacerebbe ascoltare {author}"
author,"leggimi qualcosa di {author}"
author,"riproduci un audiolibro di {author}"
author,"trova un audiolibro di {{author}}"
author,"metti in coda un audiolibro di {{author}}"
author,"voglio il lavoro di {{author}}"
author,"trasmetti {{author}}"
author,"metti su qualcosa di {{author}}"
author,"mostrami audiolibri di {{author}}"
genre,"riproduci un audiolibro {{genre}}"
genre,"voglio ascoltare un libro {{genre}}"
genre,"trovami un audiolibro {{genre}}"
genre,"metti su qualcosa {{genre}}"
genre,"trasmetti un audiolibro {{genre}}"
genre,"metti in coda un libro {{genre}}"
genre,"sono in vena di {{genre}}"
genre,"mostrami storie {{genre}}"
narrator,"riproduci qualcosa narrato da {narrator}"
narrator,"voglio ascoltare la narrazione di {{narrator}}"
narrator,"trova un audiolibro di {{narrator}}"
narrator,"metti in coda un audiolibro di {{narrator}}"
narrator,"metti su un libro di {{narrator}}"
mood,"voglio qualcosa di rilassante"
mood,"riproduci qualcosa di emozionante"
mood,"trovami qualcosa di divertente"
mood,"voglio qualcosa di triste"
mood,"riproduci qualcosa di ispirante"
mood,"trovami un'avventura"
mood,"voglio un mistero"
mood,"riproduci qualcosa di romantico"
mood,"trovami qualcosa di oscuro"
series,"continua la serie {{title}}"
series,"riproduci il prossimo libro in {{title}}"
series,"voglio ascoltare la serie {{title}}"
series,"trova la serie {{title}}"
series,"metti in coda il prossimo libro in {{title}}"
duration,"voglio un audiolibro breve"
duration,"riproduci qualcosa di veloce"
duration,"trovami un audiolibro lungo per stasera"
duration,"mi serve un audiolibro per un viaggio su strada"
duration,"riproduci un audiolibro di più ore"
discovery,"consigliami un audiolibro"
discovery,"suggerisci qualcosa da ascoltare"
discovery,"trova libri come {{title}}"
discovery,"cosa dovrei ascoltare dopo"
discovery,"consigliami autori come {{author}}"
discovery,"mostrami le nuove uscite"
discovery,"sorprendimi con un audiolibro"
discovery,"cosa è di tendenza negli audiolibri"
format,"riproduci un audiolibro integrale"
format,"voglio una versione ridotta"
format,"trova un audiolibro dramatizzato"
provider,"trova un audiolibro su {{provider}}"
provider,"trasmetti da {{provider}}"
provider,"mostrami cosa c'è su {{provider}}"
status,"continua da dove ho smesso"
status,"riprendi il mio audiolibro"
status,"mostrami la mia lista di ascolto"
status,"cosa sto ascoltando adesso"
generic,"riproduci un audiolibro"
generic,"leggimi un libro"
generic,"voglio ascoltare un libro"
generic,"trovami qualcosa da ascoltare"
generic,"riproduci qualcosa"
generic,"voglio sentire una storia"
generic,"metti in coda un audiolibro"
generic,"mi annoio, riproduci un audiolibro"
generic,"trovami un audiolibro"
generic,"mostrami un libro"
generic,"voglio ascoltare qualcosa"
generic,"trasmetti un audiolibro"
