category,template
title,"riproduci {title}"
title,"guarda {title}"
title,"voglio guardare {title}"
title,"metti su {title}"
title,"puoi riprodurre {title}"
title,"trova {title} per me"
title,"trasmetti {title}"
title,"mostrami {title}"
title,"metti in coda {title}"
actor,"riproduci un film con {actor}"
actor,"riproduci un film con {actor}"
actor,"voglio guardare un film con {actor}"
actor,"trova un film con {actor}"
actor,"mostrami un film con {actor}"
actor,"mi piacerebbe guardare un film con {actor}"
actor,"metti su un film con {actor}"
actor,"trasmetti un film con {actor}"
actor,"guarda un film con {actor}"
actor,"trovami qualcosa con {actor}"
actor,"voglio vedere {actor} in un film"
actor,"puoi riprodurre un film di {actor}"
actor,"metti in coda un film con {actor}"
director,"riproduci un film di {director}"
director,"voglio guardare un film di {director}"
director,"mostrami un film di {director}"
director,"trova un film di {director}"
director,"mi piacerebbe guardare qualcosa di {director}"
director,"riproduci l'ultimo film di {director}"
director,"trasmetti un film diretto da {director}"
director,"riproduci un film diretto da {director}"
director,"voglio guardare qualcosa di {director}"
director,"trovami un film di {director}"
director,"puoi riprodurre un film di {director}"
director,"metti in coda un film di {director}"
director,"sono in vena di {director}"
director_actor,"riproduci un film di {{director}} con {actor}"
director_actor,"voglio guardare un film di {{director}} con {actor}"
director_actor,"trovami un film di {{director}} con {actor}"
director_actor,"metti su un film di {{director}} con {actor}"
genre,"riproduci un film {{genre}}"
genre,"voglio guardare {{genre}}"
genre,"trovami qualcosa {{genre}}"
genre,"mostrami un film {{genre}}"
genre,"sono in vena di {{genre}}"
genre,"riproduci un film {{genre}}"
genre,"voglio intrattenimento {{genre}}"
genre,"trasmetti un film {{genre}}"
genre,"metti in coda un film {{genre}}"
genre,"metti su qualcosa {{genre}}"
year,"riproduci un film degli anni {year}"
year,"voglio guardare un film di {{year}}"
year,"trovami un film di {{year}}"
year,"mostrami il cinema di {{year}}"
year,"voglio un classico {{year}}"
year,"metti su un film di {{year}}"
era,"riproduci un film classico"
era,"voglio guardare qualcosa dall'era d'oro"
era,"trovami un film moderno"
era,"mostrami il cinema contemporaneo"
era,"voglio un film retrò"
era,"riproduci una release recente"
mood,"trovami qualcosa che posso guardare con la famiglia"
mood,"voglio un film per guardare con gli amici"
mood,"riproduci qualcosa di divertente"
mood,"mi serve qualcosa di pauroso"
mood,"voglio un film romantico"
mood,"riproduci un film d'azione"
mood,"voglio qualcosa di stimolante"
mood,"trovami un'avventura"
mood,"voglio qualcosa di leggero"
mood,"riproduci un film per rilassarmi"
provider,"trova un film su {provider}"
provider,"trasmetti un film su {provider}"
provider,"mostrami le novità su {provider}"
provider,"riproduci un film da {provider}"
studio,"trova un film di {studio}"
studio,"voglio guardare qualcosa di {studio}"
studio,"mostrami una produzione {{studio}}"
discovery,"consigliami un film"
discovery,"suggerisci qualcosa da guardare"
discovery,"trova film come {title}"
discovery,"che cosa è simile a {title}"
discovery,"consigliami film come {{title}}"
discovery,"mostrami le nuove uscite"
discovery,"che cosa dovrei guardare dopo"
discovery,"sorprendimi con un film"
runtime,"riproduci un film breve"
runtime,"voglio qualcosa di veloce da guardare"
runtime,"trovami un film di lungometraggio"
runtime,"mi serve un film lungo per stasera"
generic,"riproduci un film"
generic,"guarda un film"
generic,"voglio guardare un film"
generic,"trovami qualcosa da guardare"
generic,"riproduci un buon film"
generic,"metti su un film"
generic,"metti in coda un film"
generic,"mi annoio, riproduci un film"
generic,"trovami un film"
generic,"mostrami un film"
generic,"voglio vedere un film"
generic,"trasmetti un film"
generic,"che film dovrei guardare"
generic,"riproduci qualcosa di buono"
