category,template
artist,"riproduci {artist}"
artist,"riproduci un po' di {artist}"
artist,"voglio ascoltare {artist}"
artist,"puoi riprodurre {artist}"
artist,"metti su un po' di {artist}"
artist,"mi piacerebbe sentire {artist}"
artist,"trasmetti {artist}"
artist,"riproduci musica di {artist}"
artist,"riproduci una canzone di {artist}"
artist,"riproduci qualcosa di {artist}"
artist,"mi piace ascoltare {artist}"
artist,"sono in vena di {artist}"
artist,"trovami un po' di {artist}"
artist,"riproduci la musica di {artist}"
artist,"voglio sentire {artist}"
artist,"metti in coda {artist}"
artist,"metti {artist}"
artist,"dammi un po' di {artist}"
artist,"voglio scoprire {artist}"
artist,"mostrami come suona {artist}"
track,"riproduci {track}"
track,"riproduci la canzone {track}"
track,"voglio sentire {track}"
track,"trova {track} per me"
track,"voglio ascoltare {track}"
track,"puoi riprodurre {track}"
track,"metti su {track}"
track,"metti in coda {track}"
track,"riproduci il brano {track}"
track,"trasmetti {track}"
track,"sto cercando {track}"
track,"trovami {track}"
track_artist,"riproduci {track} di {artist}"
track_artist,"voglio ascoltare {track} di {artist}"
track_artist,"riproduci {track} da {artist}"
track_artist,"trovami {track} di {artist}"
track_artist,"metti su {track} di {artist}"
track_artist,"metti in coda {track} di {artist}"
track_artist,"trasmetti {track} di {artist}"
track_artist,"riproduci {track} da {artist}"
track_artist,"voglio {track} di {artist}"
genre,"riproduci un po' di musica {genre}"
genre,"voglio ascoltare un po' di {genre}"
genre,"metti su un po' di {genre}"
genre,"sono in vena di {genre}"
genre,"riproduci una playlist {genre}"
genre,"trovami un po' di musica {genre}"
genre,"riproduci {genre} per me"
genre,"mi piacerebbe un po' di {genre}"
genre,"riproduci {genre}"
genre,"trasmetti un po' di {genre}"
genre,"metti su musica {genre}"
genre,"mi piace {genre} adesso"
genre,"dammi delle vibes {genre}"
genre,"mostrami un po' di {genre}"
genre,"metti in coda un po' di {genre}"
album,"riproduci l'album {album}"
album,"voglio sentire {album}"
album,"metti su {album}"
album,"riproduci {album} di {artist}"
album,"trasmetti l'album {album}"
album,"metti in coda {album}"
album,"riproduci l'intero album {album}"
album,"voglio ascoltare {album}"
album,"trovami {album}"
album,"riproduci {album} da {artist}"
album,"voglio sentire l'album {album}"
album,"trasmetti {album}"
featuring,"riproduci {track} featuring {artist}"
featuring,"trasmetti {track} featuring {artist}"
featuring,"riproducimi {track} featuring {artist}"
featuring,"voglio sentire {track} featuring {artist}"
featuring,"metti su {track} featuring {artist}"
mood,"riproduci qualcosa di rilassante"
mood,"mi serve della musica chillout"
mood,"riproduci qualcosa di energico"
mood,"voglio musica per lavorare"
mood,"riproduci qualcosa per studiare"
mood,"mi serve musica per l'allenamento"
mood,"riproduci qualcosa di romantico"
mood,"dammi musica allegra"
mood,"voglio musica malinconica"
mood,"riproduci qualcosa di energetico"
playlist,"riproduci la mia playlist {playlist_name}"
playlist,"metti in coda la mia {playlist_name}"
playlist,"voglio sentire la mia {playlist_name}"
playlist,"metti su la mia playlist {playlist_name}"
playlist,"trasmetti la mia {playlist_name}"
discovery,"scopri nuovi {genre}"
discovery,"trova nuova musica in {genre}"
discovery,"mostrami nuove canzoni di {artist}"
discovery,"che cosa c'è di nuovo da {artist}"
discovery,"consigliami un po' di musica {genre}"
discovery,"dammi nuovi consigli musicali"
discovery,"riproduci nuove uscite in {genre}"
generic,"riproduci un po' di musica"
generic,"riproduci musica"
generic,"voglio ascoltare la musica"
generic,"trovami qualcosa da ascoltare"
generic,"riproduci qualcosa"
generic,"metti in coda qualcosa"
generic,"voglio sentire qualcosa"
generic,"metti su un po' di musica"
generic,"trasmetti un po' di musica"
generic,"riproduci qualsiasi cosa"
generic,"mi annoio, riproduci musica"
generic,"riproduci musica casuale"
