category,template
show,"riproduci {show}"
show,"metti su {show}"
show,"voglio guardare {show}"
show,"trova {show} per me"
show,"riproduci un episodio di {show}"
show,"trasmetti {show}"
show,"voglio guardare un episodio di {show}"
show,"riproduci la stagione 1 di {show}"
show,"continua a guardare {show}"
show,"puoi riprodurre {show}"
show,"mostrami {show}"
show,"mi piacerebbe guardare {show}"
show,"guarda {show}"
show,"voglio vedere {show}"
show,"riproduci il prossimo episodio di {show}"
show,"metti in coda {show}"
show,"metti {show}"
show,"riprendi {show}"
show,"cosa c'è di nuovo in {show}"
episode,"riproduci il prossimo episodio di {show}"
episode,"continua {{show}} da dove l'ho lasciato"
episode,"riproduci un nuovo episodio di {show}"
episode,"metti su un episodio {{show}}"
episode,"trova l'ultimo episodio {{show}}"
episode,"metti in coda il prossimo {{show}}"
episode,"voglio guardare il prossimo {{show}}"
episode,"trasmetti nuovo {{show}}"
episode,"riproduci l'episodio più recente {{show}}"
episode,"qual è il più nuovo episodio {{show}}"
season,"riproduci la stagione {season} di {show}"
season,"voglio guardare la stagione {{season}} di {show}"
season,"trasmetti la stagione {{season}} di {show}"
season,"inizia dalla stagione {{season}} di {show}"
season,"metti su la stagione {{season}} di {show}"
season,"mostrami la stagione {{season}} di {show}"
season,"trova la stagione {{season}} di {show}"
genre,"riproduci una serie {genre}"
genre,"voglio guardare una serie {{genre}}"
genre,"trovami una serie {{genre}}"
genre,"metti su qualcosa {{genre}}"
genre,"mostrami una serie {{genre}}"
genre,"sono in vena di {{genre}}"
genre,"trasmetti una serie {{genre}}"
genre,"metti in coda una serie {{genre}}"
provider,"trova una serie su {provider}"
provider,"trasmetti una serie su {provider}"
provider,"mostrami cosa c'è su {provider}"
provider,"riproduci qualcosa da {provider}"
provider,"trova serie disponibili su {provider}"
network,"mostrami serie {{network}}"
network,"voglio guardare qualcosa di {{network}}"
network,"trovami una produzione {{network}}"
network,"riproduci una serie {{network}}"
era,"riproduci una serie classica"
era,"voglio guardare qualcosa di recente"
era,"trovami una nuova serie"
era,"mostrami una serie retrò"
era,"voglio qualcosa degli anni '90"
era,"riproduci una nuova uscita"
era,"trovami una serie in corso"
status,"continua la mia watchlist"
status,"riprendi da dove ho smesso"
status,"mostrami cosa sto guardando"
status,"quale serie sto seguendo"
status,"trova nuove uscite"
status,"mostrami i prossimi episodi"
discovery,"consigliami una serie"
discovery,"suggerisci qualcosa da guardare"
discovery,"trova serie come {show}"
discovery,"che cosa è simile a {{show}}"
discovery,"consigliami serie come {show}"
discovery,"mostrami le serie di tendenza"
discovery,"cosa dovrei guardare dopo"
discovery,"sorprendimi con una serie"
discovery,"cosa c'è di popolare adesso"
discovery,"trova i gioielli nascosti della TV"
length,"voglio qualcosa di breve da guardare"
length,"riproduci una serie veloce"
length,"trova una lunga serie per una maratona"
length,"mi serve una miniserie"
length,"mostrami serie di una sola stagione"
generic,"riproduci una serie"
generic,"guarda una serie"
generic,"voglio guardare una serie"
generic,"trovami qualcosa da guardare"
generic,"metti su qualcosa"
generic,"metti in coda una serie"
generic,"mi annoio, riproduci una serie"
generic,"trovami una serie"
generic,"mostrami una serie"
generic,"voglio vedere cosa c'è"
generic,"trasmetti qualcosa"
generic,"cosa dovrei guardare"
generic,"riproduci qualcosa di buono"
generic,"voglio guardare una maratona"
