category,template
title,"speel {title}"
title,"kijk {title}"
title,"ik wil {title} kijken"
title,"zet {title} op"
title,"speel een aflevering van {title}"
title,"stream {title}"
title,"zoek {title} voor me"
title,"ik wil graag {{title}} kijken"
title,"speel de anime {{title}}"
title,"laat me {{title}} zien"
title,"zet {{title}} in de wachtrij"
title,"hervat {{title}}"
title,"ga door met {{title}}"
season,"speel seizoen 1 van {title}"
season,"ik wil seizoen {{season}} van {title} kijken"
season,"stream seizoen {{season}} van {{title}}"
season,"zet seizoen {{season}} op"
season,"zoek seizoen {{season}}"
episode,"speel de volgende aflevering van {title}"
episode,"ga door met {{title}} waar ik gestopt ben"
episode,"zet een nieuwe {{title}} aflevering op"
episode,"zoek de nieuwste {{title}} aflevering"
episode,"zet de volgende {{title}} in de wachtrij"
episode,"wat is de nieuwste {{title}} aflevering"
genre,"speel {{genre}} anime"
genre,"ik wil {{genre}} kijken"
genre,"zoek me {{genre}} anime"
genre,"zet wat {{genre}} op"
genre,"ik ben in de stemming voor {{genre}}"
genre,"stream {{genre}} anime"
genre,"zet {{genre}} series in de wachtrij"
genre,"laat me {{genre}} series zien"
genre,"zoek {{genre}} content"
mood,"ik wil iets actionrijk"
mood,"speel iets grappigs"
mood,"zoek me iets romantisch"
mood,"ik wil iets duisters"
mood,"speel iets hartsverwarmend"
mood,"zoek me iets diepzinnigs"
mood,"ik wil een episch avontuur"
mood,"speel iets liefs"
mood,"zoek me iets mysterieus"
mood,"ik wil iets emotioneel"
era,"speel een klassieke anime"
era,"ik wil iets recents"
era,"zoek me een nieuwe anime"
era,"laat me recente releases zien"
era,"ik wil iets uit de jaren 2000"
era,"speel een retro anime"
era,"zoek een verborgen parel anime"
studio,"zoek anime van {{studio}}"
studio,"ik wil {{studio}} producties"
studio,"laat me {{studio}} anime zien"
studio,"speel iets van {{studio}}"
type,"ik wil een tv-serie"
type,"zoek een film"
type,"ik wil een korte serie"
type,"speel een OVA"
type,"zoek een one-shot"
status,"ga door met mijn watchlist"
status,"hervat waar ik gestopt ben"
status,"laat me zien wat ik aan het kijken ben"
status,"welke anime volg ik"
status,"zoek nieuwe releases"
status,"laat me lopende series zien"
status,"zoek afgeronde series"
discovery,"beveel een anime aan"
discovery,"stel iets voor om te kijken"
discovery,"zoek anime zoals {{title}}"
discovery,"wat is vergelijkbaar met {{title}}"
discovery,"beveel series aan zoals {{title}}"
discovery,"laat me trending anime zien"
discovery,"wat moet ik volgende kijken"
discovery,"verrас me met een anime"
discovery,"wat is populair nu"
discovery,"zoek verborgen parels"
provider,"zoek anime op {{provider}}"
provider,"stream van {{provider}}"
provider,"laat me zien wat er op {{provider}} is"
provider,"speel iets van {{provider}}"
rating,"laat me topgewaardeerde anime zien"
rating,"ik wil een kritisch gewaardeerde serie"
rating,"zoek hoog gewaardeerde anime"
rating,"speel een highly beoordeelde show"
length,"ik wil een korte anime"
length,"zoek een lange serie"
length,"ik heb een snelle kijkmoment nodig"
length,"zoek een 13-aflevering serie"
length,"speel iets met veel seizoenen"
generic,"speel anime"
generic,"ik wil wat anime kijken"
generic,"zoek me een goede anime"
generic,"ik wil anime kijken"
generic,"zet wat anime op"
generic,"stream anime"
generic,"laat me anime zien"
generic,"zet een anime in de wachtrij"
generic,"welke anime moet ik kijken"
generic,"speel iets"
generic,"ik verveel me, speel anime"
