category,template
title,"speel {title}"
title,"lees me voor {title}"
title,"ik wil naar {title} luisteren"
title,"speel het audioboek {title}"
title,"zoek het audioboek {title}"
title,"ik wil {title} horen"
title,"zet {title} in de wachtrij"
title,"zet {title} op"
title,"stream {title}"
title,"ik wil graag {{title}} luisteren"
title_author,"speel {title} van {author}"
title_author,"lees {{title}} voor me"
title_author,"ik wil naar {{title}} van {author} luisteren"
title_author,"zoek me {{title}} van {{author}}"
title_author,"zet {{title}} van {{author}} op"
title_author,"stream {{title}} van {{author}}"
author,"zoek me een audioboek van {author}"
author,"speel een boek van {author}"
author,"ik wil graag {{author}} luisteren"
author,"lees me iets van {author}"
author,"speel een audioboek van {author}"
author,"zoek een audioboek van {{author}}"
author,"zet een {{author}} audioboek in de wachtrij"
author,"ik wil {{author}}'s werk"
author,"stream {{author}}"
author,"zet iets van {{author}} op"
author,"laat me {{author}} audioboeken zien"
genre,"speel een {{genre}} audioboek"
genre,"ik wil naar een {{genre}} boek luisteren"
genre,"zoek me een {{genre}} audioboek"
genre,"zet iets {{genre}} op"
genre,"stream een {{genre}} audioboek"
genre,"zet een {{genre}} boek in de wachtrij"
genre,"ik ben in de stemming voor {{genre}}"
genre,"laat me {{genre}} verhalen zien"
narrator,"speel iets ingesproken door {narrator}"
narrator,"ik wil naar {{narrator}}'s inspreken luisteren"
narrator,"zoek een audioboek van {{narrator}}"
narrator,"zet een {{narrator}} audioboek in de wachtrij"
narrator,"zet een {{narrator}} boek op"
mood,"ik wil iets ontspannends"
mood,"speel iets spannends"
mood,"zoek me iets grappigs"
mood,"ik wil iets treurigs"
mood,"speel iets inspirerends"
mood,"zoek me een avontuur"
mood,"ik wil een mysterie"
mood,"speel iets romantisch"
mood,"zoek me iets duisters"
series,"ga door met de {{title}} serie"
series,"speel het volgende boek in {{title}}"
series,"ik wil naar de {{title}} serie luisteren"
series,"zoek de {{title}} serie"
series,"zet het volgende boek in {{title}} in de wachtrij"
duration,"ik wil een korte audioboek"
duration,"speel iets snels"
duration,"zoek een lang audioboek voor vanavond"
duration,"ik heb een audioboek voor een roadtrip nodig"
duration,"speel een audioboek van meerdere uren"
discovery,"beveel een audioboek aan"
discovery,"stel iets voor om naar te luisteren"
discovery,"zoek boeken zoals {{title}}"
discovery,"wat moet ik volgende luisteren"
discovery,"beveel auteurs aan zoals {{author}}"
discovery,"laat me nieuwe releases zien"
discovery,"verrас me met een audioboek"
discovery,"wat is trending in audioboeken"
format,"speel een onverkorte audioboek"
format,"ik wil een verkorte versie"
format,"zoek een gedromatiseerde audioboek"
provider,"zoek een audioboek op {{provider}}"
provider,"stream van {{provider}}"
provider,"laat me zien wat er op {{provider}} is"
status,"ga door waar ik gestopt ben"
status,"hervat mijn audioboek"
status,"laat me mijn luisterlijst zien"
status,"wat luister ik momenteel naar"
generic,"speel een audioboek"
generic,"lees me een boek voor"
generic,"ik wil naar een boek luisteren"
generic,"zoek me iets om naar te luisteren"
generic,"speel iets"
generic,"ik wil een verhaal horen"
generic,"zet een audioboek in de wachtrij"
generic,"ik verveel me, speel een audioboek"
generic,"zoek me een audioboek"
generic,"laat me een boek zien"
generic,"ik wil iets luisteren"
generic,"stream een audioboek"
