category,template
title,"speel {title}"
title,"ik wil {title} spelen"
title,"start {title}"
title,"start {title}"
title,"open {title}"
title,"ik wil graag {title} spelen"
title,"zoek {title}"
title,"laad {title}"
title,"boot {title} op"
title,"kun je {{title}} afspelen"
title,"zet {{title}} in de wachtrij"
title,"zet {{title}} op"
title,"run {{title}}"
genre,"speel een {{genre}} spel"
genre,"ik wil {{genre}} spelen"
genre,"zoek me een {{genre}} spel"
genre,"zet een {{genre}} spel op"
genre,"ik ben in de stemming voor {{genre}}"
genre,"stream een {{genre}} spel"
genre,"zet een {{genre}} spel in de wachtrij"
genre,"laat me {{genre}} spellen zien"
genre,"ik wil iets {{genre}}"
platform,"zoek een {{platform}} spel"
platform,"ik wil op {{platform}} spelen"
platform,"laat me {{platform}} spellen zien"
platform,"welke {{platform}} spellen moet ik spelen"
platform,"zet een {{platform}} spel in de wachtrij"
platform,"speel iets op {{platform}}"
mood,"ik wil iets ontspannends"
mood,"speel iets uitdagends"
mood,"zoek me iets leuks"
mood,"ik wil iets competitief"
mood,"speel iets coöperatief"
mood,"zoek me iets strategisch"
mood,"ik wil een avontuur"
mood,"speel iets spookachtig"
mood,"zoek me iets grappigs"
mood,"ik wil iets verhaaldreven"
mode,"speel single player"
mode,"ik wil multiplayer"
mode,"zoek een coöperatief spel"
mode,"speel iets competitief"
mode,"ik wil online gamen"
mode,"zoek lokale multiplayer"
difficulty,"ik wil iets makkelijks"
difficulty,"speel iets moeilijks"
difficulty,"zoek een uitdagend spel"
difficulty,"ik wil een casual spel"
difficulty,"speel iets voor hardcore spelers"
length,"ik wil een snel spel"
length,"zoek een lang spel om in te verdiepen"
length,"ik heb een korte sessie nodig"
length,"speel iets voor een paar uur"
duration,"ik heb 30 minuten"
duration,"ik heb een uur"
duration,"ik heb de hele avond"
duration,"zoek een spel dat ik in één zitting kan spelen"
exploration,"zoek indie spellen"
exploration,"laat me verborgen parels zien"
exploration,"beveel een spel aan"
exploration,"welk spel moet ik spelen"
exploration,"verrас me met een spel"
exploration,"stel iets nieuws voor"
exploration,"wat is trending in gamen"
exploration,"zoek spellen zoals {{title}}"
rating,"laat me topgewaardeerde spellen zien"
rating,"ik wil een kritisch gewaardeerd spel"
rating,"zoek hoog gewaardeerde spellen"
rating,"speel een spel met geweldige reviews"
franchise,"zoek {{title}} spellen"
franchise,"speel iets uit de {{title}} serie"
franchise,"welk {{title}} spel moet ik spelen"
franchise,"zet {{title}} in de wachtrij"
retro,"speel een klassiek spel"
retro,"ik wil een retro spel"
retro,"zoek een oud spel"
retro,"laat me spellen uit {{year}} zien"
retro,"ik wil een arcade spel"
recent,"speel een nieuwe release"
recent,"zoek een recent spel"
recent,"wat is nieuw in gamen"
recent,"laat me spellen uit {{year}} zien"
recent,"zet de nieuwste release in de wachtrij"
provider,"zoek een spel op {{provider}}"
provider,"stream van {{provider}}"
provider,"laat me {{provider}} spellen zien"
provider,"speel iets van {{provider}}"
generic,"speel een spel"
generic,"ik wil een videospel spelen"
generic,"start een spel"
generic,"ik verveel me, speel een spel"
generic,"zoek me een spel"
generic,"laat me een spel zien"
generic,"welk spel moet ik spelen"
generic,"verrас me met een spel"
generic,"speel iets goeds"
generic,"zet een spel in de wachtrij"
