category,template
title,"speel {title}"
title,"kijk {title}"
title,"ik wil {title} kijken"
title,"zet {title} op"
title,"kun je {title} afspelen"
title,"zoek {title} voor me"
title,"stream {title}"
title,"laat me {title} zien"
title,"zet {title} in de wachtrij"
actor,"speel een film met {actor}"
actor,"speel een film met {actor}"
actor,"ik wil een film met {actor} kijken"
actor,"zoek een film met {actor}"
actor,"laat me een film met {actor} zien"
actor,"ik wil graag een film met {actor} kijken"
actor,"zet een film met {actor} op"
actor,"stream een film met {actor}"
actor,"kijk een film met {actor}"
actor,"zoek me iets met {actor}"
actor,"ik wil {actor} in een film zien"
actor,"kun je een film van {actor} afspelen"
actor,"zet een film met {actor} in de wachtrij"
director,"speel een film van {director}"
director,"ik wil een film van {director} kijken"
director,"laat me een film van {director} zien"
director,"zoek een film van {director}"
director,"ik wil graag iets van {director} kijken"
director,"speel de nieuwste film van {director}"
director,"stream een film van {director}"
director,"speel een film van {director}"
director,"ik wil iets van {director} kijken"
director,"zoek me een film van {director}"
director,"kun je een film van {director} afspelen"
director,"zet een film van {director} in de wachtrij"
director,"ik heb zin in {director}"
director_actor,"speel een film van {{director}} met {actor}"
director_actor,"ik wil een {{director}} film met {actor} kijken"
director_actor,"zoek me een {{director}} film met {actor}"
director_actor,"zet een {{director}} film met {actor} op"
genre,"speel een {{genre}} film"
genre,"ik wil {{genre}} kijken"
genre,"zoek me iets {{genre}}"
genre,"laat me een {{genre}} film zien"
genre,"ik ben in de stemming voor {{genre}}"
genre,"speel een {{genre}} film"
genre,"ik wil {{genre}} entertainment"
genre,"stream een {{genre}} film"
genre,"zet een {{genre}} film in de wachtrij"
genre,"zet iets {{genre}} op"
year,"speel een film uit het {year}"
year,"ik wil een {{year}} film kijken"
year,"zoek me een film uit {{year}}"
year,"laat me {{year}} cinema zien"
year,"ik wil een {{year}} klassieker"
year,"zet een {{year}} film op"
era,"speel een klassieke film"
era,"ik wil iets uit het gouden tijdperk kijken"
era,"zoek me een moderne film"
era,"laat me hedendaagse cinema zien"
era,"ik wil een retro film"
era,"speel een recent uitgebrachte film"
mood,"zoek me iets om met familie te kijken"
mood,"ik wil een film om met vrienden te kijken"
mood,"speel iets grappigs"
mood,"ik heb iets spannends nodig"
mood,"ik wil een romantische film"
mood,"speel een actiefilm"
mood,"ik wil iets diepzinnigs"
mood,"zoek me een avontuur"
mood,"ik wil iets luchtig"
mood,"speel een film om ontspannen naar te kijken"
provider,"zoek een film op {provider}"
provider,"stream een film op {provider}"
provider,"laat me zien wat er nieuw is op {provider}"
provider,"speel een film van {provider}"
studio,"zoek een film van {studio}"
studio,"ik wil iets van {studio} kijken"
studio,"laat me een {{studio}} productie zien"
discovery,"beveel een film aan"
discovery,"stel iets voor om te kijken"
discovery,"zoek films zoals {title}"
discovery,"wat is vergelijkbaar met {title}"
discovery,"beveel films aan zoals {{title}}"
discovery,"laat me nieuwe releases zien"
discovery,"wat moet ik volgende kijken"
discovery,"verrас me met een film"
runtime,"speel een korte film"
runtime,"ik wil iets snels om te kijken"
runtime,"zoek me een langspeelfilm"
runtime,"ik heb een lange film nodig voor vanavond"
generic,"speel een film"
generic,"kijk een film"
generic,"ik wil een film kijken"
generic,"zoek me iets om te kijken"
generic,"speel een goede film"
generic,"zet een film op"
generic,"zet een film in de wachtrij"
generic,"ik verveel me, speel een film"
generic,"zoek me een film"
generic,"laat me een film zien"
generic,"ik wil een film zien"
generic,"stream een film"
generic,"welke film moet ik kijken"
generic,"speel iets goeds"
