category,template
artist,"speel {artist}"
artist,"speel wat {artist}"
artist,"ik wil {artist} luisteren"
artist,"kun je {artist} afspelen"
artist,"zet wat {artist} op"
artist,"ik wil graag {artist} horen"
artist,"stream {artist}"
artist,"speel muziek van {artist}"
artist,"speel een nummer van {artist}"
artist,"speel iets van {artist}"
artist,"ik heb zin in {artist}"
artist,"ik ben in de stemming voor {artist}"
artist,"zoek wat {artist} voor me"
artist,"speel {artist}'s muziek"
artist,"ik wil {artist} horen"
artist,"zet {artist} in de wachtrij"
artist,"zet {artist} op"
artist,"geef me wat {artist}"
artist,"ik wil {artist} ontdekken"
artist,"laat me horen wat {artist} klinkt"
track,"speel {track}"
track,"speel het nummer {track}"
track,"ik wil {track} horen"
track,"zoek {track} voor me"
track,"ik wil {track} luisteren"
track,"kun je {track} afspelen"
track,"zet {track} op"
track,"zet {track} in de wachtrij"
track,"speel het nummer {track}"
track,"stream {track}"
track,"ik ben op zoek naar {track}"
track,"zoek me {track}"
track_artist,"speel {track} van {artist}"
track_artist,"ik wil {track} van {artist} luisteren"
track_artist,"speel {track} van {artist}"
track_artist,"zoek me {track} van {artist}"
track_artist,"zet {track} van {artist} op"
track_artist,"zet {track} van {artist} in de wachtrij"
track_artist,"stream {track} van {artist}"
track_artist,"speel {track} van {artist}"
track_artist,"ik wil {track} van {artist}"
genre,"speel wat {genre} muziek"
genre,"ik wil wat {genre} luisteren"
genre,"zet wat {genre} op"
genre,"ik ben in de stemming voor {genre}"
genre,"speel een {genre} afspeellijst"
genre,"zoek wat {genre} muziek voor me"
genre,"speel {genre} voor me"
genre,"ik wil graag {genre}"
genre,"speel {genre}"
genre,"stream wat {genre}"
genre,"zet {genre} muziek op"
genre,"ik heb zin in {genre}"
genre,"geef me wat {genre} vibes"
genre,"laat me wat {genre} zien"
genre,"zet wat {genre} in de wachtrij"
album,"speel het album {album}"
album,"ik wil {album} horen"
album,"zet {album} op"
album,"speel {album} van {artist}"
album,"stream het album {album}"
album,"zet {album} in de wachtrij"
album,"speel het volledige album {album}"
album,"ik wil {album} luisteren"
album,"zoek me {album}"
album,"speel {album} van {artist}"
album,"ik wil het album {album} horen"
album,"stream {album}"
featuring,"speel {track} met {artist}"
featuring,"stream {track} met {artist}"
featuring,"speel me {track} met {artist}"
featuring,"ik wil {track} met {artist} horen"
featuring,"zet {track} met {artist} op"
mood,"speel iets rustgevends"
mood,"ik heb ontspannende muziek nodig"
mood,"speel iets opwekkends"
mood,"ik wil muziek voor werken"
mood,"speel iets voor studeren"
mood,"ik heb trainingsmuziek nodig"
mood,"speel iets romantisch"
mood,"geef me blije muziek"
mood,"ik wil melancholische muziek"
mood,"speel iets energiek"
playlist,"speel mijn {playlist_name} afspeellijst"
playlist,"zet mijn {playlist_name} in de wachtrij"
playlist,"ik wil mijn {playlist_name} horen"
playlist,"zet mijn {playlist_name} afspeellijst op"
playlist,"stream mijn {playlist_name}"
discovery,"ontdek nieuw {genre}"
discovery,"zoek nieuwe muziek in {genre}"
discovery,"laat me nieuwe nummers van {artist} zien"
discovery,"wat is nieuw van {artist}"
discovery,"beveel wat {genre} muziek aan"
discovery,"geef me nieuwe muziekaanbevelingen"
discovery,"speel nieuwe releases in {genre}"
generic,"speel wat muziek"
generic,"speel muziek"
generic,"ik wil muziek luisteren"
generic,"zoek me iets om naar te luisteren"
generic,"speel iets"
generic,"zet iets in de wachtrij"
generic,"ik wil iets horen"
generic,"zet wat muziek op"
generic,"stream wat muziek"
generic,"speel alles"
generic,"ik verveel me, speel muziek"
generic,"speel willekeurige muziek"
