category,template
show,"speel de {show} podcast"
show,"ik wil {show} luisteren"
show,"speel een aflevering van {show}"
show,"zoek de {show} podcast"
show,"zet {show} op"
show,"stream {show}"
show,"ik wil {show} horen"
show,"ga door met luisteren naar {show}"
show,"zet {show} in de wachtrij"
show,"laat me {show} zien"
show,"kun je {show} afspelen"
show,"ik wil graag {{show}} luisteren"
show,"hervat {{show}}"
show,"wat is nieuw in {{show}}"
show,"speel de nieuwste {{show}}"
show,"zoek me een aflevering van {{show}}"
show,"zet {{show}} op"
topic,"speel een podcast over {topic}"
topic,"zoek me een podcast over {topic}"
topic,"ik wil naar een podcast over {topic} luisteren"
topic,"zet een {topic} podcast op"
topic,"ik wil graag een podcast over {topic}"
topic,"stream een podcast over {topic}"
topic,"zoek een podcast over {topic}"
topic,"speel iets over {topic}"
topic,"ik wil naar een podcast over {topic} horen"
topic,"zoek me een {topic} podcast"
topic,"zet een {{topic}} podcast in de wachtrij"
topic,"kun je een {{topic}} podcast afspelen"
topic,"laat me een podcast over {{topic}} zien"
topic,"ik ben geïnteresseerd in een {{topic}} podcast"
topic,"beveel een {{topic}} podcast aan"
episode,"speel de nieuwste aflevering van {show}"
episode,"zoek een nieuwe aflevering van {show}"
episode,"zet de nieuwste {{show}} aflevering op"
episode,"ga door met de volgende {{show}} aflevering"
episode,"stream de nieuwste {{show}}"
episode,"zet de nieuwe {{show}} aflevering in de wachtrij"
episode,"wat is de nieuwste {{show}} aflevering"
episode,"speel de meest recente {{show}}"
series,"ik wil een nieuwe podcastserie beginnen"
series,"zoek me een podcastserie"
series,"welke podcastserie moet ik luisteren"
series,"laat me podcastseries over {{topic}} zien"
series,"zet een nieuwe serie in de wachtrij"
series,"begin een podcastserie met me"
discovery,"beveel een podcast aan"
discovery,"stel iets voor om naar te luisteren"
discovery,"zoek podcasts over {{topic}}"
discovery,"wat is trending in podcasts"
discovery,"laat me nieuwe podcasts zien"
discovery,"zoek verborgen parels in podcasts"
discovery,"welke podcast moet ik proberen"
discovery,"verrас me met een podcast"
discovery,"zoek shows zoals {{show}}"
discovery,"wat is vergelijkbaar met {{show}}"
length,"ik wil een korte podcast aflevering"
length,"zoek me een lange podcast"
length,"ik heb een snelle luistermoment nodig"
length,"speel iets wat ik kan luisteren terwijl ik forenzen"
frequency,"zoek me een wekelijkse podcast"
frequency,"ik wil een dagelijkse podcast"
frequency,"zet iets op wat regelmatig wordt bijgewerkt"
genre,"speel een {{genre}} podcast"
genre,"ik wil naar een {{genre}} show luisteren"
genre,"zoek me {{genre}} content"
genre,"zet iets {{genre}} op"
genre,"stream een {{genre}} podcast"
genre,"zet een {{genre}} show in de wachtrij"
genre,"ik ben in de stemming voor {{genre}} podcasts"
mood,"ik wil iets educatiefs"
mood,"speel iets grappigs"
mood,"ik heb iets ontspannends nodig"
mood,"zoek me iets inspirerends"
mood,"ik wil misdaadverhalen"
mood,"speel iets doordachtigs"
mood,"zoek me onderhoudende content"
host,"zoek podcasts van {host}"
host,"ik wil naar {{host}} luisteren"
host,"zet een show van {{host}} op"
host,"speel iets gehost door {{host}}"
host,"stream {{host}}'s podcast"
provider,"zoek een podcast op {provider}"
provider,"stream van {{provider}}"
provider,"laat me zien wat er op {{provider}} is"
provider,"speel iets van {{provider}}"
generic,"speel een podcast"
generic,"speel wat podcasts"
generic,"ik wil naar een podcast luisteren"
generic,"zoek me iets om naar te luisteren"
generic,"speel iets"
generic,"zet iets in de wachtrij"
generic,"ik wil iets horen"
generic,"zet een podcast op"
generic,"stream een podcast"
generic,"speel alles"
generic,"ik verveel me, speel een podcast"
generic,"speel willekeurige podcasts"
generic,"welke podcast moet ik luisteren"
